symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SJNK,2023-07-17 13:00:00+00:00,24.72,24.72,24.68,24.705,376397.0,517.0,24.697655
SJNK,2023-07-17 14:00:00+00:00,24.705,24.73,24.705,24.725,385754.0,796.0,24.719593
SJNK,2023-07-17 15:00:00+00:00,24.725,24.74,24.71,24.7341,470642.0,739.0,24.726303
SJNK,2023-07-17 16:00:00+00:00,24.73,24.74,24.72,24.735,718146.0,860.0,24.728992
SJNK,2023-07-17 17:00:00+00:00,24.735,24.76,24.73,24.76,435222.0,661.0,24.743767
SJNK,2023-07-17 18:00:00+00:00,24.76,24.77,24.75,24.751,194903.0,480.0,24.759535
SJNK,2023-07-17 19:00:00+00:00,24.751,24.7564,24.73,24.74,862760.0,2473.0,24.741385
SJNK,2023-07-17 20:00:00+00:00,24.73,24.73,24.73,24.73,4733.0,2.0,24.730634
SJNK,2023-07-17 22:00:00+00:00,24.8,24.8,24.8,24.8,100.0,1.0,24.8
SJNK,2023-07-18 13:00:00+00:00,24.76,24.795,24.7505,24.79,540046.0,643.0,24.775267
SJNK,2023-07-18 14:00:00+00:00,24.7997,24.81,24.78,24.81,874362.0,1265.0,24.79108
SJNK,2023-07-18 15:00:00+00:00,24.8008,24.82,24.79,24.81,496505.0,699.0,24.803027
SJNK,2023-07-18 16:00:00+00:00,24.81,24.815,24.7745,24.7799,332976.0,608.0,24.795235
SJNK,2023-07-18 17:00:00+00:00,24.775,24.79,24.77,24.785,585896.0,1079.0,24.781776
SJNK,2023-07-18 18:00:00+00:00,24.78,24.79,24.78,24.789,364760.0,849.0,24.784795
SJNK,2023-07-18 19:00:00+00:00,24.789,24.79,24.78,24.79,739814.0,2055.0,24.784261
SJNK,2023-07-18 20:00:00+00:00,24.79,24.79,24.79,24.79,3141.0,1.0,24.79
SJNK,2023-07-19 13:00:00+00:00,24.81,24.85,24.8,24.8338,453824.0,601.0,24.832109
SJNK,2023-07-19 14:00:00+00:00,24.84,24.84,24.805,24.815,450827.0,899.0,24.820109
SJNK,2023-07-19 15:00:00+00:00,24.815,24.83,24.81,24.81,418798.0,832.0,24.819284
SJNK,2023-07-19 16:00:00+00:00,24.81,24.83,24.8,24.805,247001.0,569.0,24.814786
SJNK,2023-07-19 17:00:00+00:00,24.805,24.805,24.78,24.7824,447383.0,704.0,24.787436
SJNK,2023-07-19 18:00:00+00:00,24.785,24.79,24.77,24.785,604186.0,1111.0,24.779404
SJNK,2023-07-19 19:00:00+00:00,24.78,24.79,24.77,24.78,1072586.0,1544.0,24.77977
SJNK,2023-07-19 20:00:00+00:00,24.78,24.85,24.77,24.85,59055.0,7.0,24.780281
SJNK,2023-07-20 13:00:00+00:00,24.74,24.745,24.72,24.73,410617.0,601.0,24.734634
SJNK,2023-07-20 14:00:00+00:00,24.74,24.74,24.7,24.715,617982.0,998.0,24.719089
SJNK,2023-07-20 15:00:00+00:00,24.715,24.72,24.7,24.7087,333438.0,576.0,24.709306
SJNK,2023-07-20 16:00:00+00:00,24.705,24.71,24.68,24.685,290491.0,623.0,24.695306
SJNK,2023-07-20 17:00:00+00:00,24.685,24.71,24.68,24.7,466372.0,786.0,24.694533
SJNK,2023-07-20 18:00:00+00:00,24.7,24.72,24.69,24.715,459121.0,855.0,24.702509
SJNK,2023-07-20 19:00:00+00:00,24.715,24.73,24.71,24.725,583461.0,1143.0,24.720981
SJNK,2023-07-20 20:00:00+00:00,24.72,24.72,24.72,24.72,2694.0,1.0,24.72
SJNK,2023-07-21 13:00:00+00:00,24.77,24.78,24.751,24.76,292945.0,537.0,24.769353
SJNK,2023-07-21 14:00:00+00:00,24.755,24.76,24.73,24.755,540335.0,1029.0,24.745129
SJNK,2023-07-21 15:00:00+00:00,24.76,24.7892,24.75,24.775,562235.0,1169.0,24.77097
SJNK,2023-07-21 16:00:00+00:00,24.775,24.79,24.77,24.789,355558.0,835.0,24.781046
SJNK,2023-07-21 17:00:00+00:00,24.7898,24.8,24.7857,24.795,194128.0,474.0,24.793113
SJNK,2023-07-21 18:00:00+00:00,24.795,24.8,24.78,24.785,348793.0,761.0,24.790144
SJNK,2023-07-21 19:00:00+00:00,24.78,24.78,24.76,24.76,877234.0,1510.0,24.76804
SJNK,2023-07-21 20:00:00+00:00,24.76,24.85,24.76,24.85,11502.0,4.0,24.76085
SJNK,2023-07-24 11:00:00+00:00,24.65,24.65,24.65,24.65,167.0,1.0,24.65
SJNK,2023-07-24 13:00:00+00:00,24.79,24.825,24.78,24.795,612722.0,543.0,24.807484
SJNK,2023-07-24 14:00:00+00:00,24.8,24.815,24.7901,24.8,488616.0,869.0,24.801997
SJNK,2023-07-24 15:00:00+00:00,24.8,24.8,24.78,24.79,212716.0,631.0,24.791178
SJNK,2023-07-24 16:00:00+00:00,24.7907,24.7999,24.77,24.774,133505.0,649.0,24.780296
SJNK,2023-07-24 17:00:00+00:00,24.775,24.78,24.76,24.765,256646.0,681.0,24.770723
SJNK,2023-07-24 18:00:00+00:00,24.765,24.77,24.74,24.76,980354.0,1630.0,24.753743
SJNK,2023-07-24 19:00:00+00:00,24.76,24.77,24.74,24.74,1415181.0,2460.0,24.761351
SJNK,2023-07-24 20:00:00+00:00,24.75,24.77,24.5,24.5,9025.0,3.0,24.730623
SJNK,2023-07-25 13:00:00+00:00,24.75,24.75,24.705,24.73,396492.0,511.0,24.72275
SJNK,2023-07-25 14:00:00+00:00,24.73,24.74,24.72,24.735,171571.0,570.0,24.73125
SJNK,2023-07-25 15:00:00+00:00,24.7341,24.76,24.73,24.745,126293.0,377.0,24.744462
SJNK,2023-07-25 16:00:00+00:00,24.74,24.76,24.7306,24.754,85673.0,350.0,24.744851
SJNK,2023-07-25 17:00:00+00:00,24.76,24.76,24.74,24.745,79957.0,361.0,24.747856
SJNK,2023-07-25 18:00:00+00:00,24.745,24.76,24.74,24.74,165739.0,671.0,24.750167
SJNK,2023-07-25 19:00:00+00:00,24.7499,24.75,24.72,24.725,229349.0,934.0,24.73384
SJNK,2023-07-25 20:00:00+00:00,24.72,24.72,24.72,24.72,4882.0,2.0,24.72035
SJNK,2023-07-26 13:00:00+00:00,24.72,24.755,24.71,24.74,82028.0,278.0,24.734749
SJNK,2023-07-26 14:00:00+00:00,24.74,24.755,24.735,24.735,228078.0,789.0,24.744728
SJNK,2023-07-26 15:00:00+00:00,24.735,24.76,24.73,24.755,137605.0,613.0,24.744903
SJNK,2023-07-26 16:00:00+00:00,24.755,24.77,24.74,24.745,275871.0,845.0,24.758003
SJNK,2023-07-26 17:00:00+00:00,24.745,24.75,24.74,24.75,153483.0,662.0,24.745834
SJNK,2023-07-26 18:00:00+00:00,24.74,24.8309,24.73,24.82,436341.0,1256.0,24.788913
SJNK,2023-07-26 19:00:00+00:00,24.83,24.83,24.79,24.82,636165.0,1392.0,24.81635
SJNK,2023-07-26 20:00:00+00:00,24.82,24.82,24.82,24.82,7352.0,2.0,24.82
SJNK,2023-07-27 13:00:00+00:00,24.86,24.8785,24.845,24.85,123045.0,263.0,24.863759
SJNK,2023-07-27 14:00:00+00:00,24.84,24.8499,24.78,24.785,475723.0,1042.0,24.805023
SJNK,2023-07-27 15:00:00+00:00,24.7837,24.8,24.78,24.785,373565.0,1176.0,24.789507
SJNK,2023-07-27 16:00:00+00:00,24.78,24.79,24.77,24.7844,315914.0,720.0,24.780871
SJNK,2023-07-27 17:00:00+00:00,24.79,24.79,24.73,24.73,668742.0,1148.0,24.746976
SJNK,2023-07-27 18:00:00+00:00,24.73,24.7364,24.63,24.655,563237.0,1228.0,24.674283
SJNK,2023-07-27 19:00:00+00:00,24.655,24.69,24.65,24.67,2378913.0,4099.0,24.674068
SJNK,2023-07-27 20:00:00+00:00,24.67,24.67,24.67,24.67,29212.0,3.0,24.67
SJNK,2023-07-28 13:00:00+00:00,24.76,24.7795,24.75,24.76,123085.0,416.0,24.766787
SJNK,2023-07-28 14:00:00+00:00,24.75,24.7866,24.75,24.755,519797.0,1258.0,24.768002
SJNK,2023-07-28 15:00:00+00:00,24.755,24.77,24.7501,24.765,234047.0,635.0,24.762357
SJNK,2023-07-28 16:00:00+00:00,24.7675,24.77,24.74,24.74,302773.0,973.0,24.759962
SJNK,2023-07-28 17:00:00+00:00,24.74,24.75,24.72,24.735,323222.0,870.0,24.733926
