symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SMTC,2023-07-17 08:00:00+00:00,29.32,29.32,29.32,29.32,100.0,1.0,29.32
SMTC,2023-07-17 13:00:00+00:00,28.44,28.87,28.2001,28.87,75854.0,1024.0,28.414446
SMTC,2023-07-17 14:00:00+00:00,28.92,29.03,28.65,28.94,133803.0,2102.0,28.926449
SMTC,2023-07-17 15:00:00+00:00,28.93,29.02,28.85,28.86,92744.0,1646.0,28.951147
SMTC,2023-07-17 16:00:00+00:00,28.865,29.07,28.86,29.02,93592.0,1590.0,28.99513
SMTC,2023-07-17 17:00:00+00:00,29.03,29.21,29.03,29.205,62995.0,1226.0,29.120913
SMTC,2023-07-17 18:00:00+00:00,29.21,29.255,29.12,29.25,171756.0,1701.0,29.221965
SMTC,2023-07-17 19:00:00+00:00,29.25,29.47,29.25,29.44,360566.0,5155.0,29.386392
SMTC,2023-07-17 20:00:00+00:00,29.43,29.69,29.43,29.69,413661.0,34.0,29.430276
SMTC,2023-07-18 12:00:00+00:00,29.5,29.5,29.5,29.5,200.0,1.0,29.5
SMTC,2023-07-18 13:00:00+00:00,29.13,29.97,29.13,29.78,89001.0,1160.0,29.739872
SMTC,2023-07-18 14:00:00+00:00,29.785,29.87,29.4,29.75,314401.0,2886.0,29.632951
SMTC,2023-07-18 15:00:00+00:00,29.76,29.81,29.55,29.67,109214.0,1721.0,29.701403
SMTC,2023-07-18 16:00:00+00:00,29.67,29.71,29.5,29.66,88762.0,1446.0,29.606761
SMTC,2023-07-18 17:00:00+00:00,29.67,29.74,29.365,29.44,70607.0,1351.0,29.595444
SMTC,2023-07-18 18:00:00+00:00,29.45,29.72,29.45,29.675,68443.0,1555.0,29.63879
SMTC,2023-07-18 19:00:00+00:00,29.68,29.73,29.59,29.62,436101.0,4859.0,29.664834
SMTC,2023-07-18 20:00:00+00:00,29.62,29.62,29.62,29.62,106902.0,21.0,29.62
SMTC,2023-07-19 09:00:00+00:00,29.62,29.62,29.62,29.62,300.0,1.0,29.62
SMTC,2023-07-19 13:00:00+00:00,29.61,29.63,29.06,29.15,60193.0,1029.0,29.374259
SMTC,2023-07-19 14:00:00+00:00,29.15,29.37,28.915,29.34,151879.0,2780.0,29.109268
SMTC,2023-07-19 15:00:00+00:00,29.36,29.71,29.33,29.365,116353.0,2233.0,29.51394
SMTC,2023-07-19 16:00:00+00:00,29.36,29.58,29.0,29.25,216559.0,2750.0,29.273852
SMTC,2023-07-19 17:00:00+00:00,29.26,29.27,28.95,28.96,108270.0,1643.0,29.074768
SMTC,2023-07-19 18:00:00+00:00,28.97,29.06,28.85,28.941,75393.0,1872.0,28.930802
SMTC,2023-07-19 19:00:00+00:00,28.95,29.0,28.67,28.69,276666.0,5519.0,28.787638
SMTC,2023-07-19 20:00:00+00:00,28.69,28.99,28.69,28.99,95605.0,23.0,28.690314
SMTC,2023-07-19 22:00:00+00:00,28.69,28.69,28.69,28.69,531.0,5.0,28.69
SMTC,2023-07-20 13:00:00+00:00,28.25,28.3,27.47,27.71,161727.0,2153.0,27.885056
SMTC,2023-07-20 14:00:00+00:00,27.71,28.13,27.57,28.05,180804.0,3210.0,27.955507
SMTC,2023-07-20 15:00:00+00:00,28.04,28.24,27.92,28.025,314846.0,1877.0,28.054994
SMTC,2023-07-20 16:00:00+00:00,28.03,28.11,27.891,27.891,116401.0,2061.0,27.97997
SMTC,2023-07-20 17:00:00+00:00,27.86,27.94,27.77,27.805,80129.0,1749.0,27.866802
SMTC,2023-07-20 18:00:00+00:00,27.79,27.845,27.56,27.56,222403.0,2247.0,27.684919
SMTC,2023-07-20 19:00:00+00:00,27.57,27.69,27.37,27.45,373324.0,6724.0,27.506196
SMTC,2023-07-20 20:00:00+00:00,27.46,27.46,27.46,27.46,478401.0,28.0,27.46
SMTC,2023-07-20 22:00:00+00:00,27.51,27.51,27.51,27.51,300.0,3.0,27.51
SMTC,2023-07-21 13:00:00+00:00,27.77,27.8,27.37,27.51,99101.0,1383.0,27.599634
SMTC,2023-07-21 14:00:00+00:00,27.505,28.0,27.41,27.88,123857.0,2896.0,27.783989
SMTC,2023-07-21 15:00:00+00:00,27.88,28.05,27.7,27.838,94328.0,2317.0,27.87279
SMTC,2023-07-21 16:00:00+00:00,27.82,27.85,27.59,27.67,108257.0,2289.0,27.720638
SMTC,2023-07-21 17:00:00+00:00,27.66,27.68,27.47,27.5,94068.0,2238.0,27.563412
SMTC,2023-07-21 18:00:00+00:00,27.5,27.5,27.21,27.33,107432.0,2578.0,27.321813
SMTC,2023-07-21 19:00:00+00:00,27.32,27.32,27.115,27.19,281327.0,5859.0,27.228856
SMTC,2023-07-21 20:00:00+00:00,27.2,27.2,27.2,27.2,155326.0,11.0,27.2
SMTC,2023-07-24 12:00:00+00:00,27.35,27.35,27.35,27.35,222.0,2.0,27.350991
SMTC,2023-07-24 13:00:00+00:00,27.23,28.02,27.23,27.65,63831.0,1180.0,27.68574
SMTC,2023-07-24 14:00:00+00:00,27.71,27.97,27.68,27.7829,81885.0,1712.0,27.818443
SMTC,2023-07-24 15:00:00+00:00,27.79,27.9,27.56,27.9,71278.0,1489.0,27.704081
SMTC,2023-07-24 16:00:00+00:00,27.9,28.02,27.66,27.705,59721.0,1307.0,27.842384
SMTC,2023-07-24 17:00:00+00:00,27.71,27.71,27.55,27.565,60538.0,1143.0,27.613998
SMTC,2023-07-24 18:00:00+00:00,27.6,27.66,27.55,27.63,39874.0,1015.0,27.595253
SMTC,2023-07-24 19:00:00+00:00,27.63,27.64,27.47,27.575,180792.0,3637.0,27.565209
SMTC,2023-07-24 20:00:00+00:00,27.57,27.58,27.57,27.58,93737.0,23.0,27.579979
SMTC,2023-07-25 13:00:00+00:00,27.6,27.835,27.5,27.55,38218.0,845.0,27.66788
SMTC,2023-07-25 14:00:00+00:00,27.595,28.175,27.59,28.085,88646.0,2179.0,28.001544
