c,h,l,n,o,t,v,vw
7.49,7.49,7.316,12,7.316,2022-01-18T13:15:00Z,804,7.425
7.417,7.417,7.417,1,7.417,2022-01-18T13:25:00Z,800,7.417
7.463,7.463,7.325,13,7.408,2022-01-18T14:30:00Z,4915,7.408019
7.38,7.399,7.353,19,7.399,2022-01-18T14:35:00Z,1593,7.384068
7.353,7.353,7.353,9,7.353,2022-01-18T14:40:00Z,366,7.379
7.399,7.399,7.353,42,7.371,2022-01-18T14:45:00Z,4355,7.379444
7.38,7.38,7.344,25,7.362,2022-01-18T14:50:00Z,1447,7.358362
7.362,7.384,7.344,35,7.371,2022-01-18T14:55:00Z,5003,7.370212
7.334,7.353,7.334,10,7.353,2022-01-18T15:00:00Z,478,7.343172
7.314,7.334,7.307,21,7.334,2022-01-18T15:05:00Z,1879,7.317675
7.353,7.353,7.33,35,7.334,2022-01-18T15:10:00Z,3421,7.344511
7.361,7.362,7.344,6,7.344,2022-01-18T15:15:00Z,1001,7.354
7.334,7.355,7.325,14,7.325,2022-01-18T15:20:00Z,2194,7.332761
7.344,7.344,7.325,11,7.325,2022-01-18T15:25:00Z,476,7.346
7.344,7.344,7.344,9,7.344,2022-01-18T15:30:00Z,508,7.343
7.289,7.344,7.289,10,7.344,2022-01-18T15:35:00Z,435,7.322632
7.28,7.298,7.28,16,7.298,2022-01-18T15:40:00Z,1147,7.294
7.252,7.298,7.252,19,7.298,2022-01-18T15:45:00Z,637,7.271983
7.248,7.248,7.248,3,7.248,2022-01-18T15:50:00Z,1011,7.248
7.28,7.28,7.261,33,7.261,2022-01-18T15:55:00Z,2841,7.277173
7.27,7.27,7.27,3,7.27,2022-01-18T16:00:00Z,110,7.27
7.225,7.243,7.225,20,7.243,2022-01-18T16:10:00Z,2136,7.230493
7.225,7.234,7.225,14,7.234,2022-01-18T16:15:00Z,757,7.231758
7.206,7.206,7.206,5,7.206,2022-01-18T16:25:00Z,108,7.206
7.165,7.197,7.161,24,7.197,2022-01-18T16:30:00Z,10673,7.1867
7.197,7.197,7.17,24,7.179,2022-01-18T16:35:00Z,1078,7.181567
7.206,7.206,7.206,1,7.206,2022-01-18T16:40:00Z,100,7.206
7.206,7.215,7.206,21,7.215,2022-01-18T16:55:00Z,687,7.208381
7.179,7.197,7.179,24,7.197,2022-01-18T17:00:00Z,815,7.186859
7.197,7.206,7.179,26,7.179,2022-01-18T17:15:00Z,1917,7.194264
7.197,7.206,7.197,13,7.206,2022-01-18T17:20:00Z,482,7.198905
7.18,7.188,7.18,5,7.188,2022-01-18T17:35:00Z,2065,7.184
7.151,7.179,7.151,18,7.179,2022-01-18T17:40:00Z,2823,7.168756
7.142,7.142,7.142,7,7.142,2022-01-18T17:50:00Z,402,7.138
7.124,7.124,7.124,7,7.124,2022-01-18T17:55:00Z,294,7.123
7.106,7.106,7.106,20,7.106,2022-01-18T18:00:00Z,683,7.105
7.096,7.096,7.078,12,7.078,2022-01-18T18:05:00Z,1800,7.084
7.101,7.115,7.096,16,7.096,2022-01-18T18:10:00Z,938,7.100537
7.133,7.133,7.106,4,7.106,2022-01-18T18:15:00Z,296,7.124
7.115,7.115,7.115,5,7.115,2022-01-18T18:20:00Z,476,7.115
7.096,7.096,7.096,15,7.096,2022-01-18T18:25:00Z,1059,7.096
7.106,7.106,7.106,6,7.106,2022-01-18T18:40:00Z,408,7.106
7.138,7.138,7.115,4,7.115,2022-01-18T18:45:00Z,410,7.125146
7.124,7.124,7.124,7,7.124,2022-01-18T18:50:00Z,416,7.124
7.115,7.133,7.115,40,7.133,2022-01-18T19:00:00Z,1993,7.126845
