symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2023-07-17 08:00:00+00:00,449.22,449.33,448.92,448.92,29563.0,298.0,449.158162
SPY,2023-07-17 09:00:00+00:00,448.93,449.09,448.43,448.47,24310.0,207.0,448.670135
SPY,2023-07-17 10:00:00+00:00,448.51,448.65,448.38,448.38,80170.0,405.0,448.54356
SPY,2023-07-17 11:00:00+00:00,448.39,448.8,448.35,448.45,125223.0,805.0,448.547544
SPY,2023-07-17 12:00:00+00:00,448.45,449.1,448.25,448.72,197911.0,2397.0,448.499349
SPY,2023-07-17 13:00:00+00:00,448.74,449.8,448.72,449.64,4804974.0,48856.0,449.421681
SPY,2023-07-17 14:00:00+00:00,449.64,450.141,449.6,449.96,7649184.0,65354.0,449.72131
SPY,2023-07-17 15:00:00+00:00,449.97,450.74,449.77,450.67,5777771.0,52693.0,450.340097
SPY,2023-07-17 16:00:00+00:00,450.69,450.73,450.04,450.6,4092955.0,37579.0,450.314811
SPY,2023-07-17 17:00:00+00:00,450.598,450.86,450.285,450.79,3706108.0,30755.0,450.496826
SPY,2023-07-17 18:00:00+00:00,450.8,451.13,450.645,450.89,4330092.0,37186.0,450.781191
SPY,2023-07-17 19:00:00+00:00,450.89,451.93,450.6,450.855,14413454.0,102358.0,451.147675
SPY,2023-07-17 20:00:00+00:00,450.84,451.5,450.32,450.41,7181847.0,4472.0,450.676771
SPY,2023-07-17 21:00:00+00:00,450.41,450.54,450.39,450.54,156515.0,469.0,450.705775
SPY,2023-07-17 22:00:00+00:00,450.5,450.84,450.31,450.37,55454.0,458.0,450.476062
SPY,2023-07-17 23:00:00+00:00,450.4,450.47,450.28,450.29,41584.0,434.0,450.367929
SPY,2023-07-18 08:00:00+00:00,450.52,451.02,450.5,450.65,22263.0,236.0,450.829063
SPY,2023-07-18 09:00:00+00:00,450.62,451.01,450.62,450.9,5547.0,63.0,450.825336
SPY,2023-07-18 10:00:00+00:00,450.94,451.01,450.56,450.66,8312.0,90.0,450.742925
SPY,2023-07-18 11:00:00+00:00,450.61,450.74,450.42,450.61,31071.0,349.0,450.614006
SPY,2023-07-18 12:00:00+00:00,450.24,450.84,450.01,450.29,251762.0,2273.0,450.369543
SPY,2023-07-18 13:00:00+00:00,450.29,451.63,450.0484,451.52,6319416.0,55806.0,450.773144
SPY,2023-07-18 14:00:00+00:00,451.51,452.31,451.3401,452.26,6919704.0,71553.0,451.786382
SPY,2023-07-18 15:00:00+00:00,452.26,453.3784,452.05,453.2,8418223.0,74585.0,452.623702
SPY,2023-07-18 16:00:00+00:00,453.22,453.28,452.44,452.845,5888875.0,58459.0,452.920257
SPY,2023-07-18 17:00:00+00:00,452.85,453.52,452.82,453.49,5481753.0,47323.0,453.01158
SPY,2023-07-18 18:00:00+00:00,453.485,454.43,453.41,454.15,8146702.0,66661.0,453.798565
SPY,2023-07-18 19:00:00+00:00,454.155,454.86,453.8398,454.19,22995201.0,134108.0,453.912127
SPY,2023-07-18 20:00:00+00:00,454.18,454.19,453.0,453.77,15140227.0,5597.0,453.978822
SPY,2023-07-18 21:00:00+00:00,453.87,453.87,453.73,453.73,813417.0,521.0,454.158797
SPY,2023-07-18 22:00:00+00:00,453.7,454.19,453.7,453.95,41589.0,501.0,453.9275
SPY,2023-07-18 23:00:00+00:00,454.01,454.12,453.98,454.04,60224.0,315.0,454.031607
SPY,2023-07-19 00:00:00+00:00,454.19,454.19,454.19,454.19,75.0,1.0,454.03
SPY,2023-07-19 08:00:00+00:00,454.09,454.61,454.09,454.55,49531.0,189.0,454.225442
SPY,2023-07-19 09:00:00+00:00,454.42,454.64,454.42,454.5,33451.0,195.0,454.538382
SPY,2023-07-19 10:00:00+00:00,454.47,454.54,454.37,454.51,24823.0,148.0,454.434376
SPY,2023-07-19 11:00:00+00:00,454.52,454.59,454.0,454.21,85833.0,648.0,454.228253
SPY,2023-07-19 12:00:00+00:00,454.26,454.71,454.02,454.43,244005.0,2159.0,454.356662
SPY,2023-07-19 13:00:00+00:00,454.44,456.12,454.4312,456.02,7790050.0,68683.0,455.672937
SPY,2023-07-19 14:00:00+00:00,456.01,456.34,454.6,455.28,11457354.0,100175.0,455.687672
