symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SQ,2023-07-17 08:00:00+00:00,76.34,76.5,75.45,75.51,1145.0,27.0,75.881764
SQ,2023-07-17 09:00:00+00:00,75.74,75.74,75.74,75.74,100.0,1.0,75.74
SQ,2023-07-17 10:00:00+00:00,75.9,75.9,75.9,75.9,692.0,15.0,75.851821
SQ,2023-07-17 11:00:00+00:00,75.6,75.6,75.31,75.31,3128.0,70.0,75.49618
SQ,2023-07-17 12:00:00+00:00,75.52,75.9963,75.21,75.35,5924.0,85.0,75.370944
SQ,2023-07-17 13:00:00+00:00,75.39,76.42,74.31,76.0882,920373.0,9771.0,75.60691
SQ,2023-07-17 14:00:00+00:00,76.11,77.28,75.81,77.145,1523830.0,15609.0,76.49807
SQ,2023-07-17 15:00:00+00:00,77.1319,78.21,77.04,78.11,1470271.0,19515.0,77.585086
SQ,2023-07-17 16:00:00+00:00,78.11,78.56,77.97,78.4086,1277852.0,14103.0,78.213016
SQ,2023-07-17 17:00:00+00:00,78.408,78.7499,78.16,78.705,1116357.0,13065.0,78.492261
SQ,2023-07-17 18:00:00+00:00,78.7003,78.78,78.27,78.69,1054830.0,13567.0,78.525607
SQ,2023-07-17 19:00:00+00:00,78.69,78.8,78.05,78.06,2045044.0,24962.0,78.422716
SQ,2023-07-17 20:00:00+00:00,78.06,78.09,77.93,78.03,550015.0,169.0,78.059391
SQ,2023-07-17 21:00:00+00:00,77.99,78.2,77.99,78.19,5527.0,39.0,78.028349
SQ,2023-07-17 22:00:00+00:00,78.0813,78.2,78.07,78.2,2103.0,16.0,78.103497
SQ,2023-07-17 23:00:00+00:00,78.06,78.25,78.06,78.07,3951.0,31.0,78.145897
SQ,2023-07-18 08:00:00+00:00,78.22,78.22,78.06,78.22,1829.0,21.0,78.173384
SQ,2023-07-18 09:00:00+00:00,78.2,78.2,78.2,78.2,200.0,3.0,78.2075
SQ,2023-07-18 10:00:00+00:00,78.2,78.2,78.1,78.1,1136.0,31.0,78.166162
SQ,2023-07-18 11:00:00+00:00,78.2,78.5,78.2,78.25,7009.0,82.0,78.416276
SQ,2023-07-18 12:00:00+00:00,78.47,78.47,77.85,78.0,16416.0,205.0,78.112239
SQ,2023-07-18 13:00:00+00:00,78.06,78.45,77.57,78.19,815837.0,9166.0,78.014181
SQ,2023-07-18 14:00:00+00:00,78.27,79.0,77.83,78.35,1167666.0,15757.0,78.421286
SQ,2023-07-18 15:00:00+00:00,78.3912,78.515,77.7268,78.29,874775.0,10132.0,78.084268
SQ,2023-07-18 16:00:00+00:00,78.285,78.625,78.06,78.4,547017.0,7290.0,78.351542
SQ,2023-07-18 17:00:00+00:00,78.4,78.82,78.35,78.5,541126.0,7637.0,78.555144
SQ,2023-07-18 18:00:00+00:00,78.49,79.0878,78.47,79.015,751907.0,10144.0,78.840319
SQ,2023-07-18 19:00:00+00:00,79.015,79.21,78.74,79.015,1460349.0,20365.0,78.981176
SQ,2023-07-18 20:00:00+00:00,79.03,79.03,78.85,78.9,513242.0,103.0,79.028401
SQ,2023-07-18 21:00:00+00:00,78.75,78.89,78.71,78.84,2174.0,24.0,78.790644
SQ,2023-07-18 22:00:00+00:00,78.9,79.16,78.9,79.0,3131.0,33.0,78.989923
SQ,2023-07-18 23:00:00+00:00,78.95,78.95,78.91,78.91,853.0,6.0,78.915428
SQ,2023-07-19 08:00:00+00:00,78.0,78.71,78.0,78.71,246.0,6.0,78.294715
SQ,2023-07-19 09:00:00+00:00,78.99,79.1,78.99,79.1,681.0,14.0,79.029941
SQ,2023-07-19 10:00:00+00:00,79.02,79.02,79.0,79.0,506.0,6.0,79.009881
SQ,2023-07-19 11:00:00+00:00,79.05,79.39,79.0,79.34,8143.0,116.0,79.188406
SQ,2023-07-19 12:00:00+00:00,79.05,79.78,79.0,79.7,34588.0,624.0,79.467916
SQ,2023-07-19 13:00:00+00:00,79.68,80.6,79.13,79.57,1323526.0,13187.0,80.010587
SQ,2023-07-19 14:00:00+00:00,79.6,80.15,79.245,79.98,1135868.0,13540.0,79.72884
SQ,2023-07-19 15:00:00+00:00,79.98,80.4,79.76,79.96,949941.0,12177.0,80.121532
SQ,2023-07-19 16:00:00+00:00,79.97,80.145,78.11,78.8168,1205370.0,16157.0,78.831568
SQ,2023-07-19 17:00:00+00:00,78.815,78.99,78.28,78.61,640284.0,10473.0,78.672926
SQ,2023-07-19 18:00:00+00:00,78.62,78.72,78.21,78.54,630611.0,10664.0,78.417178
SQ,2023-07-19 19:00:00+00:00,78.55,78.805,78.18,78.19,1810808.0,22611.0,78.451646
SQ,2023-07-19 20:00:00+00:00,78.23,78.23,78.01,78.0901,526546.0,148.0,78.187223
SQ,2023-07-19 21:00:00+00:00,78.15,78.15,77.9568,77.96,2364.0,67.0,78.017477
SQ,2023-07-19 22:00:00+00:00,77.92,78.19,77.5001,77.6,15502.0,104.0,77.654319
SQ,2023-07-19 23:00:00+00:00,78.19,78.19,77.35,77.4,5477.0,78.0,77.460087
SQ,2023-07-20 08:00:00+00:00,77.65,77.81,77.65,77.77,5156.0,67.0,77.712459
SQ,2023-07-20 09:00:00+00:00,77.68,77.72,77.68,77.71,961.0,15.0,77.709584
SQ,2023-07-20 10:00:00+00:00,77.78,77.78,77.7,77.7,364.0,8.0,77.737363
SQ,2023-07-20 11:00:00+00:00,77.72,77.79,77.53,77.73,3770.0,41.0,77.676374
SQ,2023-07-20 12:00:00+00:00,77.73,77.8,76.63,77.31,24999.0,321.0,77.466256
SQ,2023-07-20 13:00:00+00:00,77.31,77.95,76.71,77.265,938170.0,10604.0,77.350865
SQ,2023-07-20 14:00:00+00:00,77.3,77.55,75.76,76.2426,1708893.0,20607.0,76.517172
SQ,2023-07-20 15:00:00+00:00,76.27,76.93,76.21,76.88,718726.0,10719.0,76.559439
SQ,2023-07-20 16:00:00+00:00,76.89,76.92,76.23,76.55,475041.0,6997.0,76.637258
SQ,2023-07-20 17:00:00+00:00,76.55,76.69,76.258,76.5,414640.0,5725.0,76.478119
SQ,2023-07-20 18:00:00+00:00,76.48,76.68,75.87,75.89,771482.0,10117.0,76.259522
SQ,2023-07-20 19:00:00+00:00,75.895,76.25,75.66,76.18,1809278.0,22812.0,75.996676
SQ,2023-07-20 20:00:00+00:00,76.17,76.29,76.0779,76.24,336788.0,116.0,76.170392
SQ,2023-07-20 21:00:00+00:00,76.14,76.22,76.08,76.08,1680.0,9.0,76.106202
SQ,2023-07-20 22:00:00+00:00,76.08,76.21,76.01,76.01,4528.0,19.0,76.087677
SQ,2023-07-20 23:00:00+00:00,76.17,76.17,75.85,75.93,5716.0,47.0,76.029855
SQ,2023-07-21 08:00:00+00:00,76.67,76.67,76.63,76.63,800.0,7.0,76.649238
SQ,2023-07-21 10:00:00+00:00,76.75,76.86,76.75,76.86,360.0,3.0,76.823333
SQ,2023-07-21 11:00:00+00:00,76.8,76.8,76.49,76.57,12769.0,127.0,76.621416
SQ,2023-07-21 12:00:00+00:00,76.77,76.79,76.52,76.7699,29880.0,243.0,76.69912
SQ,2023-07-21 13:00:00+00:00,76.77,77.605,75.65,75.7325,932092.0,9022.0,76.499689
SQ,2023-07-21 14:00:00+00:00,75.755,75.99,75.08,75.42,1281070.0,12560.0,75.48707
SQ,2023-07-21 15:00:00+00:00,75.4125,76.2,75.4,76.01,637451.0,8159.0,75.882652
SQ,2023-07-21 16:00:00+00:00,76.05,76.23,75.72,76.0199,328772.0,4631.0,75.958147
SQ,2023-07-21 17:00:00+00:00,76.02,76.7786,76.0,76.745,382226.0,5428.0,76.415782
SQ,2023-07-21 18:00:00+00:00,76.74,76.76,76.26,76.26,332843.0,5300.0,76.419575
