symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SSYS,2023-07-17 10:00:00+00:00,20.41,20.97,20.41,20.8,1105.0,10.0,20.652054
SSYS,2023-07-17 11:00:00+00:00,21.01,21.02,20.73,20.74,5496.0,47.0,20.848665
SSYS,2023-07-17 12:00:00+00:00,21.0,21.0201,20.73,20.8,13024.0,40.0,20.815045
SSYS,2023-07-17 13:00:00+00:00,20.98,21.31,20.71,20.98,583905.0,3656.0,20.959368
SSYS,2023-07-17 14:00:00+00:00,21.02,21.02,20.81,20.87,148698.0,1347.0,20.9324
SSYS,2023-07-17 15:00:00+00:00,20.9,21.03,20.8701,21.025,110426.0,1145.0,20.966255
SSYS,2023-07-17 16:00:00+00:00,21.05,21.1601,20.82,20.92,316781.0,2894.0,20.98411
SSYS,2023-07-17 17:00:00+00:00,20.93,21.165,20.81,21.1,116321.0,1322.0,21.009844
SSYS,2023-07-17 18:00:00+00:00,21.11,21.12,20.9,20.94,144044.0,1485.0,20.996074
SSYS,2023-07-17 19:00:00+00:00,20.94,20.95,20.76,20.86,452010.0,4528.0,20.827872
SSYS,2023-07-17 20:00:00+00:00,20.85,21.35,20.85,20.94,44201.0,39.0,20.873125
SSYS,2023-07-17 21:00:00+00:00,21.1,21.1,21.1,21.1,160.0,2.0,21.1
SSYS,2023-07-17 22:00:00+00:00,21.12,21.12,21.12,21.12,100.0,1.0,21.12
SSYS,2023-07-18 08:00:00+00:00,21.15,21.99,21.15,21.56,5517.0,26.0,21.509094
SSYS,2023-07-18 09:00:00+00:00,21.72,21.75,21.7,21.7,1932.0,10.0,21.714907
SSYS,2023-07-18 10:00:00+00:00,21.51,21.58,21.5,21.5,1006.0,10.0,21.521173
SSYS,2023-07-18 11:00:00+00:00,21.6,21.6,21.4,21.59,6389.0,32.0,21.523235
SSYS,2023-07-18 12:00:00+00:00,21.51,21.6799,21.35,21.35,29272.0,109.0,21.531445
SSYS,2023-07-18 13:00:00+00:00,21.35,21.72,21.15,21.68,365874.0,2378.0,21.426866
SSYS,2023-07-18 14:00:00+00:00,21.65,21.65,21.32,21.39,177883.0,2782.0,21.488303
SSYS,2023-07-18 15:00:00+00:00,21.38,21.5,21.23,21.43,135720.0,2035.0,21.355216
SSYS,2023-07-18 16:00:00+00:00,21.42,21.52,21.32,21.32,212614.0,1535.0,21.443875
SSYS,2023-07-18 17:00:00+00:00,21.31,21.39,21.11,21.13,99085.0,884.0,21.269762
SSYS,2023-07-18 18:00:00+00:00,21.14,21.25,21.04,21.19,157740.0,2022.0,21.155091
SSYS,2023-07-18 19:00:00+00:00,21.19,21.41,21.162,21.31,292983.0,3652.0,21.259139
SSYS,2023-07-18 20:00:00+00:00,21.3,21.3,21.3,21.3,17743.0,4.0,21.3
SSYS,2023-07-18 21:00:00+00:00,21.3,21.3,21.3,21.3,200.0,2.0,21.3
SSYS,2023-07-18 23:00:00+00:00,21.19,21.19,21.19,21.19,200.0,2.0,21.19
SSYS,2023-07-19 10:00:00+00:00,21.53,21.53,21.53,21.53,250.0,3.0,21.53
SSYS,2023-07-19 12:00:00+00:00,21.01,21.33,21.01,21.3017,8022.0,8.0,21.298059
SSYS,2023-07-19 13:00:00+00:00,21.3514,21.4933,21.16,21.22,167916.0,1715.0,21.350594
SSYS,2023-07-19 14:00:00+00:00,21.23,21.342,21.1,21.32,62640.0,1205.0,21.250192
SSYS,2023-07-19 15:00:00+00:00,21.31,21.435,21.2,21.21,54967.0,658.0,21.358127
SSYS,2023-07-19 16:00:00+00:00,21.23,21.34,21.12,21.13,102967.0,1261.0,21.218776
SSYS,2023-07-19 17:00:00+00:00,21.12,21.1885,21.09,21.14,188293.0,1119.0,21.129708
SSYS,2023-07-19 18:00:00+00:00,21.14,21.25,21.13,21.17,176601.0,840.0,21.171455
SSYS,2023-07-19 19:00:00+00:00,21.17,21.295,21.14,21.2603,108599.0,1694.0,21.241219
SSYS,2023-07-19 20:00:00+00:00,21.27,21.27,21.15,21.26,37919.0,7.0,21.23962
SSYS,2023-07-19 22:00:00+00:00,21.26,21.26,21.26,21.26,100.0,1.0,21.26
SSYS,2023-07-19 23:00:00+00:00,21.25,21.25,21.11,21.11,1770.0,11.0,21.131598
SSYS,2023-07-20 12:00:00+00:00,21.15,21.23,21.106,21.23,410.0,4.0,21.157561
SSYS,2023-07-20 13:00:00+00:00,21.11,21.18,21.01,21.05,44924.0,419.0,21.068001
SSYS,2023-07-20 14:00:00+00:00,21.06,21.06,20.75,20.82,114247.0,1324.0,20.909776
SSYS,2023-07-20 15:00:00+00:00,20.82,20.89,20.77,20.85,68653.0,927.0,20.825749
SSYS,2023-07-20 16:00:00+00:00,20.865,20.9,20.72,20.8,51732.0,410.0,20.80676
SSYS,2023-07-20 17:00:00+00:00,20.79,20.92,20.78,20.8601,52376.0,483.0,20.855319
SSYS,2023-07-20 18:00:00+00:00,20.86,20.9099,20.83,20.8389,26090.0,491.0,20.860019
SSYS,2023-07-20 19:00:00+00:00,20.82,20.82,20.66,20.66,92300.0,1370.0,20.730091
SSYS,2023-07-20 20:00:00+00:00,20.66,20.6955,20.66,20.6955,83977.0,2.0,20.677755
SSYS,2023-07-21 13:00:00+00:00,20.67,20.87,20.5752,20.625,27556.0,293.0,20.716932
SSYS,2023-07-21 14:00:00+00:00,20.55,20.78,20.53,20.72,168129.0,1298.0,20.650706
SSYS,2023-07-21 15:00:00+00:00,20.72,20.82,20.71,20.73,50781.0,1003.0,20.759497
SSYS,2023-07-21 16:00:00+00:00,20.73,20.7492,20.57,20.6,30710.0,680.0,20.65585
SSYS,2023-07-21 17:00:00+00:00,20.605,20.68,20.575,20.575,46563.0,802.0,20.640462
SSYS,2023-07-21 18:00:00+00:00,20.57,20.57,20.32,20.325,147780.0,2627.0,20.413764
SSYS,2023-07-21 19:00:00+00:00,20.32,20.37,20.2,20.289,281143.0,4473.0,20.271708
