symbol,timestamp,open,high,low,close,volume,trade_count,vwap
STOK,2023-07-17 13:00:00+00:00,10.19,10.45,10.165,10.374,12066.0,162.0,10.309461
STOK,2023-07-17 14:00:00+00:00,10.3839,10.5,10.3,10.41,14261.0,297.0,10.396169
STOK,2023-07-17 15:00:00+00:00,10.36,10.49,10.32,10.41,8962.0,230.0,10.369962
STOK,2023-07-17 16:00:00+00:00,10.42,10.47,10.39,10.445,7147.0,206.0,10.431303
STOK,2023-07-17 17:00:00+00:00,10.46,10.48,10.3948,10.3948,8934.0,216.0,10.448848
STOK,2023-07-17 18:00:00+00:00,10.4,10.41,10.3,10.3,5729.0,222.0,10.374331
STOK,2023-07-17 19:00:00+00:00,10.32,10.46,10.22,10.43,60682.0,1318.0,10.366554
STOK,2023-07-17 20:00:00+00:00,10.42,10.42,10.42,10.42,42330.0,7.0,10.42
STOK,2023-07-18 13:00:00+00:00,10.45,10.8,10.45,10.78,9033.0,185.0,10.613112
STOK,2023-07-18 14:00:00+00:00,10.8237,10.8237,10.675,10.71,8604.0,225.0,10.731656
STOK,2023-07-18 15:00:00+00:00,10.7,10.85,10.69,10.85,9919.0,252.0,10.766109
STOK,2023-07-18 16:00:00+00:00,10.875,11.0,10.86,10.88,19410.0,227.0,10.914155
STOK,2023-07-18 17:00:00+00:00,10.9,10.94,10.76,10.77,5863.0,162.0,10.884503
STOK,2023-07-18 18:00:00+00:00,10.76,10.81,10.713,10.713,8023.0,175.0,10.770777
STOK,2023-07-18 19:00:00+00:00,10.725,10.73,10.61,10.67,25778.0,566.0,10.675967
STOK,2023-07-18 20:00:00+00:00,10.68,10.68,10.68,10.68,17953.0,6.0,10.68
STOK,2023-07-19 13:00:00+00:00,10.72,11.06,10.72,11.005,4942.0,118.0,10.896786
STOK,2023-07-19 14:00:00+00:00,11.05,11.21,11.05,11.1799,10441.0,266.0,11.147357
STOK,2023-07-19 15:00:00+00:00,11.18,11.51,11.17,11.445,34224.0,497.0,11.33376
STOK,2023-07-19 16:00:00+00:00,11.445,11.85,11.3,11.335,32160.0,340.0,11.597435
STOK,2023-07-19 17:00:00+00:00,11.37,11.37,11.17,11.22,9691.0,168.0,11.242567
STOK,2023-07-19 18:00:00+00:00,11.2,11.56,11.15,11.465,30118.0,447.0,11.360519
STOK,2023-07-19 19:00:00+00:00,11.465,11.475,11.21,11.35,57564.0,907.0,11.326033
STOK,2023-07-19 20:00:00+00:00,11.35,11.35,11.35,11.35,21161.0,6.0,11.35
STOK,2023-07-19 22:00:00+00:00,11.64,11.64,11.64,11.64,500.0,1.0,11.64
STOK,2023-07-20 13:00:00+00:00,11.45,11.45,11.0101,11.1431,25950.0,416.0,11.275319
STOK,2023-07-20 14:00:00+00:00,11.13,11.135,10.93,11.13,15660.0,308.0,11.018799
STOK,2023-07-20 15:00:00+00:00,11.17,11.4925,11.17,11.475,17662.0,389.0,11.342149
STOK,2023-07-20 16:00:00+00:00,11.495,11.51,11.04,11.195,31697.0,694.0,11.319571
STOK,2023-07-20 17:00:00+00:00,11.185,11.2299,11.03,11.13,7517.0,192.0,11.107499
STOK,2023-07-20 18:00:00+00:00,11.1,11.25,11.05,11.05,28735.0,619.0,11.178543
STOK,2023-07-20 19:00:00+00:00,11.07,11.19,11.04,11.13,55252.0,1497.0,11.10098
STOK,2023-07-20 20:00:00+00:00,11.13,11.13,11.13,11.13,15695.0,5.0,11.13
STOK,2023-07-21 13:00:00+00:00,11.35,12.45,11.35,11.72,105598.0,772.0,11.912738
STOK,2023-07-21 14:00:00+00:00,11.7283,12.3,11.66,11.8825,151286.0,990.0,12.030708
STOK,2023-07-21 15:00:00+00:00,11.89,12.03,11.65,11.81,94750.0,855.0,11.847185
STOK,2023-07-21 16:00:00+00:00,11.83,12.09,11.8,12.01,31450.0,710.0,11.944628
STOK,2023-07-21 17:00:00+00:00,12.01,12.3,11.89,12.15,107588.0,721.0,12.032708
STOK,2023-07-21 18:00:00+00:00,12.18,12.27,12.12,12.21,59166.0,653.0,12.194689
STOK,2023-07-21 19:00:00+00:00,12.19,12.19,11.79,11.99,85706.0,1749.0,11.96541
STOK,2023-07-21 20:00:00+00:00,11.99,11.99,11.99,11.99,44796.0,7.0,11.99
STOK,2023-07-24 13:00:00+00:00,12.0,12.3199,11.93,11.96,15732.0,190.0,12.084334
STOK,2023-07-24 14:00:00+00:00,11.87,11.88,11.14,11.14,18484.0,350.0,11.522168
STOK,2023-07-24 15:00:00+00:00,11.21,11.35,10.83,10.925,42427.0,730.0,11.063689
STOK,2023-07-24 16:00:00+00:00,10.8605,10.95,10.65,10.66,36747.0,677.0,10.816742
STOK,2023-07-24 17:00:00+00:00,10.64,10.67,10.27,10.27,41403.0,675.0,10.528108
STOK,2023-07-24 18:00:00+00:00,10.255,10.3,9.96,10.2,206158.0,1586.0,10.041329
STOK,2023-07-24 19:00:00+00:00,10.16,10.2689,9.49,9.51,250168.0,2735.0,9.853805
