symbol,timestamp,open,high,low,close,volume,trade_count,vwap
STRO,2023-07-17 13:00:00+00:00,4.77,5.125,4.77,5.11,44137.0,442.0,4.986463
STRO,2023-07-17 14:00:00+00:00,5.1,5.11,4.92,4.98,40660.0,638.0,4.976802
STRO,2023-07-17 15:00:00+00:00,4.98,4.98,4.945,4.98,27109.0,522.0,4.961378
STRO,2023-07-17 16:00:00+00:00,4.975,5.005,4.9,4.905,31731.0,567.0,4.94292
STRO,2023-07-17 17:00:00+00:00,4.905,4.92,4.88,4.895,16661.0,320.0,4.898596
STRO,2023-07-17 18:00:00+00:00,4.89,4.895,4.83,4.85,19712.0,358.0,4.868943
STRO,2023-07-17 19:00:00+00:00,4.86,4.89,4.825,4.855,67900.0,1019.0,4.859709
STRO,2023-07-17 20:00:00+00:00,4.86,4.86,4.86,4.86,18789.0,3.0,4.86
STRO,2023-07-18 13:00:00+00:00,4.85,4.99,4.805,4.95,9659.0,156.0,4.908747
STRO,2023-07-18 14:00:00+00:00,4.925,4.95,4.89,4.94,22728.0,367.0,4.921502
STRO,2023-07-18 15:00:00+00:00,4.94,4.98,4.92,4.97,36510.0,385.0,4.947326
STRO,2023-07-18 16:00:00+00:00,4.97,5.01,4.94,4.96,48474.0,542.0,4.977416
STRO,2023-07-18 17:00:00+00:00,4.97,4.99,4.85,4.86,63816.0,541.0,4.931197
STRO,2023-07-18 18:00:00+00:00,4.855,4.9,4.84,4.8899,53310.0,567.0,4.87212
STRO,2023-07-18 19:00:00+00:00,4.885,4.885,4.81,4.83,72583.0,876.0,4.841789
STRO,2023-07-18 20:00:00+00:00,4.83,4.83,4.83,4.83,31661.0,4.0,4.83
STRO,2023-07-19 13:00:00+00:00,4.78,4.94,4.78,4.94,9893.0,91.0,4.891987
STRO,2023-07-19 14:00:00+00:00,4.93,4.97,4.88,4.885,54326.0,581.0,4.914019
STRO,2023-07-19 15:00:00+00:00,4.89,4.89,4.8,4.83,17816.0,418.0,4.834205
STRO,2023-07-19 16:00:00+00:00,4.83,4.86,4.825,4.86,40747.0,498.0,4.839947
STRO,2023-07-19 17:00:00+00:00,4.855,4.905,4.85,4.9,27303.0,474.0,4.871207
STRO,2023-07-19 18:00:00+00:00,4.9,4.94,4.895,4.925,31356.0,518.0,4.919828
STRO,2023-07-19 19:00:00+00:00,4.92,4.935,4.9,4.91,101498.0,1394.0,4.917497
STRO,2023-07-19 20:00:00+00:00,4.9,4.9,4.9,4.9,27891.0,4.0,4.9
STRO,2023-07-20 13:00:00+00:00,4.87,4.93,4.86,4.89,13062.0,82.0,4.891097
STRO,2023-07-20 14:00:00+00:00,4.885,4.885,4.84,4.88,25036.0,282.0,4.862377
STRO,2023-07-20 15:00:00+00:00,4.87,4.91,4.87,4.91,35607.0,343.0,4.900921
STRO,2023-07-20 16:00:00+00:00,4.91,4.915,4.83,4.84,42159.0,243.0,4.862662
STRO,2023-07-20 17:00:00+00:00,4.845,4.89,4.84,4.875,17676.0,262.0,4.871089
STRO,2023-07-20 18:00:00+00:00,4.875,4.88,4.83,4.85,28919.0,485.0,4.853793
STRO,2023-07-20 19:00:00+00:00,4.85,4.89,4.8,4.805,92879.0,1347.0,4.846332
STRO,2023-07-20 20:00:00+00:00,4.81,4.89,4.81,4.89,27231.0,4.0,4.812938
STRO,2023-07-21 13:00:00+00:00,4.84,4.89,4.76,4.78,28538.0,48.0,4.836901
STRO,2023-07-21 14:00:00+00:00,4.81,4.81,4.72,4.75,29792.0,354.0,4.746441
STRO,2023-07-21 15:00:00+00:00,4.755,4.8,4.75,4.78,20854.0,251.0,4.776521
STRO,2023-07-21 16:00:00+00:00,4.77,4.81,4.76,4.775,27007.0,287.0,4.785574
STRO,2023-07-21 17:00:00+00:00,4.775,4.82,4.77,4.82,13413.0,198.0,4.794614
STRO,2023-07-21 18:00:00+00:00,4.82,4.82,4.79,4.79,21257.0,283.0,4.803794
STRO,2023-07-21 19:00:00+00:00,4.79,4.8,4.745,4.78,64033.0,783.0,4.776721
STRO,2023-07-21 20:00:00+00:00,4.77,4.77,4.77,4.77,20394.0,3.0,4.77
STRO,2023-07-24 13:00:00+00:00,4.78,4.805,4.755,4.78,10004.0,141.0,4.778453
STRO,2023-07-24 14:00:00+00:00,4.78,4.785,4.7,4.709,34855.0,323.0,4.742654
STRO,2023-07-24 15:00:00+00:00,4.705,4.705,4.56,4.59,86948.0,497.0,4.631631
STRO,2023-07-24 16:00:00+00:00,4.6,4.6,4.53,4.54,24130.0,344.0,4.555804
STRO,2023-07-24 17:00:00+00:00,4.53,4.53,4.47,4.47,29269.0,397.0,4.490984
STRO,2023-07-24 18:00:00+00:00,4.48,4.53,4.48,4.5,24639.0,395.0,4.505244
STRO,2023-07-24 19:00:00+00:00,4.49,4.495,4.42,4.46,143568.0,1515.0,4.444577
STRO,2023-07-24 20:00:00+00:00,4.45,4.45,4.45,4.45,27877.0,6.0,4.45
STRO,2023-07-25 13:00:00+00:00,4.44,4.54,4.39,4.45,21712.0,243.0,4.468737
STRO,2023-07-25 14:00:00+00:00,4.45,4.465,4.41,4.44,51935.0,612.0,4.437936
STRO,2023-07-25 15:00:00+00:00,4.45,4.455,4.43,4.435,28435.0,306.0,4.443796
STRO,2023-07-25 16:00:00+00:00,4.44,4.445,4.39,4.43,15618.0,333.0,4.420086
STRO,2023-07-25 17:00:00+00:00,4.44,4.45,4.41,4.445,42179.0,560.0,4.43619
STRO,2023-07-25 18:00:00+00:00,4.445,4.46,4.43,4.45,81760.0,1027.0,4.447338
STRO,2023-07-25 19:00:00+00:00,4.45,4.455,4.38,4.38,107791.0,1224.0,4.422856
STRO,2023-07-25 20:00:00+00:00,4.39,4.39,4.39,4.39,18589.0,2.0,4.39
STRO,2023-07-26 13:00:00+00:00,4.44,4.57,4.305,4.44,16050.0,121.0,4.402507
STRO,2023-07-26 14:00:00+00:00,4.43,4.445,4.39,4.395,16288.0,331.0,4.417833
STRO,2023-07-26 15:00:00+00:00,4.395,4.42,4.34,4.385,115729.0,1339.0,4.375247
STRO,2023-07-26 16:00:00+00:00,4.385,4.435,4.37,4.42,24199.0,328.0,4.403099
STRO,2023-07-26 17:00:00+00:00,4.425,4.43,4.38,4.39,23357.0,458.0,4.397396
STRO,2023-07-26 18:00:00+00:00,4.39,4.435,4.38,4.43,26467.0,494.0,4.404874
STRO,2023-07-26 19:00:00+00:00,4.43,4.43,4.39,4.415,88657.0,1391.0,4.407085
STRO,2023-07-26 20:00:00+00:00,4.41,4.41,4.41,4.41,29171.0,2.0,4.41
STRO,2023-07-27 13:00:00+00:00,4.48,4.58,4.36,4.37,15648.0,246.0,4.416034
STRO,2023-07-27 14:00:00+00:00,4.39,4.41,4.36,4.38,28267.0,524.0,4.381956
STRO,2023-07-27 15:00:00+00:00,4.39,4.47,4.39,4.46,65222.0,836.0,4.441336
STRO,2023-07-27 16:00:00+00:00,4.455,4.48,4.43,4.44,32498.0,614.0,4.461013
STRO,2023-07-27 17:00:00+00:00,4.45,4.47,4.44,4.46,27987.0,557.0,4.455519
STRO,2023-07-27 18:00:00+00:00,4.46,4.47,4.435,4.455,39375.0,692.0,4.457222
STRO,2023-07-27 19:00:00+00:00,4.46,4.53,4.44,4.53,127307.0,1504.0,4.479572
STRO,2023-07-27 20:00:00+00:00,4.52,4.52,4.52,4.52,36300.0,5.0,4.52
STRO,2023-07-28 13:00:00+00:00,4.57,4.63,4.44,4.62,13884.0,151.0,4.578674
STRO,2023-07-28 14:00:00+00:00,4.62,4.62,4.56,4.575,16266.0,308.0,4.587904
STRO,2023-07-28 15:00:00+00:00,4.575,4.62,4.56,4.6,10738.0,250.0,4.590527
STRO,2023-07-28 16:00:00+00:00,4.59,4.605,4.585,4.59,8351.0,156.0,4.597201
STRO,2023-07-28 17:00:00+00:00,4.585,4.585,4.53,4.55,7521.0,167.0,4.55393
STRO,2023-07-28 18:00:00+00:00,4.55,4.57,4.52,4.54,13666.0,274.0,4.544623
STRO,2023-07-28 19:00:00+00:00,4.54,4.54,4.46,4.47,34870.0,647.0,4.485859
STRO,2023-07-28 20:00:00+00:00,4.48,4.48,4.48,4.48,27237.0,7.0,4.48
STRO,2023-07-28 23:00:00+00:00,4.4,4.4,4.4,4.4,250.0,1.0,4.4
STRO,2023-07-31 13:00:00+00:00,4.55,4.565,4.45,4.53,9252.0,116.0,4.493212
STRO,2023-07-31 14:00:00+00:00,4.52,4.52,4.42,4.44,18813.0,320.0,4.446242
STRO,2023-07-31 15:00:00+00:00,4.44,4.51,4.44,4.51,13387.0,333.0,4.476015
STRO,2023-07-31 16:00:00+00:00,4.5,4.51,4.48,4.5,8560.0,202.0,4.498231
STRO,2023-07-31 17:00:00+00:00,4.5,4.515,4.49,4.49,10283.0,218.0,4.503026
STRO,2023-07-31 18:00:00+00:00,4.495,4.51,4.47,4.475,16096.0,232.0,4.4903
STRO,2023-07-31 19:00:00+00:00,4.475,4.485,4.45,4.475,33127.0,600.0,4.469251
STRO,2023-07-31 20:00:00+00:00,4.47,4.47,4.47,4.47,33835.0,3.0,4.47
STRO,2023-08-01 12:00:00+00:00,4.59,4.86,4.59,4.86,2429.0,2.0,4.701157
STRO,2023-08-01 13:00:00+00:00,4.57,4.57,4.44,4.51,23652.0,259.0,4.472761
STRO,2023-08-01 14:00:00+00:00,4.5,4.51,4.43,4.505,22569.0,501.0,4.474291
STRO,2023-08-01 15:00:00+00:00,4.5,4.51,4.49,4.49,14332.0,399.0,4.49989
STRO,2023-08-01 16:00:00+00:00,4.48,4.53,4.48,4.49,34848.0,453.0,4.503254
STRO,2023-08-01 17:00:00+00:00,4.5,4.5,4.48,4.495,16318.0,339.0,4.492721
STRO,2023-08-01 18:00:00+00:00,4.49,4.51,4.46,4.46,36184.0,465.0,4.487948
STRO,2023-08-01 19:00:00+00:00,4.465,4.48,4.44,4.45,60316.0,1079.0,4.459484
STRO,2023-08-01 20:00:00+00:00,4.45,4.45,4.45,4.45,28945.0,2.0,4.45
STRO,2023-08-01 22:00:00+00:00,4.49,4.49,4.49,4.49,305.0,4.0,4.49
STRO,2023-08-02 11:00:00+00:00,4.31,4.31,4.31,4.31,100.0,1.0,4.31
STRO,2023-08-02 13:00:00+00:00,4.46,4.47,4.26,4.265,35653.0,345.0,4.341923
STRO,2023-08-02 14:00:00+00:00,4.25,4.275,4.19,4.26,26876.0,613.0,4.23439
STRO,2023-08-02 15:00:00+00:00,4.25,4.27,4.2274,4.265,18202.0,341.0,4.247659
STRO,2023-08-02 16:00:00+00:00,4.27,4.3,4.25,4.285,18347.0,342.0,4.280877
STRO,2023-08-02 17:00:00+00:00,4.29,4.29,4.235,4.265,55472.0,461.0,4.260845
STRO,2023-08-02 18:00:00+00:00,4.27,4.285,4.26,4.275,15264.0,275.0,4.274413
STRO,2023-08-02 19:00:00+00:00,4.27,4.315,4.26,4.3,61550.0,864.0,4.291593
STRO,2023-08-02 20:00:00+00:00,4.29,4.29,4.29,4.29,22358.0,6.0,4.29
STRO,2023-08-02 23:00:00+00:00,4.32,4.32,4.32,4.32,140.0,1.0,4.32
STRO,2023-08-03 13:00:00+00:00,4.26,4.315,4.23,4.31,10764.0,150.0,4.275366
STRO,2023-08-03 14:00:00+00:00,4.31,4.37,4.31,4.35,15733.0,365.0,4.339506
STRO,2023-08-03 15:00:00+00:00,4.36,4.37,4.34,4.34,8361.0,248.0,4.353615
STRO,2023-08-03 16:00:00+00:00,4.3339,4.365,4.3339,4.365,10050.0,321.0,4.347953
STRO,2023-08-03 17:00:00+00:00,4.365,4.37,4.355,4.37,5804.0,177.0,4.362329
STRO,2023-08-03 18:00:00+00:00,4.365,4.375,4.34,4.365,16440.0,506.0,4.357559
STRO,2023-08-03 19:00:00+00:00,4.365,4.365,4.32,4.35,60181.0,1140.0,4.347196
STRO,2023-08-03 20:00:00+00:00,4.34,4.34,4.34,4.34,23414.0,2.0,4.34
STRO,2023-08-04 13:00:00+00:00,4.37,4.38,4.3,4.37,5426.0,53.0,4.360718
STRO,2023-08-04 14:00:00+00:00,4.37,4.4419,4.35,4.43,19930.0,336.0,4.393726
