symbol,timestamp,open,high,low,close,volume,trade_count,vwap
STT,2023-07-17 08:00:00+00:00,67.42,67.42,67.42,67.42,109.0,1.0,67.42
STT,2023-07-17 09:00:00+00:00,67.51,67.51,66.97,66.97,1734.0,11.0,67.228472
STT,2023-07-17 10:00:00+00:00,66.77,66.77,66.57,66.68,7870.0,51.0,66.634282
STT,2023-07-17 11:00:00+00:00,66.68,66.875,66.675,66.87,10292.0,101.0,66.727472
STT,2023-07-17 12:00:00+00:00,66.7309,67.0,66.55,67.0,19174.0,202.0,66.768665
STT,2023-07-17 13:00:00+00:00,67.04,67.839,65.4,67.3184,919484.0,10232.0,67.01778
STT,2023-07-17 14:00:00+00:00,67.36,67.4447,66.035,66.535,1042933.0,15079.0,66.609969
STT,2023-07-17 15:00:00+00:00,66.53,66.8201,66.4,66.5,629476.0,10380.0,66.627776
STT,2023-07-17 16:00:00+00:00,66.51,66.57,65.981,66.56,566790.0,7714.0,66.266415
STT,2023-07-17 17:00:00+00:00,66.55,66.61,66.315,66.32,514401.0,7797.0,66.458068
STT,2023-07-17 18:00:00+00:00,66.315,67.16,66.24,66.88,913940.0,9438.0,66.633435
STT,2023-07-17 19:00:00+00:00,66.88,66.93,66.43,66.51,2008732.0,22245.0,66.655304
STT,2023-07-17 20:00:00+00:00,66.51,66.51,66.36,66.45,368914.0,67.0,66.509436
STT,2023-07-17 22:00:00+00:00,66.51,66.51,66.5,66.5,159.0,2.0,66.5
STT,2023-07-17 23:00:00+00:00,66.5,66.5,66.5,66.5,198.0,2.0,66.5
STT,2023-07-18 10:00:00+00:00,67.0,67.0,67.0,67.0,1397.0,2.0,67.0
STT,2023-07-18 12:00:00+00:00,66.51,66.51,66.51,66.51,400.0,1.0,66.51
STT,2023-07-18 13:00:00+00:00,67.24,67.8,66.74,67.4,486033.0,6684.0,67.314735
STT,2023-07-18 14:00:00+00:00,67.48,67.98,66.32,66.465,947477.0,14766.0,66.934267
STT,2023-07-18 15:00:00+00:00,66.48,67.05,66.425,66.48,991347.0,16493.0,66.743721
STT,2023-07-18 16:00:00+00:00,66.47,66.59,66.26,66.405,595976.0,10811.0,66.416129
STT,2023-07-18 17:00:00+00:00,66.435,66.89,66.23,66.75,760659.0,10864.0,66.558349
STT,2023-07-18 18:00:00+00:00,66.745,67.46,66.72,67.29,1184780.0,11970.0,67.090235
STT,2023-07-18 19:00:00+00:00,67.285,68.32,67.26,68.29,2174833.0,26874.0,67.995154
STT,2023-07-18 20:00:00+00:00,68.29,68.29,68.29,68.29,796533.0,44.0,68.29
STT,2023-07-18 22:00:00+00:00,68.39,68.39,68.29,68.29,550.0,3.0,68.353636
STT,2023-07-19 12:00:00+00:00,68.45,68.46,68.35,68.46,6960.0,35.0,68.450259
STT,2023-07-19 13:00:00+00:00,68.59,70.01,68.36,69.9833,636454.0,6357.0,69.180884
STT,2023-07-19 14:00:00+00:00,69.94,70.37,69.57,69.89,771273.0,11475.0,70.00502
STT,2023-07-19 15:00:00+00:00,69.865,69.97,69.315,69.955,502241.0,9491.0,69.587433
STT,2023-07-19 16:00:00+00:00,69.96,70.06,69.51,69.82,548346.0,9578.0,69.824676
