symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TCBK,2023-07-17 13:00:00+00:00,34.86,35.31,34.7,35.235,3775.0,50.0,34.980454
TCBK,2023-07-17 14:00:00+00:00,35.39,36.15,35.39,36.15,6237.0,187.0,35.691381
TCBK,2023-07-17 15:00:00+00:00,36.12,36.34,36.04,36.28,2435.0,90.0,36.174678
TCBK,2023-07-17 16:00:00+00:00,36.3,36.33,36.225,36.225,3206.0,68.0,36.302509
TCBK,2023-07-17 17:00:00+00:00,36.21,36.4,36.21,36.39,2975.0,72.0,36.3434
TCBK,2023-07-17 18:00:00+00:00,36.33,36.5348,36.33,36.34,5131.0,136.0,36.421062
TCBK,2023-07-17 19:00:00+00:00,36.3,36.31,36.17,36.25,18566.0,553.0,36.253692
TCBK,2023-07-17 20:00:00+00:00,36.25,36.25,36.25,36.25,13094.0,3.0,36.25
TCBK,2023-07-18 13:00:00+00:00,36.22,36.975,36.22,36.975,12717.0,242.0,36.61892
TCBK,2023-07-18 14:00:00+00:00,37.2,37.36,36.52,36.52,8701.0,217.0,37.010104
TCBK,2023-07-18 15:00:00+00:00,36.67,36.86,36.53,36.63,10210.0,322.0,36.695143
TCBK,2023-07-18 16:00:00+00:00,36.71,37.0,36.69,37.0,5626.0,222.0,36.849642
TCBK,2023-07-18 17:00:00+00:00,36.92,37.0,36.81,36.86,6348.0,158.0,36.875968
TCBK,2023-07-18 18:00:00+00:00,36.86,37.32,36.86,37.19,14507.0,182.0,37.011608
TCBK,2023-07-18 19:00:00+00:00,37.2725,37.4,37.225,37.26,9579.0,316.0,37.30062
TCBK,2023-07-18 20:00:00+00:00,37.27,37.27,37.27,37.27,16710.0,4.0,37.27
TCBK,2023-07-19 13:00:00+00:00,37.47,37.54,37.2,37.2,11441.0,96.0,37.417062
TCBK,2023-07-19 14:00:00+00:00,37.84,37.885,37.59,37.59,1701.0,64.0,37.72398
TCBK,2023-07-19 15:00:00+00:00,37.535,37.8,37.35,37.8,14124.0,98.0,37.647084
TCBK,2023-07-19 16:00:00+00:00,37.81,38.15,37.7,38.09,4215.0,163.0,37.995853
TCBK,2023-07-19 17:00:00+00:00,38.21,38.41,38.185,38.29,6648.0,216.0,38.269862
TCBK,2023-07-19 18:00:00+00:00,38.31,38.46,38.21,38.46,3878.0,133.0,38.285219
TCBK,2023-07-19 19:00:00+00:00,38.22,38.54,38.17,38.215,15966.0,584.0,38.295791
TCBK,2023-07-19 20:00:00+00:00,38.22,38.22,38.22,38.22,17753.0,7.0,38.22
TCBK,2023-07-20 13:00:00+00:00,38.22,38.39,37.86,38.17,10691.0,226.0,38.094421
TCBK,2023-07-20 14:00:00+00:00,38.19,38.265,37.68,38.22,26664.0,679.0,37.954257
TCBK,2023-07-20 15:00:00+00:00,38.3,38.45,38.21,38.41,8164.0,278.0,38.352328
TCBK,2023-07-20 16:00:00+00:00,38.455,38.505,38.32,38.34,3713.0,115.0,38.395989
TCBK,2023-07-20 17:00:00+00:00,38.3,38.48,38.3,38.48,8043.0,225.0,38.384194
TCBK,2023-07-20 18:00:00+00:00,38.43,38.74,38.42,38.74,6255.0,260.0,38.531123
TCBK,2023-07-20 19:00:00+00:00,38.67,38.91,38.58,38.87,32864.0,1115.0,38.782256
TCBK,2023-07-20 20:00:00+00:00,38.84,38.84,38.84,38.84,23474.0,4.0,38.84
TCBK,2023-07-21 13:00:00+00:00,39.07,39.07,38.24,38.24,13288.0,27.0,39.038866
