symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TDCX,2023-07-17 13:00:00+00:00,7.68,7.92,7.68,7.92,508.0,7.0,7.826212
TDCX,2023-07-17 14:00:00+00:00,7.77,7.79,7.7,7.735,1976.0,21.0,7.752536
TDCX,2023-07-17 15:00:00+00:00,7.68,7.79,7.68,7.75,505.0,6.0,7.750792
TDCX,2023-07-17 16:00:00+00:00,7.7,7.7,7.589,7.7,3043.0,55.0,7.655264
TDCX,2023-07-17 17:00:00+00:00,7.6661,7.6661,7.61,7.61,596.0,8.0,7.646029
TDCX,2023-07-17 18:00:00+00:00,7.59,7.65,7.54,7.57,2535.0,41.0,7.59574
TDCX,2023-07-17 19:00:00+00:00,7.61,7.65,7.5,7.5,12642.0,155.0,7.572799
TDCX,2023-07-17 20:00:00+00:00,7.509,7.509,7.5,7.5,1115.0,2.0,7.500807
TDCX,2023-07-18 13:00:00+00:00,7.5,7.73,7.5,7.66,2709.0,11.0,7.543299
TDCX,2023-07-18 14:00:00+00:00,7.56,7.75,7.555,7.64,2391.0,35.0,7.687154
TDCX,2023-07-18 15:00:00+00:00,7.58,7.69,7.55,7.56,2184.0,28.0,7.607789
TDCX,2023-07-18 16:00:00+00:00,7.65,7.66,7.565,7.565,1621.0,14.0,7.616575
TDCX,2023-07-18 17:00:00+00:00,7.65,7.65,7.57,7.615,1026.0,11.0,7.608275
TDCX,2023-07-18 18:00:00+00:00,7.57,7.66,7.57,7.58,1080.0,16.0,7.607959
TDCX,2023-07-18 19:00:00+00:00,7.595,7.77,7.52,7.52,12040.0,178.0,7.63215
TDCX,2023-07-18 20:00:00+00:00,7.55,7.55,7.55,7.55,172.0,2.0,7.55
TDCX,2023-07-19 13:00:00+00:00,7.61,7.72,7.61,7.72,972.0,28.0,7.678662
TDCX,2023-07-19 14:00:00+00:00,7.6985,7.75,7.63,7.7,4313.0,83.0,7.704106
TDCX,2023-07-19 15:00:00+00:00,7.69,7.69,7.54,7.54,2057.0,21.0,7.624647
TDCX,2023-07-19 16:00:00+00:00,7.57,7.57,7.12,7.5,41876.0,208.0,7.470239
TDCX,2023-07-19 17:00:00+00:00,7.45,7.49,7.191,7.261,5912.0,64.0,7.379711
TDCX,2023-07-19 18:00:00+00:00,7.261,7.42,7.261,7.42,5752.0,94.0,7.359356
TDCX,2023-07-19 19:00:00+00:00,7.46,7.66,7.33,7.66,14600.0,267.0,7.426535
TDCX,2023-07-19 20:00:00+00:00,7.65,7.65,7.65,7.65,2806.0,2.0,7.650242
TDCX,2023-07-20 13:00:00+00:00,7.9,7.9,7.65,7.72,10905.0,81.0,7.814708
TDCX,2023-07-20 14:00:00+00:00,7.73,7.73,7.26,7.33,8845.0,95.0,7.417408
TDCX,2023-07-20 15:00:00+00:00,7.31,7.43,7.28,7.43,6072.0,43.0,7.333424
TDCX,2023-07-20 16:00:00+00:00,7.43,7.43,7.37,7.385,1423.0,28.0,7.387469
TDCX,2023-07-20 17:00:00+00:00,7.385,7.51,7.33,7.47,70023.0,109.0,7.460371
TDCX,2023-07-20 18:00:00+00:00,7.46,7.545,7.45,7.47,4579.0,84.0,7.503701
TDCX,2023-07-20 19:00:00+00:00,7.54,7.54,7.28,7.28,11717.0,191.0,7.37514
TDCX,2023-07-20 20:00:00+00:00,7.38,7.38,7.38,7.38,378.0,1.0,7.38
TDCX,2023-07-21 13:00:00+00:00,7.44,7.44,7.33,7.34,1303.0,18.0,7.391589
TDCX,2023-07-21 14:00:00+00:00,7.36,7.41,7.1,7.19,4225.0,71.0,7.226481
TDCX,2023-07-21 15:00:00+00:00,7.27,7.28,7.19,7.19,2622.0,36.0,7.227067
TDCX,2023-07-21 16:00:00+00:00,7.238,7.25,7.19,7.21,1754.0,17.0,7.223628
TDCX,2023-07-21 17:00:00+00:00,7.17,7.21,7.08,7.08,6558.0,98.0,7.147213
TDCX,2023-07-21 18:00:00+00:00,7.2,7.21,7.08,7.11,3740.0,56.0,7.142396
TDCX,2023-07-21 19:00:00+00:00,7.08,7.15,7.0,7.0,16982.0,238.0,7.073239
TDCX,2023-07-21 20:00:00+00:00,7.0,7.1,7.0,7.1,2348.0,5.0,7.004259
