symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TDS,2023-07-17 11:00:00+00:00,7.53,7.53,7.5,7.5,412.0,9.0,7.514854
TDS,2023-07-17 12:00:00+00:00,7.49,7.49,7.4,7.4,4288.0,23.0,7.420355
TDS,2023-07-17 13:00:00+00:00,7.33,7.42,7.04,7.25,474251.0,2460.0,7.215513
TDS,2023-07-17 14:00:00+00:00,7.25,7.39,7.202,7.345,682621.0,3887.0,7.289396
TDS,2023-07-17 15:00:00+00:00,7.34,7.345,7.18,7.25,552993.0,2816.0,7.238356
TDS,2023-07-17 16:00:00+00:00,7.24,7.2701,7.15,7.155,256755.0,1853.0,7.208755
TDS,2023-07-17 17:00:00+00:00,7.155,7.22,7.15,7.17,274057.0,1967.0,7.18587
TDS,2023-07-17 18:00:00+00:00,7.18,7.205,7.06,7.0795,344673.0,2364.0,7.12579
TDS,2023-07-17 19:00:00+00:00,7.08,7.0891,7.0,7.0,777996.0,4321.0,7.037424
TDS,2023-07-17 20:00:00+00:00,7.0,7.01,7.0,7.01,304796.0,18.0,7.000034
TDS,2023-07-17 21:00:00+00:00,7.19,7.28,7.1,7.1,11445.0,33.0,7.136151
TDS,2023-07-17 22:00:00+00:00,7.2,7.25,7.2,7.25,1060.0,2.0,7.243868
TDS,2023-07-17 23:00:00+00:00,7.3,7.3,7.2001,7.28,2200.0,8.0,7.270477
TDS,2023-07-18 09:00:00+00:00,7.3,7.3,7.26,7.26,2605.0,18.0,7.296061
TDS,2023-07-18 10:00:00+00:00,7.38,7.39,7.37,7.39,5669.0,15.0,7.382463
TDS,2023-07-18 11:00:00+00:00,7.41,7.41,7.37,7.37,3850.0,22.0,7.394545
TDS,2023-07-18 12:00:00+00:00,7.4015,7.5,7.35,7.47,3580.0,32.0,7.438754
TDS,2023-07-18 13:00:00+00:00,7.45,7.74,7.318,7.66,665336.0,4089.0,7.551254
TDS,2023-07-18 14:00:00+00:00,7.67,7.83,7.5191,7.5191,408500.0,4144.0,7.682933
TDS,2023-07-18 15:00:00+00:00,7.518,7.5791,7.42,7.52,399446.0,3706.0,7.497606
TDS,2023-07-18 16:00:00+00:00,7.52,7.6,7.46,7.59,369348.0,3282.0,7.522139
TDS,2023-07-18 17:00:00+00:00,7.58,7.675,7.52,7.65,394018.0,3393.0,7.610607
TDS,2023-07-18 18:00:00+00:00,7.65,7.675,7.6,7.6,205665.0,2552.0,7.640858
TDS,2023-07-18 19:00:00+00:00,7.6,7.68,7.6,7.68,627031.0,4942.0,7.64726
