symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TREX,2023-07-17 13:00:00+00:00,69.94,70.23,69.22,70.205,61774.0,922.0,69.767527
TREX,2023-07-17 14:00:00+00:00,70.055,70.055,69.35,69.375,92492.0,2626.0,69.687924
TREX,2023-07-17 15:00:00+00:00,69.375,69.88,69.33,69.8,103328.0,2917.0,69.538582
TREX,2023-07-17 16:00:00+00:00,69.805,69.98,69.705,69.815,81212.0,2199.0,69.866257
TREX,2023-07-17 17:00:00+00:00,69.83,70.44,69.83,70.37,78740.0,2026.0,70.216866
TREX,2023-07-17 18:00:00+00:00,70.42,70.47,70.21,70.38,75978.0,2185.0,70.356522
TREX,2023-07-17 19:00:00+00:00,70.365,70.84,70.365,70.69,253635.0,5597.0,70.66558
TREX,2023-07-17 20:00:00+00:00,70.7,70.7,70.7,70.7,62141.0,18.0,70.7
TREX,2023-07-18 13:00:00+00:00,71.0,71.48,70.6,70.79,66230.0,1203.0,71.026228
TREX,2023-07-18 14:00:00+00:00,70.75,70.84,69.85,69.955,163765.0,3450.0,70.267408
TREX,2023-07-18 15:00:00+00:00,69.96,70.11,69.58,69.92,192048.0,3599.0,69.816799
TREX,2023-07-18 16:00:00+00:00,69.93,69.95,68.83,69.22,157878.0,3085.0,69.219824
TREX,2023-07-18 17:00:00+00:00,69.29,69.34,68.98,69.03,77507.0,1921.0,69.235403
TREX,2023-07-18 18:00:00+00:00,69.06,69.42,68.9,69.0,214234.0,4866.0,69.10439
TREX,2023-07-18 19:00:00+00:00,69.03,69.26,68.79,69.16,419582.0,7778.0,69.047557
TREX,2023-07-18 20:00:00+00:00,69.15,69.15,69.15,69.15,189305.0,27.0,69.15
TREX,2023-07-19 13:00:00+00:00,69.4,69.73,68.65,69.365,94995.0,1298.0,69.207082
TREX,2023-07-19 14:00:00+00:00,69.345,69.97,69.05,69.7,208596.0,3281.0,69.518594
TREX,2023-07-19 15:00:00+00:00,69.695,69.7,69.33,69.33,45785.0,1381.0,69.518208
TREX,2023-07-19 16:00:00+00:00,69.38,69.44,68.93,69.1,58990.0,1669.0,69.170353
TREX,2023-07-19 17:00:00+00:00,69.1,69.14,68.53,68.66,122119.0,2420.0,68.740065
TREX,2023-07-19 18:00:00+00:00,68.6985,68.87,68.52,68.68,91857.0,2297.0,68.679508
TREX,2023-07-19 19:00:00+00:00,68.67,68.87,68.19,68.77,334503.0,6571.0,68.721674
TREX,2023-07-19 20:00:00+00:00,68.77,68.77,68.77,68.77,100593.0,25.0,68.77
TREX,2023-07-19 22:00:00+00:00,68.77,68.77,68.52,68.52,293.0,2.0,68.681263
TREX,2023-07-20 13:00:00+00:00,68.89,68.89,67.48,67.76,144532.0,2267.0,67.848672
TREX,2023-07-20 14:00:00+00:00,67.75,67.75,66.4,66.59,187300.0,3777.0,66.88524
TREX,2023-07-20 15:00:00+00:00,66.625,66.76,66.27,66.32,192813.0,3825.0,66.456287
TREX,2023-07-20 16:00:00+00:00,66.325,66.775,66.325,66.61,102264.0,2542.0,66.564835
TREX,2023-07-20 17:00:00+00:00,66.61,66.925,66.475,66.69,62538.0,1741.0,66.736813
TREX,2023-07-20 18:00:00+00:00,66.655,66.77,66.38,66.69,121172.0,2984.0,66.578841
TREX,2023-07-20 19:00:00+00:00,66.68,67.14,66.475,66.93,300734.0,5852.0,66.906281
TREX,2023-07-20 20:00:00+00:00,66.93,66.95,66.93,66.95,229031.0,17.0,66.94977
TREX,2023-07-21 13:00:00+00:00,67.18,67.26,66.2,66.45,33369.0,720.0,66.656702
TREX,2023-07-21 14:00:00+00:00,66.45,66.82,66.12,66.32,70156.0,1716.0,66.448621
TREX,2023-07-21 15:00:00+00:00,66.345,66.65,66.19,66.34,55610.0,1566.0,66.410784
