symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TRGP,2023-07-17 13:00:00+00:00,77.93,78.46,77.74,78.11,33967.0,636.0,78.023475
TRGP,2023-07-17 14:00:00+00:00,78.06,78.17,77.76,77.78,105913.0,2726.0,77.95351
TRGP,2023-07-17 15:00:00+00:00,77.78,77.98,77.06,77.3,182664.0,3077.0,77.405834
TRGP,2023-07-17 16:00:00+00:00,77.28,77.57,77.275,77.39,92236.0,2439.0,77.379389
TRGP,2023-07-17 17:00:00+00:00,77.4,77.7,77.37,77.62,101214.0,2370.0,77.576336
TRGP,2023-07-17 18:00:00+00:00,77.62,77.7402,77.51,77.61,81684.0,2268.0,77.634601
TRGP,2023-07-17 19:00:00+00:00,77.615,77.7,77.33,77.7,405320.0,6866.0,77.556833
TRGP,2023-07-17 20:00:00+00:00,77.7,77.7,77.7,77.7,177020.0,43.0,77.7
TRGP,2023-07-18 13:00:00+00:00,77.48,78.425,77.27,78.33,150014.0,2088.0,77.836265
TRGP,2023-07-18 14:00:00+00:00,78.3,78.545,78.225,78.335,126327.0,2689.0,78.391672
TRGP,2023-07-18 15:00:00+00:00,78.33,78.73,78.33,78.55,97102.0,2493.0,78.537348
TRGP,2023-07-18 16:00:00+00:00,78.58,78.6,78.35,78.54,74639.0,2062.0,78.472473
TRGP,2023-07-18 17:00:00+00:00,78.52,78.52,78.305,78.38,54703.0,1849.0,78.436919
TRGP,2023-07-18 18:00:00+00:00,78.405,78.49,78.13,78.15,65922.0,2401.0,78.336377
TRGP,2023-07-18 19:00:00+00:00,78.16,78.54,78.16,78.47,220865.0,5588.0,78.39212
TRGP,2023-07-18 20:00:00+00:00,78.47,78.47,78.47,78.47,233562.0,39.0,78.47
TRGP,2023-07-19 13:00:00+00:00,78.21,78.85,78.205,78.79,36612.0,977.0,78.548214
TRGP,2023-07-19 14:00:00+00:00,78.77,78.959,78.47,78.5,74598.0,2180.0,78.666555
TRGP,2023-07-19 15:00:00+00:00,78.52,78.865,78.5,78.82,88533.0,2313.0,78.740587
TRGP,2023-07-19 16:00:00+00:00,78.78,78.93,78.55,78.795,132555.0,3222.0,78.734762
TRGP,2023-07-19 17:00:00+00:00,78.79,78.81,78.3,78.4,92921.0,2480.0,78.542976
TRGP,2023-07-19 18:00:00+00:00,78.395,78.56,78.21,78.53,82944.0,2202.0,78.40519
TRGP,2023-07-19 19:00:00+00:00,78.53,78.78,78.46,78.71,234024.0,5551.0,78.634951
TRGP,2023-07-19 20:00:00+00:00,78.74,78.74,78.74,78.74,209774.0,46.0,78.74
TRGP,2023-07-20 13:00:00+00:00,79.43,79.82,79.13,79.3,57654.0,1099.0,79.499057
TRGP,2023-07-20 14:00:00+00:00,79.28,79.73,79.23,79.7,109417.0,2896.0,79.508704
TRGP,2023-07-20 15:00:00+00:00,79.72,79.77,79.12,79.395,77235.0,1907.0,79.446015
TRGP,2023-07-20 16:00:00+00:00,79.39,79.71,79.38,79.61,67575.0,1787.0,79.548853
TRGP,2023-07-20 17:00:00+00:00,79.61,79.66,79.355,79.4,44961.0,1393.0,79.464908
TRGP,2023-07-20 18:00:00+00:00,79.41,79.565,79.32,79.565,92172.0,2192.0,79.478078
TRGP,2023-07-20 19:00:00+00:00,79.56,79.63,79.38,79.59,260342.0,6443.0,79.490781
TRGP,2023-07-20 20:00:00+00:00,79.59,79.59,79.59,79.59,162706.0,30.0,79.59
TRGP,2023-07-21 13:00:00+00:00,80.0,80.41,79.56,79.73,132760.0,1505.0,80.013805
TRGP,2023-07-21 14:00:00+00:00,79.655,80.72,79.61,80.59,93957.0,2486.0,80.385981
TRGP,2023-07-21 15:00:00+00:00,80.6,80.76,80.42,80.74,84174.0,2313.0,80.547241
TRGP,2023-07-21 16:00:00+00:00,80.735,80.765,80.405,80.57,71762.0,2253.0,80.594433
TRGP,2023-07-21 17:00:00+00:00,80.57,80.66,80.38,80.42,77475.0,2110.0,80.54481
TRGP,2023-07-21 18:00:00+00:00,80.44,80.905,80.31,80.75,122415.0,2985.0,80.642883
TRGP,2023-07-21 19:00:00+00:00,80.745,80.9,80.55,80.65,262258.0,5767.0,80.699907
TRGP,2023-07-21 20:00:00+00:00,80.66,80.66,80.66,80.66,149916.0,31.0,80.66
TRGP,2023-07-24 13:00:00+00:00,81.07,81.75,80.99,81.5,55199.0,1043.0,81.378131
TRGP,2023-07-24 14:00:00+00:00,81.52,81.85,81.46,81.675,121337.0,2930.0,81.65701
TRGP,2023-07-24 15:00:00+00:00,81.69,81.82,81.51,81.74,98149.0,2547.0,81.701957
TRGP,2023-07-24 16:00:00+00:00,81.76,81.78,81.48,81.685,49276.0,1572.0,81.597135
TRGP,2023-07-24 17:00:00+00:00,81.66,81.9,81.6,81.8,71304.0,1685.0,81.763244
TRGP,2023-07-24 18:00:00+00:00,81.805,81.85,81.43,81.45,76543.0,2148.0,81.637934
TRGP,2023-07-24 19:00:00+00:00,81.45,81.45,81.235,81.38,209769.0,5958.0,81.3195
TRGP,2023-07-24 20:00:00+00:00,81.38,81.38,81.38,81.38,152509.0,29.0,81.38
TRGP,2023-07-25 13:00:00+00:00,81.28,81.5,80.9,81.09,46911.0,1205.0,81.198318
TRGP,2023-07-25 14:00:00+00:00,81.04,81.65,81.04,81.57,125576.0,3957.0,81.406142
TRGP,2023-07-25 15:00:00+00:00,81.57,81.59,81.32,81.48,77467.0,2666.0,81.423201
TRGP,2023-07-25 16:00:00+00:00,81.48,81.65,81.31,81.5716,139571.0,2984.0,81.432048
TRGP,2023-07-25 17:00:00+00:00,81.57,81.74,81.51,81.67,80793.0,2103.0,81.631455
TRGP,2023-07-25 18:00:00+00:00,81.64,81.74,81.51,81.73,81167.0,2700.0,81.63
TRGP,2023-07-25 19:00:00+00:00,81.725,81.925,81.56,81.68,419568.0,7051.0,81.700541
TRGP,2023-07-25 20:00:00+00:00,81.67,81.67,81.67,81.67,277811.0,36.0,81.67
TRGP,2023-07-26 13:00:00+00:00,80.86,81.725,80.86,81.07,45990.0,995.0,81.233676
TRGP,2023-07-26 14:00:00+00:00,81.0,81.795,80.83,81.775,64864.0,2181.0,81.257957
TRGP,2023-07-26 15:00:00+00:00,81.8,81.94,81.47,81.49,49387.0,1827.0,81.697007
TRGP,2023-07-26 16:00:00+00:00,81.45,81.53,81.25,81.38,59229.0,1672.0,81.368672
TRGP,2023-07-26 17:00:00+00:00,81.36,81.45,81.2,81.22,52749.0,1397.0,81.367841
TRGP,2023-07-26 18:00:00+00:00,81.185,81.65,81.15,81.4,87215.0,2304.0,81.38024
TRGP,2023-07-26 19:00:00+00:00,81.39,81.41,80.99,81.38,254914.0,4696.0,81.179192
TRGP,2023-07-26 20:00:00+00:00,81.38,81.38,81.38,81.38,133436.0,32.0,81.380031
TRGP,2023-07-27 13:00:00+00:00,81.62,81.82,80.7,81.02,33274.0,1060.0,81.167021
TRGP,2023-07-27 14:00:00+00:00,81.0,81.55,80.9,81.52,129136.0,3327.0,81.145439
TRGP,2023-07-27 15:00:00+00:00,81.51,81.65,81.3,81.5,99286.0,2382.0,81.498397
TRGP,2023-07-27 16:00:00+00:00,81.53,81.76,81.47,81.73,68708.0,1942.0,81.628447
TRGP,2023-07-27 17:00:00+00:00,81.74,81.76,81.28,81.315,86782.0,2074.0,81.456431
TRGP,2023-07-27 18:00:00+00:00,81.31,81.31,80.86,80.9,89586.0,2375.0,81.026754
TRGP,2023-07-27 19:00:00+00:00,80.891,81.0,80.45,80.53,285333.0,6242.0,80.640217
TRGP,2023-07-27 20:00:00+00:00,80.56,80.56,80.56,80.56,291046.0,35.0,80.56
TRGP,2023-07-28 13:00:00+00:00,80.78,80.78,79.76,79.955,48884.0,1089.0,80.190037
TRGP,2023-07-28 14:00:00+00:00,80.17,80.535,80.05,80.47,114824.0,2350.0,80.28876
TRGP,2023-07-28 15:00:00+00:00,80.49,80.4975,80.15,80.36,126197.0,3328.0,80.288541
TRGP,2023-07-28 16:00:00+00:00,80.37,80.43,80.22,80.33,61058.0,1953.0,80.336684
TRGP,2023-07-28 17:00:00+00:00,80.35,80.49,80.29,80.49,59633.0,1647.0,80.384191
TRGP,2023-07-28 18:00:00+00:00,80.48,80.51,80.35,80.485,102990.0,3042.0,80.430627
TRGP,2023-07-28 19:00:00+00:00,80.49,80.655,80.4,80.63,293136.0,7103.0,80.541929
TRGP,2023-07-28 20:00:00+00:00,80.63,80.63,80.63,80.63,224236.0,38.0,80.63
TRGP,2023-07-31 12:00:00+00:00,80.88,80.88,80.88,80.88,307.0,2.0,80.879772
TRGP,2023-07-31 13:00:00+00:00,81.3,81.35,80.65,80.99,74405.0,1523.0,81.052203
TRGP,2023-07-31 14:00:00+00:00,81.04,81.825,81.04,81.67,120417.0,3214.0,81.490144
TRGP,2023-07-31 15:00:00+00:00,81.65,81.73,81.4,81.46,83938.0,2658.0,81.606041
TRGP,2023-07-31 16:00:00+00:00,81.46,81.5,81.24,81.3,69563.0,1968.0,81.368999
TRGP,2023-07-31 17:00:00+00:00,81.315,81.66,81.27,81.63,69557.0,1886.0,81.457607
TRGP,2023-07-31 18:00:00+00:00,81.64,81.78,81.545,81.72,103890.0,3104.0,81.658176
TRGP,2023-07-31 19:00:00+00:00,81.73,81.99,81.62,81.99,290214.0,7169.0,81.799919
TRGP,2023-07-31 20:00:00+00:00,81.99,81.99,81.99,81.99,284374.0,37.0,81.99
TRGP,2023-08-01 13:00:00+00:00,81.75,81.78,81.1201,81.33,62856.0,1405.0,81.466341
TRGP,2023-08-01 14:00:00+00:00,81.31,81.41,80.4,80.82,109729.0,2894.0,80.871527
