symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSEM,2023-07-17 10:00:00+00:00,37.74,38.06,37.74,38.06,600.0,6.0,37.869167
TSEM,2023-07-17 11:00:00+00:00,37.98,37.98,37.85,37.85,1270.0,15.0,37.906898
TSEM,2023-07-17 12:00:00+00:00,37.6701,37.6701,37.5,37.5,4079.0,40.0,37.532413
TSEM,2023-07-17 13:00:00+00:00,37.47,37.7,37.45,37.63,87943.0,510.0,37.587883
TSEM,2023-07-17 14:00:00+00:00,37.62,38.178,37.59,38.06,191025.0,2210.0,37.926153
TSEM,2023-07-17 15:00:00+00:00,38.06,38.5,37.94,38.49,111890.0,1198.0,38.165794
TSEM,2023-07-17 16:00:00+00:00,38.49,38.52,38.23,38.235,115019.0,1317.0,38.419705
TSEM,2023-07-17 17:00:00+00:00,38.23,38.4,38.2,38.39,44178.0,725.0,38.313959
TSEM,2023-07-17 18:00:00+00:00,38.39,38.4,38.25,38.38,69130.0,1100.0,38.367056
TSEM,2023-07-17 19:00:00+00:00,38.39,38.505,38.27,38.37,145146.0,2381.0,38.380845
TSEM,2023-07-17 20:00:00+00:00,38.37,38.67,38.37,38.67,17258.0,6.0,38.373419
TSEM,2023-07-18 12:00:00+00:00,38.45,38.5999,38.45,38.5999,1700.0,2.0,38.511724
TSEM,2023-07-18 13:00:00+00:00,38.6,38.64,38.26,38.26,26218.0,269.0,38.553737
TSEM,2023-07-18 14:00:00+00:00,38.32,38.415,38.07,38.3,129065.0,1561.0,38.268075
TSEM,2023-07-18 15:00:00+00:00,38.32,38.49,38.03,38.08,70299.0,1110.0,38.221096
TSEM,2023-07-18 16:00:00+00:00,38.1,38.16,38.04,38.09,106464.0,1400.0,38.083067
TSEM,2023-07-18 17:00:00+00:00,38.07,38.16,38.04,38.13,70653.0,999.0,38.074983
TSEM,2023-07-18 18:00:00+00:00,38.13,38.13,37.95,38.01,96652.0,1294.0,38.040632
