symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TW,2023-07-17 11:00:00+00:00,68.7,68.7,68.7,68.7,322.0,7.0,68.717112
TW,2023-07-17 13:00:00+00:00,69.31,69.5,68.47,68.76,16150.0,351.0,68.901788
TW,2023-07-17 14:00:00+00:00,68.82,69.6,68.82,69.435,42718.0,1227.0,69.319442
TW,2023-07-17 15:00:00+00:00,69.43,69.835,69.4,69.705,49106.0,1449.0,69.682952
TW,2023-07-17 16:00:00+00:00,69.745,70.1,69.68,70.0,74154.0,1764.0,69.930109
TW,2023-07-17 17:00:00+00:00,69.99,70.11,69.7118,69.98,89695.0,1927.0,69.968375
TW,2023-07-17 18:00:00+00:00,70.0,70.14,69.68,69.76,129527.0,2512.0,69.916572
TW,2023-07-17 19:00:00+00:00,69.745,69.77,69.18,69.58,291239.0,5178.0,69.500575
TW,2023-07-17 20:00:00+00:00,69.54,69.54,69.54,69.54,61075.0,24.0,69.54
TW,2023-07-18 13:00:00+00:00,69.61,70.26,69.07,70.22,28591.0,464.0,69.815609
TW,2023-07-18 14:00:00+00:00,70.265,70.56,69.9246,70.4,78414.0,1787.0,70.301569
TW,2023-07-18 15:00:00+00:00,70.445,70.8,70.39,70.655,53772.0,1589.0,70.55781
TW,2023-07-18 16:00:00+00:00,70.68,70.81,70.41,70.78,59267.0,1750.0,70.628194
TW,2023-07-18 17:00:00+00:00,70.76,70.81,70.48,70.645,44960.0,1412.0,70.612263
TW,2023-07-18 18:00:00+00:00,70.645,70.93,70.485,70.93,75196.0,2103.0,70.740096
TW,2023-07-18 19:00:00+00:00,70.91,71.12,70.835,71.095,257506.0,5070.0,71.005937
TW,2023-07-18 20:00:00+00:00,71.07,71.07,71.04,71.04,85976.0,21.0,71.040105
TW,2023-07-19 13:00:00+00:00,71.59,72.15,71.5495,71.91,38263.0,827.0,71.84198
TW,2023-07-19 14:00:00+00:00,71.9,72.2473,71.55,72.18,104026.0,2442.0,71.905814
TW,2023-07-19 15:00:00+00:00,72.125,72.37,71.95,72.27,72244.0,1986.0,72.191401
TW,2023-07-19 16:00:00+00:00,72.175,72.3,71.87,72.26,68562.0,1992.0,72.137628
TW,2023-07-19 17:00:00+00:00,72.285,72.285,72.03,72.045,57001.0,1446.0,72.150233
TW,2023-07-19 18:00:00+00:00,72.04,72.355,71.92,72.12,55050.0,1816.0,72.157347
TW,2023-07-19 19:00:00+00:00,72.12,72.48,72.06,72.34,290653.0,6201.0,72.31597
TW,2023-07-19 20:00:00+00:00,72.31,72.38,72.31,72.38,132351.0,23.0,72.310095
TW,2023-07-19 22:00:00+00:00,72.38,72.38,72.38,72.38,585.0,2.0,72.38
TW,2023-07-20 13:00:00+00:00,72.23,72.985,72.19,72.89,24655.0,507.0,72.632823
TW,2023-07-20 14:00:00+00:00,72.89,73.37,72.65,73.225,106444.0,2592.0,72.933616
TW,2023-07-20 15:00:00+00:00,73.27,73.48,72.92,73.42,93261.0,2130.0,73.174131
TW,2023-07-20 16:00:00+00:00,73.42,73.61,73.375,73.5,83805.0,2101.0,73.483275
TW,2023-07-20 17:00:00+00:00,73.495,73.73,73.415,73.655,117275.0,2032.0,73.53021
TW,2023-07-20 18:00:00+00:00,73.645,73.8,73.515,73.74,96210.0,2382.0,73.675206
TW,2023-07-20 19:00:00+00:00,73.695,74.11,73.54,74.1,403385.0,6810.0,73.839419
TW,2023-07-20 20:00:00+00:00,74.1,74.11,74.1,74.1,116144.0,24.0,74.100014
TW,2023-07-20 21:00:00+00:00,74.66,74.66,74.66,74.66,100.0,1.0,74.66
TW,2023-07-21 13:00:00+00:00,74.44,74.44,73.87,74.01,18749.0,448.0,74.132397
TW,2023-07-21 14:00:00+00:00,74.015,74.55,73.28,74.52,97993.0,2336.0,74.039085
TW,2023-07-21 15:00:00+00:00,74.49,74.81,74.35,74.77,64482.0,1896.0,74.611383
TW,2023-07-21 16:00:00+00:00,74.71,74.88,74.65,74.79,59969.0,1552.0,74.753057
TW,2023-07-21 17:00:00+00:00,74.755,74.875,74.255,74.5,92779.0,1354.0,74.590164
TW,2023-07-21 18:00:00+00:00,74.505,74.6996,74.395,74.58,61368.0,1604.0,74.540212
TW,2023-07-21 19:00:00+00:00,74.58,74.89,74.255,74.75,262485.0,5167.0,74.690457
TW,2023-07-21 20:00:00+00:00,74.77,74.77,74.77,74.77,133063.0,17.0,74.77
TW,2023-07-21 23:00:00+00:00,75.0,75.0,75.0,75.0,1000.0,5.0,75.0
TW,2023-07-24 13:00:00+00:00,74.77,74.79,74.48,74.6068,27668.0,536.0,74.646834
TW,2023-07-24 14:00:00+00:00,74.62,74.9,74.1,74.41,77022.0,1894.0,74.568839
TW,2023-07-24 15:00:00+00:00,74.385,74.96,74.2025,74.88,89231.0,2266.0,74.62323
TW,2023-07-24 16:00:00+00:00,74.88,75.04,74.765,74.82,43214.0,1282.0,74.893971
TW,2023-07-24 17:00:00+00:00,74.825,74.825,74.5,74.64,46602.0,1398.0,74.625631
TW,2023-07-24 18:00:00+00:00,74.6525,75.0,74.6,74.935,87919.0,2543.0,74.788177
TW,2023-07-24 19:00:00+00:00,74.9,75.2,74.81,74.885,293260.0,6056.0,74.990875
TW,2023-07-24 20:00:00+00:00,74.87,74.87,74.87,74.87,113954.0,23.0,74.87
TW,2023-07-25 13:00:00+00:00,74.68,75.0,74.59,74.59,15313.0,327.0,74.772874
TW,2023-07-25 14:00:00+00:00,74.45,74.475,73.3,73.66,141628.0,3258.0,73.776499
TW,2023-07-25 15:00:00+00:00,73.7,73.97,73.4,73.51,88903.0,2201.0,73.670048
TW,2023-07-25 16:00:00+00:00,73.51,74.14,73.51,74.115,42717.0,1132.0,73.829979
TW,2023-07-25 17:00:00+00:00,74.115,74.21,73.995,73.995,57821.0,1404.0,74.102955
TW,2023-07-25 18:00:00+00:00,74.0,74.475,73.94,74.36,62789.0,1835.0,74.19791
TW,2023-07-25 19:00:00+00:00,74.36,74.556,74.19,74.23,198982.0,4010.0,74.322969
TW,2023-07-25 20:00:00+00:00,74.26,74.26,74.23,74.23,107188.0,34.0,74.230168
TW,2023-07-26 13:00:00+00:00,74.5,74.715,74.1,74.21,28524.0,593.0,74.446445
TW,2023-07-26 14:00:00+00:00,74.2,74.64,74.12,74.56,82858.0,2330.0,74.332945
TW,2023-07-26 15:00:00+00:00,74.585,74.78,74.44,74.64,71320.0,2103.0,74.542316
TW,2023-07-26 16:00:00+00:00,74.61,74.725,74.48,74.58,52056.0,1740.0,74.590345
TW,2023-07-26 17:00:00+00:00,74.585,74.63,74.09,74.13,68161.0,2111.0,74.341027
TW,2023-07-26 18:00:00+00:00,74.13,74.85,74.08,74.72,122408.0,3278.0,74.472105
TW,2023-07-26 19:00:00+00:00,74.71,74.86,74.4,74.72,216121.0,5343.0,74.657913
TW,2023-07-26 20:00:00+00:00,74.63,74.63,74.63,74.63,64681.0,22.0,74.63
TW,2023-07-27 12:00:00+00:00,74.62,74.63,74.62,74.63,200.0,2.0,74.625
TW,2023-07-27 13:00:00+00:00,76.13,79.93,74.815,79.595,105106.0,1172.0,78.623156
TW,2023-07-27 14:00:00+00:00,79.76,80.4203,79.17,80.29,243367.0,4358.0,79.94811
TW,2023-07-27 15:00:00+00:00,80.22,81.065,79.945,81.04,163112.0,2842.0,80.467434
TW,2023-07-27 16:00:00+00:00,81.09,81.2316,80.24,80.84,128378.0,2429.0,80.669659
