symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UHS,2023-07-17 13:00:00+00:00,152.86,152.91,151.48,152.775,19965.0,671.0,152.125364
UHS,2023-07-17 14:00:00+00:00,153.02,153.57,152.4,152.695,78620.0,2003.0,152.887387
UHS,2023-07-17 15:00:00+00:00,152.695,153.67,152.57,153.48,65395.0,1848.0,152.981749
UHS,2023-07-17 16:00:00+00:00,153.505,153.88,153.35,153.651,49428.0,1588.0,153.55531
UHS,2023-07-17 17:00:00+00:00,153.53,153.53,152.72,152.83,26090.0,971.0,153.247825
UHS,2023-07-17 18:00:00+00:00,152.84,153.3,152.73,153.09,31479.0,1086.0,152.976778
UHS,2023-07-17 19:00:00+00:00,153.085,153.85,153.085,153.43,134437.0,3745.0,153.514943
UHS,2023-07-17 20:00:00+00:00,153.42,153.44,153.42,153.44,86895.0,16.0,153.439885
UHS,2023-07-18 13:00:00+00:00,152.56,154.04,152.04,153.83,58984.0,725.0,152.964419
UHS,2023-07-18 14:00:00+00:00,153.79,154.73,152.48,153.04,32144.0,1126.0,153.233132
UHS,2023-07-18 15:00:00+00:00,152.947,153.33,152.9,153.26,18551.0,726.0,153.080009
UHS,2023-07-18 16:00:00+00:00,153.38,153.38,152.25,152.9,22263.0,687.0,152.651624
UHS,2023-07-18 17:00:00+00:00,152.83,153.105,152.5,152.71,25590.0,863.0,152.758389
UHS,2023-07-18 18:00:00+00:00,152.73,153.22,152.62,152.95,42516.0,1202.0,152.868011
UHS,2023-07-18 19:00:00+00:00,152.92,153.58,152.76,153.05,165031.0,4640.0,153.011649
UHS,2023-07-18 20:00:00+00:00,153.02,153.02,153.02,153.02,108802.0,28.0,153.02
UHS,2023-07-19 13:00:00+00:00,152.52,153.26,151.3925,152.095,44029.0,769.0,152.349837
UHS,2023-07-19 14:00:00+00:00,152.1,152.12,149.01,149.52,129075.0,3224.0,150.197242
UHS,2023-07-19 15:00:00+00:00,149.54,150.82,149.46,150.7,121599.0,3237.0,150.310717
UHS,2023-07-19 16:00:00+00:00,150.7,151.11,150.395,150.76,86855.0,2305.0,150.714561
UHS,2023-07-19 17:00:00+00:00,150.86,151.28,150.73,151.08,37448.0,1604.0,151.063156
UHS,2023-07-19 18:00:00+00:00,151.12,151.36,150.96,151.26,51054.0,2173.0,151.15842
UHS,2023-07-19 19:00:00+00:00,151.29,153.105,151.29,152.38,236566.0,6298.0,152.383635
UHS,2023-07-19 20:00:00+00:00,152.39,152.39,152.39,152.39,98556.0,31.0,152.39
UHS,2023-07-20 13:00:00+00:00,153.65,153.72,151.48,151.55,14573.0,356.0,152.958967
UHS,2023-07-20 14:00:00+00:00,151.475,152.14,150.56,150.9,91784.0,2282.0,151.172764
UHS,2023-07-20 15:00:00+00:00,150.9,151.7377,150.84,151.41,29846.0,1132.0,151.352959
UHS,2023-07-20 16:00:00+00:00,151.41,152.0,151.29,151.29,27512.0,920.0,151.721585
UHS,2023-07-20 17:00:00+00:00,151.375,151.75,151.34,151.75,21631.0,770.0,151.572091
UHS,2023-07-20 18:00:00+00:00,151.73,151.945,151.285,151.85,39881.0,1339.0,151.614525
UHS,2023-07-20 19:00:00+00:00,151.95,152.39,151.39,151.42,196275.0,4743.0,151.619269
UHS,2023-07-20 20:00:00+00:00,151.42,151.42,151.42,151.42,65278.0,30.0,151.419999
UHS,2023-07-21 13:00:00+00:00,151.78,152.38,149.54,150.49,46527.0,881.0,150.91608
UHS,2023-07-21 14:00:00+00:00,150.47,151.26,150.315,150.85,59335.0,1817.0,150.943353
UHS,2023-07-21 15:00:00+00:00,150.88,151.215,150.105,150.35,75891.0,1992.0,150.549353
UHS,2023-07-21 16:00:00+00:00,150.33,150.33,148.315,148.66,50142.0,1754.0,149.090233
UHS,2023-07-21 17:00:00+00:00,148.51,149.0,148.12,148.54,63267.0,1722.0,148.438564
UHS,2023-07-21 18:00:00+00:00,148.565,149.05,148.37,148.66,61213.0,1654.0,148.697487
UHS,2023-07-21 19:00:00+00:00,148.65,148.91,148.145,148.49,213460.0,4841.0,148.557339
UHS,2023-07-21 20:00:00+00:00,148.51,148.51,148.51,148.51,87804.0,33.0,148.509999
UHS,2023-07-24 13:00:00+00:00,149.37,150.19,148.74,149.7875,23673.0,576.0,149.721706
UHS,2023-07-24 14:00:00+00:00,149.87,150.08,148.62,149.125,50981.0,1762.0,149.265454
UHS,2023-07-24 15:00:00+00:00,149.06,149.21,148.71,148.88,52526.0,1500.0,148.944739
UHS,2023-07-24 16:00:00+00:00,148.91,148.91,147.96,148.15,66366.0,1790.0,148.270411
UHS,2023-07-24 17:00:00+00:00,148.09,148.52,148.0,148.18,32379.0,948.0,148.228682
UHS,2023-07-24 18:00:00+00:00,148.23,148.845,147.9,148.205,68646.0,1910.0,148.372952
UHS,2023-07-24 19:00:00+00:00,148.21,148.62,147.94,148.33,148184.0,3960.0,148.226712
UHS,2023-07-24 20:00:00+00:00,148.32,148.32,148.32,148.32,57946.0,35.0,148.319999
UHS,2023-07-25 13:00:00+00:00,147.44,148.33,146.42,148.175,69608.0,810.0,147.45264
UHS,2023-07-25 14:00:00+00:00,148.15,150.29,148.1,149.835,156745.0,3111.0,149.725377
UHS,2023-07-25 15:00:00+00:00,149.7,149.86,148.6,148.98,78032.0,1813.0,149.16545
UHS,2023-07-25 16:00:00+00:00,149.0,149.45,148.51,148.97,52299.0,1218.0,148.90354
UHS,2023-07-25 17:00:00+00:00,149.14,149.36,148.71,149.1,70796.0,1958.0,149.026012
UHS,2023-07-25 18:00:00+00:00,149.065,149.73,148.95,149.63,58353.0,1877.0,149.379787
UHS,2023-07-25 19:00:00+00:00,149.7,149.95,148.96,149.68,257825.0,5653.0,149.493551
UHS,2023-07-25 20:00:00+00:00,149.64,155.0,144.0,146.2,80631.0,95.0,149.044262
UHS,2023-07-25 21:00:00+00:00,146.0,146.39,145.0,145.0,2231.0,25.0,145.384716
UHS,2023-07-26 13:00:00+00:00,146.84,146.84,141.51,142.8,212403.0,3322.0,144.162008
UHS,2023-07-26 14:00:00+00:00,143.125,143.8,140.795,141.735,358456.0,5742.0,142.20119
UHS,2023-07-26 15:00:00+00:00,141.97,142.14,140.1,140.23,196532.0,3581.0,141.118743
UHS,2023-07-26 16:00:00+00:00,140.355,140.95,139.17,140.235,186662.0,2999.0,140.248546
UHS,2023-07-26 17:00:00+00:00,140.195,140.22,138.5,139.035,147389.0,2735.0,139.158035
UHS,2023-07-26 18:00:00+00:00,139.11,141.84,138.8,140.86,203797.0,3726.0,140.496221
UHS,2023-07-26 19:00:00+00:00,140.87,141.72,140.34,141.43,471172.0,10467.0,141.118593
UHS,2023-07-26 20:00:00+00:00,141.43,145.05,141.43,145.05,118786.0,41.0,141.434265
UHS,2023-07-27 13:00:00+00:00,140.79,142.56,138.72,139.08,84311.0,1519.0,140.652825
UHS,2023-07-27 14:00:00+00:00,139.205,141.13,137.75,139.93,183035.0,3595.0,140.061037
UHS,2023-07-27 15:00:00+00:00,140.01,140.2425,137.46,138.0,81355.0,2251.0,138.843819
UHS,2023-07-27 16:00:00+00:00,138.0,138.2,137.08,137.72,49056.0,1691.0,137.65597
UHS,2023-07-27 17:00:00+00:00,137.82,138.0,137.12,137.925,66882.0,2124.0,137.659041
