symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UNM,2023-07-17 13:00:00+00:00,47.26,47.69,47.12,47.6,53481.0,939.0,47.491592
UNM,2023-07-17 14:00:00+00:00,47.63,47.8841,47.43,47.8635,102141.0,2451.0,47.704701
UNM,2023-07-17 15:00:00+00:00,47.869,48.15,47.869,48.04,88360.0,2023.0,48.004648
UNM,2023-07-17 16:00:00+00:00,48.0254,48.5,48.02,48.415,126062.0,1994.0,48.329869
UNM,2023-07-17 17:00:00+00:00,48.41,48.475,48.32,48.44,117434.0,2024.0,48.406929
UNM,2023-07-17 18:00:00+00:00,48.44,48.59,48.42,48.525,122999.0,2669.0,48.509759
UNM,2023-07-17 19:00:00+00:00,48.52,48.61,48.47,48.51,327282.0,4871.0,48.536646
UNM,2023-07-17 20:00:00+00:00,48.49,48.49,48.49,48.49,154093.0,24.0,48.49
UNM,2023-07-17 21:00:00+00:00,48.49,48.49,48.49,48.49,33000.0,1.0,48.49
UNM,2023-07-17 23:00:00+00:00,48.5,48.5,48.5,48.5,650.0,6.0,48.5
UNM,2023-07-18 12:00:00+00:00,48.5,48.5,48.5,48.5,505.0,6.0,48.5
UNM,2023-07-18 13:00:00+00:00,48.55,48.97,48.5263,48.9478,63789.0,860.0,48.730689
UNM,2023-07-18 14:00:00+00:00,48.94,49.0,48.5343,48.55,82368.0,1571.0,48.724077
UNM,2023-07-18 15:00:00+00:00,48.5415,48.775,48.45,48.54,70307.0,1462.0,48.583057
UNM,2023-07-18 16:00:00+00:00,48.56,48.725,48.4831,48.63,95279.0,1405.0,48.611882
UNM,2023-07-18 17:00:00+00:00,48.62,48.635,48.51,48.51,53620.0,1106.0,48.568946
UNM,2023-07-18 18:00:00+00:00,48.53,48.64,48.4,48.42,65216.0,1390.0,48.525671
UNM,2023-07-18 19:00:00+00:00,48.42,48.44,48.28,48.3,232592.0,3593.0,48.349428
UNM,2023-07-18 20:00:00+00:00,48.3,48.3,48.3,48.3,363285.0,18.0,48.3
UNM,2023-07-19 11:00:00+00:00,47.76,47.76,47.76,47.76,110.0,2.0,47.759091
UNM,2023-07-19 12:00:00+00:00,47.63,47.63,47.63,47.63,185.0,1.0,47.63
UNM,2023-07-19 13:00:00+00:00,48.21,48.73,48.0,48.65,55100.0,963.0,48.388532
UNM,2023-07-19 14:00:00+00:00,48.66,48.84,48.34,48.38,105151.0,2263.0,48.619661
UNM,2023-07-19 15:00:00+00:00,48.4,48.49,48.26,48.48,79510.0,1562.0,48.36815
UNM,2023-07-19 16:00:00+00:00,48.48,48.525,48.24,48.28,83185.0,1566.0,48.370674
UNM,2023-07-19 17:00:00+00:00,48.29,48.425,48.24,48.265,77333.0,1539.0,48.309484
UNM,2023-07-19 18:00:00+00:00,48.27,48.38,48.22,48.325,82854.0,1946.0,48.305082
UNM,2023-07-19 19:00:00+00:00,48.335,48.345,48.15,48.2,289072.0,5152.0,48.220584
UNM,2023-07-19 20:00:00+00:00,48.19,48.19,48.19,48.19,446680.0,17.0,48.19
UNM,2023-07-20 13:00:00+00:00,48.61,48.98,48.61,48.95,43909.0,690.0,48.784973
UNM,2023-07-20 14:00:00+00:00,48.9999,49.1,48.7,48.86,59145.0,1466.0,48.879826
UNM,2023-07-20 15:00:00+00:00,48.87,48.89,48.62,48.78,55653.0,1272.0,48.736701
UNM,2023-07-20 16:00:00+00:00,48.8,48.915,48.8,48.88,47027.0,1053.0,48.857714
UNM,2023-07-20 17:00:00+00:00,48.88,48.88,48.73,48.82,47310.0,1204.0,48.801203
UNM,2023-07-20 18:00:00+00:00,48.815,48.99,48.8,48.98,61270.0,1455.0,48.918803
UNM,2023-07-20 19:00:00+00:00,48.99,49.135,48.945,49.09,231521.0,3708.0,49.066556
UNM,2023-07-20 20:00:00+00:00,49.07,49.07,49.07,49.07,83880.0,22.0,49.07
UNM,2023-07-21 13:00:00+00:00,49.33,49.33,48.71,48.835,35052.0,656.0,49.059231
UNM,2023-07-21 14:00:00+00:00,48.87,49.04,48.87,48.91,50066.0,1264.0,48.952525
UNM,2023-07-21 15:00:00+00:00,48.9,48.92,48.63,48.79,49591.0,1178.0,48.769316
UNM,2023-07-21 16:00:00+00:00,48.78,48.81,48.63,48.7,44562.0,1274.0,48.731123
UNM,2023-07-21 17:00:00+00:00,48.72,48.94,48.7123,48.9276,77729.0,1471.0,48.867265
UNM,2023-07-21 18:00:00+00:00,48.93,49.03,48.89,48.91,69790.0,1637.0,48.964326
UNM,2023-07-21 19:00:00+00:00,48.91,48.93,48.71,48.73,175901.0,2949.0,48.799016
UNM,2023-07-21 20:00:00+00:00,48.71,48.71,48.71,48.71,172745.0,16.0,48.71
UNM,2023-07-24 13:00:00+00:00,48.69,49.01,48.69,48.84,23981.0,383.0,48.827169
UNM,2023-07-24 14:00:00+00:00,48.865,48.95,48.755,48.92,49291.0,1059.0,48.85766
UNM,2023-07-24 15:00:00+00:00,48.93,49.005,48.79,49.005,37525.0,952.0,48.917657
UNM,2023-07-24 16:00:00+00:00,49.02,49.1599,49.01,49.09,38397.0,1035.0,49.074281
UNM,2023-07-24 17:00:00+00:00,49.09,49.09,48.94,48.97,49097.0,932.0,48.990019
UNM,2023-07-24 18:00:00+00:00,48.98,49.0998,48.95,48.95,63273.0,1322.0,49.03445
UNM,2023-07-24 19:00:00+00:00,48.94,48.995,48.83,48.93,142610.0,2906.0,48.906017
UNM,2023-07-24 20:00:00+00:00,48.92,48.92,48.92,48.92,85193.0,11.0,48.92
UNM,2023-07-25 13:00:00+00:00,48.89,48.96,48.6739,48.73,31556.0,510.0,48.814246
UNM,2023-07-25 14:00:00+00:00,48.74,49.07,48.73,48.975,71205.0,1561.0,48.935364
UNM,2023-07-25 15:00:00+00:00,48.9601,48.99,48.795,48.93,56783.0,1222.0,48.900214
