symbol,timestamp,open,high,low,close,volume,trade_count,vwap
USMC,2023-07-17 13:00:00+00:00,44.185,44.225,44.18,44.18,1243.0,8.0,44.186879
USMC,2023-07-17 14:00:00+00:00,44.175,44.21,44.175,44.1783,2881.0,4.0,44.179272
USMC,2023-07-17 15:00:00+00:00,44.19,44.278,44.19,44.278,4857.0,9.0,44.265635
USMC,2023-07-17 16:00:00+00:00,44.21,44.2838,44.2,44.2,1013.0,4.0,44.212787
USMC,2023-07-17 17:00:00+00:00,44.2508,44.29,44.2508,44.2697,931.0,3.0,44.259386
USMC,2023-07-17 18:00:00+00:00,44.29,44.31,44.29,44.31,1648.0,4.0,44.308805
USMC,2023-07-17 19:00:00+00:00,44.3499,44.38,44.32,44.32,1866.0,17.0,44.359258
USMC,2023-07-18 14:00:00+00:00,44.35,44.41,44.345,44.39,1755.0,10.0,44.366467
USMC,2023-07-18 15:00:00+00:00,44.43,44.47,44.4161,44.45,2969.0,25.0,44.456267
USMC,2023-07-18 16:00:00+00:00,44.59,44.59,44.525,44.56,6126.0,16.0,44.566523
USMC,2023-07-18 17:00:00+00:00,44.57,44.59,44.57,44.59,6384.0,69.0,44.577957
USMC,2023-07-18 18:00:00+00:00,44.59,44.72,44.59,44.71,3444.0,14.0,44.672183
USMC,2023-07-18 19:00:00+00:00,44.73,44.76,44.6447,44.6447,2359.0,12.0,44.740803
USMC,2023-07-19 13:00:00+00:00,44.69,44.7551,44.69,44.7551,288.0,3.0,44.731818
USMC,2023-07-19 14:00:00+00:00,44.8799,44.88,44.85,44.85,1129.0,13.0,44.863754
USMC,2023-07-19 15:00:00+00:00,44.8992,44.92,44.8401,44.92,1079.0,3.0,44.867752
USMC,2023-07-19 16:00:00+00:00,44.89,44.89,44.7606,44.833,16847.0,66.0,44.788341
USMC,2023-07-19 17:00:00+00:00,44.83,44.84,44.75,44.76,4930.0,19.0,44.789377
USMC,2023-07-19 18:00:00+00:00,44.74,44.8399,44.71,44.8399,1112.0,14.0,44.755602
USMC,2023-07-19 19:00:00+00:00,44.8399,44.85,44.75,44.76,7038.0,44.0,44.808117
USMC,2023-07-20 13:00:00+00:00,44.7382,44.7382,44.7382,44.7382,334.0,1.0,44.7382
USMC,2023-07-20 14:00:00+00:00,44.67,44.695,44.65,44.65,849.0,12.0,44.663976
USMC,2023-07-20 15:00:00+00:00,44.71,44.7383,44.6628,44.7383,1982.0,5.0,44.706393
USMC,2023-07-20 16:00:00+00:00,44.729,44.7675,44.64,44.64,3493.0,13.0,44.726895
USMC,2023-07-20 17:00:00+00:00,44.7013,44.7013,44.7013,44.7013,423.0,1.0,44.7013
USMC,2023-07-20 18:00:00+00:00,44.545,44.545,44.545,44.545,182.0,2.0,44.543489
USMC,2023-07-20 19:00:00+00:00,44.5371,44.5371,44.47,44.47,1319.0,6.0,44.524712
USMC,2023-07-21 14:00:00+00:00,44.69,44.7,44.68,44.68,9600.0,39.0,44.685325
USMC,2023-07-21 15:00:00+00:00,44.68,44.7938,44.68,44.7938,2800.0,15.0,44.729829
USMC,2023-07-21 16:00:00+00:00,44.7899,44.7899,44.33,44.6676,86254.0,303.0,44.610038
USMC,2023-07-21 17:00:00+00:00,44.71,44.77,44.71,44.77,1300.0,8.0,44.721538
USMC,2023-07-21 18:00:00+00:00,44.735,44.7899,44.73,44.7899,1502.0,7.0,44.73795
USMC,2023-07-21 19:00:00+00:00,44.6313,44.7046,44.59,44.59,1810.0,8.0,44.649259
USMC,2023-07-24 13:00:00+00:00,44.71,44.77,44.67,44.7,1390.0,9.0,44.710065
USMC,2023-07-24 14:00:00+00:00,44.81,44.84,44.81,44.8301,2716.0,10.0,44.82819
USMC,2023-07-24 15:00:00+00:00,44.9138,44.9138,44.86,44.86,2901.0,3.0,44.895754
USMC,2023-07-24 16:00:00+00:00,44.907,44.907,44.83,44.83,650.0,2.0,44.859615
USMC,2023-07-24 17:00:00+00:00,44.86,44.91,44.86,44.91,2480.0,12.0,44.897305
USMC,2023-07-24 18:00:00+00:00,44.942,44.9799,44.88,44.885,9310.0,10.0,44.925015
USMC,2023-07-24 19:00:00+00:00,44.89,44.89,44.821,44.87,2869.0,17.0,44.870467
USMC,2023-07-25 13:00:00+00:00,44.89,44.96,44.89,44.96,1591.0,6.0,44.906634
USMC,2023-07-25 14:00:00+00:00,44.95,44.965,44.89,44.9,4066.0,18.0,44.939037
USMC,2023-07-25 15:00:00+00:00,44.94,44.98,44.94,44.9619,4847.0,15.0,44.965247
USMC,2023-07-25 16:00:00+00:00,45.03,45.04,44.9704,45.0,13651.0,39.0,45.017451
USMC,2023-07-25 17:00:00+00:00,45.1068,45.1068,45.02,45.03,1513.0,7.0,45.065042
USMC,2023-07-25 18:00:00+00:00,45.03,45.1099,45.03,45.05,2616.0,12.0,45.086084
USMC,2023-07-25 19:00:00+00:00,45.0,45.0,44.94,44.94,1718.0,18.0,44.960052
USMC,2023-07-25 20:00:00+00:00,44.96,44.96,44.96,44.96,186.0,1.0,44.96
USMC,2023-07-26 13:00:00+00:00,44.7475,44.83,44.7475,44.83,23673.0,4.0,44.828996
USMC,2023-07-26 14:00:00+00:00,44.8089,44.8493,44.7608,44.8493,2111.0,5.0,44.820954
USMC,2023-07-26 15:00:00+00:00,44.75,44.85,44.75,44.82,5874.0,31.0,44.820445
