symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UWM,2023-07-17 11:00:00+00:00,35.71,35.71,35.71,35.71,532.0,3.0,35.71
UWM,2023-07-17 13:00:00+00:00,35.9,36.49,35.75,36.42,151901.0,958.0,36.047531
UWM,2023-07-17 14:00:00+00:00,36.43,36.59,36.29,36.53,114170.0,697.0,36.446261
UWM,2023-07-17 15:00:00+00:00,36.52,36.74,36.48,36.7,121773.0,504.0,36.580256
UWM,2023-07-17 16:00:00+00:00,36.69,36.87,36.69,36.79,69299.0,494.0,36.77278
UWM,2023-07-17 17:00:00+00:00,36.77,36.93,36.73,36.84,49536.0,302.0,36.81484
UWM,2023-07-17 18:00:00+00:00,36.85,36.91,36.77,36.82,32827.0,147.0,36.846769
UWM,2023-07-17 19:00:00+00:00,36.83,36.86,36.62,36.6498,138617.0,926.0,36.74412
UWM,2023-07-17 20:00:00+00:00,36.65,36.65,36.55,36.55,2685.0,2.0,36.64203
UWM,2023-07-17 23:00:00+00:00,36.55,36.55,36.55,36.55,100.0,1.0,36.55
UWM,2023-07-18 12:00:00+00:00,36.48,36.48,36.48,36.48,350.0,1.0,36.48
UWM,2023-07-18 13:00:00+00:00,36.59,37.55,36.56,37.55,268986.0,1609.0,37.08033
UWM,2023-07-18 14:00:00+00:00,37.55,37.7,37.33,37.44,148370.0,897.0,37.530102
UWM,2023-07-18 15:00:00+00:00,37.46,37.56,37.25,37.44,86652.0,489.0,37.396051
UWM,2023-07-18 16:00:00+00:00,37.43,37.45,37.28,37.355,52428.0,298.0,37.345894
UWM,2023-07-18 17:00:00+00:00,37.37,37.415,37.27,37.28,64828.0,359.0,37.336133
UWM,2023-07-18 18:00:00+00:00,37.27,37.535,37.27,37.5,60412.0,306.0,37.426283
UWM,2023-07-18 19:00:00+00:00,37.53,37.62,37.47,37.59,113916.0,863.0,37.563041
UWM,2023-07-18 20:00:00+00:00,37.58,37.59,37.58,37.59,16466.0,2.0,37.589939
UWM,2023-07-19 10:00:00+00:00,37.59,37.59,37.59,37.59,100.0,1.0,37.59
UWM,2023-07-19 11:00:00+00:00,37.5,37.5,37.4,37.4,715.0,2.0,37.416084
UWM,2023-07-19 12:00:00+00:00,37.47,37.47,37.47,37.47,1100.0,3.0,37.47
UWM,2023-07-19 13:00:00+00:00,37.6,38.19,37.6,38.01,202268.0,1095.0,37.920384
UWM,2023-07-19 14:00:00+00:00,38.059,38.09,37.66,37.78,160010.0,781.0,37.915051
UWM,2023-07-19 15:00:00+00:00,37.79,38.03,37.71,37.93,89889.0,432.0,37.890703
UWM,2023-07-19 16:00:00+00:00,37.95,37.98,37.55,37.81,61750.0,402.0,37.807986
UWM,2023-07-19 17:00:00+00:00,37.82,37.82,37.62,37.7,51196.0,316.0,37.676439
UWM,2023-07-19 18:00:00+00:00,37.71,37.82,37.6,37.75,48917.0,308.0,37.695811
UWM,2023-07-19 19:00:00+00:00,37.75,37.96,37.75,37.85,107938.0,666.0,37.872939
UWM,2023-07-19 20:00:00+00:00,37.88,37.88,37.84,37.84,1132.0,3.0,37.871166
UWM,2023-07-19 22:00:00+00:00,37.85,37.85,37.75,37.75,400.0,2.0,37.775
UWM,2023-07-19 23:00:00+00:00,37.8,37.8,37.79,37.79,3500.0,5.0,37.793143
UWM,2023-07-20 08:00:00+00:00,38.22,38.22,38.15,38.15,4900.0,5.0,38.185918
UWM,2023-07-20 09:00:00+00:00,38.11,38.15,38.09,38.15,5001.0,7.0,38.1214
UWM,2023-07-20 10:00:00+00:00,38.17,38.18,38.16,38.16,3500.0,3.0,38.171429
UWM,2023-07-20 11:00:00+00:00,38.15,38.15,38.11,38.12,20300.0,43.0,38.132611
UWM,2023-07-20 12:00:00+00:00,38.15,38.17,37.93,37.93,3332.0,12.0,38.065285
UWM,2023-07-20 13:00:00+00:00,37.94,37.95,37.36,37.56,201035.0,1233.0,37.615286
UWM,2023-07-20 14:00:00+00:00,37.56,37.6,36.89,37.2,214424.0,1303.0,37.14834
UWM,2023-07-20 15:00:00+00:00,37.19,37.31,37.1,37.26,65001.0,434.0,37.230366
UWM,2023-07-20 16:00:00+00:00,37.28,37.41,37.04,37.14,76926.0,442.0,37.237751
UWM,2023-07-20 17:00:00+00:00,37.14,37.18,37.03,37.13,67553.0,353.0,37.113588
UWM,2023-07-20 18:00:00+00:00,37.12,37.25,36.99,37.18,104934.0,547.0,37.13815
UWM,2023-07-20 19:00:00+00:00,37.19,37.255,37.0501,37.235,135056.0,1047.0,37.171801
UWM,2023-07-20 20:00:00+00:00,37.24,37.3,37.24,37.3,3776.0,10.0,37.259052
UWM,2023-07-20 21:00:00+00:00,37.25,37.25,37.25,37.25,900.0,1.0,37.25
UWM,2023-07-20 22:00:00+00:00,37.3,37.3,37.3,37.3,100.0,1.0,37.3
