symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VGLT,2023-07-17 13:00:00+00:00,62.65,62.67,62.5,62.6,119290.0,623.0,62.603318
VGLT,2023-07-17 14:00:00+00:00,62.59,62.67,62.48,62.66,172146.0,993.0,62.551844
VGLT,2023-07-17 15:00:00+00:00,62.65,62.65,62.48,62.634,119921.0,750.0,62.561736
VGLT,2023-07-17 16:00:00+00:00,62.64,62.7,62.57,62.69,583744.0,542.0,62.649559
VGLT,2023-07-17 17:00:00+00:00,62.67,62.77,62.66,62.7207,152841.0,861.0,62.736249
VGLT,2023-07-17 18:00:00+00:00,62.725,62.805,62.71,62.7705,212452.0,1016.0,62.745412
VGLT,2023-07-17 19:00:00+00:00,62.78,62.78,62.66,62.7,290960.0,1782.0,62.699629
VGLT,2023-07-17 20:00:00+00:00,62.72,63.27,62.72,63.27,8082.0,10.0,62.735652
VGLT,2023-07-18 12:00:00+00:00,63.12,63.12,63.05,63.05,1100.0,2.0,63.088182
VGLT,2023-07-18 13:00:00+00:00,62.99,63.09,62.8799,63.01,112326.0,375.0,62.936518
VGLT,2023-07-18 14:00:00+00:00,63.01,63.13,62.985,63.09,86963.0,749.0,63.047558
VGLT,2023-07-18 15:00:00+00:00,63.11,63.1567,63.0199,63.03,213122.0,804.0,63.054437
VGLT,2023-07-18 16:00:00+00:00,63.03,63.085,62.94,62.99,63659.0,589.0,63.022572
VGLT,2023-07-18 17:00:00+00:00,62.99,63.06,62.99,63.03,106453.0,463.0,63.015253
VGLT,2023-07-18 18:00:00+00:00,63.03,63.05,62.9615,62.995,506950.0,1206.0,63.038221
VGLT,2023-07-18 19:00:00+00:00,62.99,62.99,62.8963,62.95,284652.0,1634.0,62.942669
VGLT,2023-07-18 20:00:00+00:00,62.98,62.98,62.94,62.97,17355.0,26.0,62.975665
VGLT,2023-07-19 12:00:00+00:00,63.38,63.46,63.38,63.46,7732.0,5.0,63.401635
VGLT,2023-07-19 13:00:00+00:00,63.11,63.2,63.01,63.106,71068.0,335.0,63.110305
VGLT,2023-07-19 14:00:00+00:00,63.11,63.15,62.96,63.15,175670.0,1015.0,63.053452
VGLT,2023-07-19 15:00:00+00:00,63.15,63.24,63.0295,63.15,147454.0,942.0,63.170939
VGLT,2023-07-19 16:00:00+00:00,63.15,63.51,63.1458,63.4252,9539040.0,1850.0,63.327149
VGLT,2023-07-19 17:00:00+00:00,63.42,63.4994,63.35,63.4994,110491.0,819.0,63.399904
VGLT,2023-07-19 18:00:00+00:00,63.495,63.62,63.495,63.6,161119.0,1037.0,63.569625
VGLT,2023-07-19 19:00:00+00:00,63.59,63.63,63.54,63.6,333005.0,1919.0,63.586117
VGLT,2023-07-19 20:00:00+00:00,63.62,63.62,63.44,63.44,4923.0,5.0,63.596327
VGLT,2023-07-20 13:00:00+00:00,63.17,63.19,62.95,63.01,142829.0,586.0,63.06769
VGLT,2023-07-20 14:00:00+00:00,63.05,63.055,62.85,62.89,158021.0,1307.0,62.935632
VGLT,2023-07-20 15:00:00+00:00,62.88,62.88,62.75,62.76,111389.0,884.0,62.818838
VGLT,2023-07-20 16:00:00+00:00,62.76,62.81,62.66,62.665,2527731.0,743.0,62.788385
VGLT,2023-07-20 17:00:00+00:00,62.66,62.82,62.6202,62.81,397137.0,1034.0,62.694897
VGLT,2023-07-20 18:00:00+00:00,62.81,62.865,62.79,62.7959,199738.0,1069.0,62.824456
VGLT,2023-07-20 19:00:00+00:00,62.8,62.88,62.76,62.86,200036.0,1383.0,62.833251
VGLT,2023-07-20 20:00:00+00:00,62.86,62.86,62.73,62.73,3285.0,4.0,62.82288
VGLT,2023-07-21 13:00:00+00:00,63.12,63.2332,63.07,63.155,54615.0,305.0,63.149628
VGLT,2023-07-21 14:00:00+00:00,63.14,63.14,63.0,63.05,1884121.0,709.0,63.041221
VGLT,2023-07-21 15:00:00+00:00,63.04,63.1968,63.02,63.02,189995.0,925.0,63.119123
VGLT,2023-07-21 16:00:00+00:00,63.02,63.11,63.016,63.02,99192.0,501.0,63.057264
VGLT,2023-07-21 17:00:00+00:00,63.03,63.0896,63.01,63.03,397275.0,507.0,63.042234
VGLT,2023-07-21 18:00:00+00:00,63.0211,63.07,62.89,62.89,177495.0,880.0,63.000185
VGLT,2023-07-21 19:00:00+00:00,62.895,62.945,62.84,62.91,652360.0,2881.0,62.891687
VGLT,2023-07-21 20:00:00+00:00,62.91,62.91,62.86,62.87,5448.0,4.0,62.903025
VGLT,2023-07-24 13:00:00+00:00,63.02,63.11,62.82,63.02,92671.0,534.0,62.989225
VGLT,2023-07-24 14:00:00+00:00,63.055,63.09,62.8,62.83,102147.0,846.0,62.914504
VGLT,2023-07-24 15:00:00+00:00,62.83,62.87,62.76,62.8,204643.0,784.0,62.809605
VGLT,2023-07-24 16:00:00+00:00,62.8058,62.82,62.6601,62.8,246059.0,929.0,62.768644
VGLT,2023-07-24 17:00:00+00:00,62.8087,62.85,62.73,62.765,136010.0,691.0,62.77913
VGLT,2023-07-24 18:00:00+00:00,62.76,62.81,62.715,62.77,173026.0,866.0,62.782854
VGLT,2023-07-24 19:00:00+00:00,62.77,62.81,62.634,62.67,439194.0,1736.0,62.717398
VGLT,2023-07-24 20:00:00+00:00,62.68,62.68,62.64,62.64,2827.0,3.0,62.677934
VGLT,2023-07-25 12:00:00+00:00,62.5,62.5,62.5,62.5,412.0,3.0,62.49699
VGLT,2023-07-25 13:00:00+00:00,62.36,62.65,62.34,62.565,116207.0,513.0,62.448177
VGLT,2023-07-25 14:00:00+00:00,62.56,62.665,62.44,62.59,151023.0,1141.0,62.572579
VGLT,2023-07-25 15:00:00+00:00,62.59,62.75,62.5107,62.69,225156.0,946.0,62.648702
VGLT,2023-07-25 16:00:00+00:00,62.69,62.7,62.5162,62.56,230502.0,847.0,62.620059
VGLT,2023-07-25 17:00:00+00:00,62.5785,62.6258,62.51,62.51,74986.0,439.0,62.582353
VGLT,2023-07-25 18:00:00+00:00,62.515,62.5284,62.3741,62.42,119932.0,794.0,62.43206
VGLT,2023-07-25 19:00:00+00:00,62.41,62.57,62.4,62.56,339704.0,1500.0,62.476272
VGLT,2023-07-25 20:00:00+00:00,62.55,62.65,62.55,62.63,7837.0,7.0,62.585976
VGLT,2023-07-26 13:00:00+00:00,62.86,62.86,62.57,62.61,63670.0,389.0,62.728272
VGLT,2023-07-26 14:00:00+00:00,62.64,62.78,62.61,62.7037,178220.0,932.0,62.700504
