symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VIPS,2023-07-17 10:00:00+00:00,17.0,17.0,17.0,17.0,200.0,2.0,17.00025
VIPS,2023-07-17 12:00:00+00:00,17.02,17.02,17.0,17.0,2801.0,7.0,17.019279
VIPS,2023-07-17 13:00:00+00:00,16.92,17.19,16.75,17.185,291414.0,2356.0,16.946562
VIPS,2023-07-17 14:00:00+00:00,17.18,17.5,17.15,17.45,283239.0,2885.0,17.360045
VIPS,2023-07-17 15:00:00+00:00,17.4401,17.46,17.325,17.41,221163.0,2122.0,17.398897
VIPS,2023-07-17 16:00:00+00:00,17.405,17.525,17.395,17.455,190641.0,1532.0,17.474797
VIPS,2023-07-17 17:00:00+00:00,17.46,17.53,17.44,17.485,127076.0,1097.0,17.4862
VIPS,2023-07-17 18:00:00+00:00,17.495,17.515,17.46,17.495,174555.0,1499.0,17.490312
VIPS,2023-07-17 19:00:00+00:00,17.5,17.545,17.44,17.44,438730.0,3675.0,17.48167
VIPS,2023-07-17 20:00:00+00:00,17.45,17.45,17.45,17.45,207801.0,12.0,17.45
VIPS,2023-07-18 10:00:00+00:00,17.38,17.39,17.38,17.39,1012.0,6.0,17.382095
VIPS,2023-07-18 12:00:00+00:00,17.24,17.24,17.24,17.24,100.0,1.0,17.24
VIPS,2023-07-18 13:00:00+00:00,17.37,17.37,16.92,17.02,252115.0,2271.0,17.049242
VIPS,2023-07-18 14:00:00+00:00,17.04,17.1,16.885,16.95,228880.0,2395.0,16.987858
VIPS,2023-07-18 15:00:00+00:00,16.95,16.95,16.7801,16.86,282851.0,2591.0,16.831076
VIPS,2023-07-18 16:00:00+00:00,16.85,16.88,16.75,16.775,223587.0,2309.0,16.823341
VIPS,2023-07-18 17:00:00+00:00,16.775,16.775,16.63,16.65,184777.0,2132.0,16.709138
VIPS,2023-07-18 18:00:00+00:00,16.645,16.76,16.6,16.74,181545.0,1634.0,16.686208
VIPS,2023-07-18 19:00:00+00:00,16.74,16.81,16.735,16.77,293483.0,2888.0,16.777409
VIPS,2023-07-18 20:00:00+00:00,16.77,16.8085,16.77,16.8085,139228.0,18.0,16.770028
VIPS,2023-07-19 10:00:00+00:00,16.95,16.95,16.95,16.95,100.0,1.0,16.95
VIPS,2023-07-19 11:00:00+00:00,16.99,17.0,16.95,16.95,1221.0,13.0,16.989468
VIPS,2023-07-19 12:00:00+00:00,17.0,17.12,17.0,17.1,3360.0,39.0,17.090422
VIPS,2023-07-19 13:00:00+00:00,17.1,17.24,16.9,16.92,271047.0,2611.0,17.088652
VIPS,2023-07-19 14:00:00+00:00,16.91,16.97,16.725,16.735,261076.0,2602.0,16.82957
VIPS,2023-07-19 15:00:00+00:00,16.74,16.79,16.625,16.625,234329.0,2097.0,16.711937
VIPS,2023-07-19 16:00:00+00:00,16.625,16.6499,16.58,16.585,172431.0,1565.0,16.61701
VIPS,2023-07-19 17:00:00+00:00,16.58,16.615,16.53,16.545,124598.0,1302.0,16.576486
VIPS,2023-07-19 18:00:00+00:00,16.545,16.55,16.5,16.53,107176.0,1224.0,16.527893
VIPS,2023-07-19 19:00:00+00:00,16.525,16.54,16.49,16.52,386042.0,3704.0,16.512579
VIPS,2023-07-19 20:00:00+00:00,16.52,16.52,16.5133,16.5133,163733.0,25.0,16.51946
VIPS,2023-07-20 09:00:00+00:00,16.2,16.2,16.2,16.2,7025.0,6.0,16.200107
VIPS,2023-07-20 13:00:00+00:00,16.41,16.78,16.31,16.725,206773.0,1799.0,16.587687
VIPS,2023-07-20 14:00:00+00:00,16.73,16.745,16.525,16.565,227237.0,2338.0,16.633096
VIPS,2023-07-20 15:00:00+00:00,16.57,16.64,16.56,16.57,98157.0,1266.0,16.588614
VIPS,2023-07-20 16:00:00+00:00,16.57,16.595,16.55,16.57,100243.0,1064.0,16.57746
VIPS,2023-07-20 17:00:00+00:00,16.575,16.67,16.575,16.645,114109.0,1202.0,16.635511
VIPS,2023-07-20 18:00:00+00:00,16.65,16.73,16.62,16.705,148354.0,1546.0,16.670707
VIPS,2023-07-20 19:00:00+00:00,16.71,16.75,16.7,16.71,316748.0,3069.0,16.721283
VIPS,2023-07-20 20:00:00+00:00,16.72,16.72,16.72,16.72,166352.0,12.0,16.72
VIPS,2023-07-20 23:00:00+00:00,16.72,16.72,16.72,16.72,157.0,1.0,16.72
VIPS,2023-07-21 12:00:00+00:00,16.79,16.79,16.79,16.79,100.0,1.0,16.79
VIPS,2023-07-21 13:00:00+00:00,16.86,17.071,16.85,17.07,226503.0,1865.0,16.99845
VIPS,2023-07-21 14:00:00+00:00,17.07,17.08,16.92,16.95,241443.0,1955.0,16.984547
VIPS,2023-07-21 15:00:00+00:00,16.95,16.95,16.79,16.84,136163.0,1260.0,16.863222
VIPS,2023-07-21 16:00:00+00:00,16.86,16.895,16.78,16.875,116121.0,935.0,16.845564
VIPS,2023-07-21 17:00:00+00:00,16.8761,16.9,16.84,16.845,78874.0,845.0,16.867207
