symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VNQI,2023-07-17 13:00:00+00:00,41.5,41.55,41.35,41.5001,17726.0,169.0,41.47521
VNQI,2023-07-17 14:00:00+00:00,41.55,41.5899,41.505,41.515,10058.0,90.0,41.530103
VNQI,2023-07-17 15:00:00+00:00,41.5696,41.5696,41.4815,41.53,32443.0,162.0,41.505775
VNQI,2023-07-17 16:00:00+00:00,41.55,41.56,41.5,41.503,14716.0,113.0,41.51919
VNQI,2023-07-17 17:00:00+00:00,41.5017,41.55,41.5,41.53,10107.0,108.0,41.522777
VNQI,2023-07-17 18:00:00+00:00,41.5346,41.57,41.52,41.55,20707.0,193.0,41.535434
VNQI,2023-07-17 19:00:00+00:00,41.55,41.57,41.51,41.55,44482.0,582.0,41.54582
VNQI,2023-07-17 20:00:00+00:00,41.55,41.55,41.55,41.55,849.0,1.0,41.55
VNQI,2023-07-18 13:00:00+00:00,41.43,41.55,41.43,41.53,9777.0,102.0,41.474545
VNQI,2023-07-18 14:00:00+00:00,41.5283,41.6,41.46,41.6,35543.0,245.0,41.549073
VNQI,2023-07-18 15:00:00+00:00,41.5966,41.65,41.51,41.52,63757.0,577.0,41.58053
VNQI,2023-07-18 16:00:00+00:00,41.52,41.52,41.435,41.48,21891.0,174.0,41.482154
VNQI,2023-07-18 17:00:00+00:00,41.42,41.47,41.4,41.42,19383.0,187.0,41.43071
VNQI,2023-07-18 18:00:00+00:00,41.43,41.52,41.42,41.5099,45781.0,443.0,41.449718
VNQI,2023-07-18 19:00:00+00:00,41.52,41.5402,41.494,41.52,56452.0,575.0,41.521146
VNQI,2023-07-18 20:00:00+00:00,41.49,41.49,41.49,41.49,453.0,1.0,41.49
VNQI,2023-07-19 12:00:00+00:00,41.71,41.71,41.71,41.71,2495.0,3.0,41.711523
VNQI,2023-07-19 13:00:00+00:00,41.9,42.12,41.9,42.02,14804.0,165.0,41.996335
VNQI,2023-07-19 14:00:00+00:00,42.05,42.05,41.8563,41.8563,14628.0,157.0,41.930971
VNQI,2023-07-19 15:00:00+00:00,41.88,41.91,41.86,41.9077,10180.0,109.0,41.891701
VNQI,2023-07-19 16:00:00+00:00,41.91,41.91,41.87,41.91,13248.0,119.0,41.88924
VNQI,2023-07-19 17:00:00+00:00,41.8917,41.9499,41.8917,41.93,16893.0,153.0,41.919885
VNQI,2023-07-19 18:00:00+00:00,41.935,41.9499,41.89,41.9399,26140.0,295.0,41.921869
VNQI,2023-07-19 19:00:00+00:00,41.9399,41.9899,41.91,41.98,30682.0,374.0,41.939137
VNQI,2023-07-19 20:00:00+00:00,41.99,41.99,41.99,41.99,316.0,1.0,41.99
VNQI,2023-07-20 13:00:00+00:00,41.93,41.97,41.88,41.94,9921.0,65.0,41.930881
VNQI,2023-07-20 14:00:00+00:00,41.98,41.98,41.7616,41.8408,12697.0,109.0,41.856765
VNQI,2023-07-20 15:00:00+00:00,41.85,41.87,41.7746,41.84,14980.0,143.0,41.816769
VNQI,2023-07-20 16:00:00+00:00,41.82,41.85,41.79,41.84,14412.0,142.0,41.821036
VNQI,2023-07-20 17:00:00+00:00,41.84,41.88,41.82,41.84,22366.0,191.0,41.856329
VNQI,2023-07-20 18:00:00+00:00,41.8599,41.8699,41.76,41.8499,26624.0,300.0,41.834307
VNQI,2023-07-20 19:00:00+00:00,41.85,41.95,41.8101,41.95,29455.0,457.0,41.854698
VNQI,2023-07-20 20:00:00+00:00,41.95,41.95,41.95,41.95,141.0,1.0,41.95
VNQI,2023-07-21 13:00:00+00:00,41.75,41.815,41.69,41.69,12806.0,145.0,41.745919
VNQI,2023-07-21 14:00:00+00:00,41.72,41.79,41.6801,41.7452,15014.0,126.0,41.726734
VNQI,2023-07-21 15:00:00+00:00,41.7799,41.8499,41.7447,41.8499,6532.0,95.0,41.809822
VNQI,2023-07-21 16:00:00+00:00,41.835,41.84,41.8,41.822,11916.0,102.0,41.819133
VNQI,2023-07-21 17:00:00+00:00,41.825,41.86,41.825,41.8599,8774.0,145.0,41.837559
VNQI,2023-07-21 18:00:00+00:00,41.86,41.87,41.82,41.86,17925.0,256.0,41.838972
VNQI,2023-07-21 19:00:00+00:00,41.84,41.86,41.7801,41.86,48655.0,456.0,41.814005
VNQI,2023-07-21 20:00:00+00:00,41.85,41.85,41.85,41.85,190.0,1.0,41.85
VNQI,2023-07-24 13:00:00+00:00,41.74,41.85,41.74,41.7805,11949.0,107.0,41.76143
VNQI,2023-07-24 14:00:00+00:00,41.8,41.8199,41.65,41.8132,69086.0,252.0,41.677147
VNQI,2023-07-24 15:00:00+00:00,41.8,41.8499,41.78,41.83,15993.0,176.0,41.815568
VNQI,2023-07-24 16:00:00+00:00,41.83,41.8999,41.79,41.86,18920.0,154.0,41.839699
VNQI,2023-07-24 17:00:00+00:00,41.86,41.9,41.7963,41.8401,15637.0,178.0,41.843188
VNQI,2023-07-24 18:00:00+00:00,41.87,41.9,41.78,41.825,19878.0,243.0,41.827451
VNQI,2023-07-24 19:00:00+00:00,41.8299,41.89,41.8,41.83,87305.0,541.0,41.822355
VNQI,2023-07-24 20:00:00+00:00,41.82,41.82,41.82,41.82,612.0,1.0,41.82
VNQI,2023-07-25 13:00:00+00:00,41.91,42.04,41.91,41.94,17693.0,198.0,41.961569
VNQI,2023-07-25 14:00:00+00:00,41.9193,41.999,41.91,41.91,9308.0,93.0,41.960983
VNQI,2023-07-25 15:00:00+00:00,41.9466,42.0,41.92,41.9409,22729.0,145.0,41.973317
VNQI,2023-07-25 16:00:00+00:00,41.96,41.9924,41.9089,41.96,64131.0,78.0,41.966324
VNQI,2023-07-25 17:00:00+00:00,41.93,41.99,41.91,41.945,10572.0,156.0,41.940184
VNQI,2023-07-25 18:00:00+00:00,41.94,41.99,41.94,41.99,14290.0,169.0,41.965268
VNQI,2023-07-25 19:00:00+00:00,41.975,41.99,41.93,41.93,25925.0,340.0,41.969427
VNQI,2023-07-25 20:00:00+00:00,41.93,41.93,41.93,41.93,316.0,1.0,41.93
VNQI,2023-07-26 13:00:00+00:00,41.93,42.19,41.93,42.172,14905.0,146.0,42.067747
VNQI,2023-07-26 14:00:00+00:00,42.2,42.28,42.16,42.2199,30470.0,453.0,42.207182
VNQI,2023-07-26 15:00:00+00:00,42.2165,42.32,42.2165,42.31,28262.0,400.0,42.276997
VNQI,2023-07-26 16:00:00+00:00,42.31,42.35,42.27,42.271,27522.0,333.0,42.308216
VNQI,2023-07-26 17:00:00+00:00,42.29,42.2999,42.2101,42.23,21410.0,249.0,42.259132
VNQI,2023-07-26 18:00:00+00:00,42.23,42.47,42.21,42.46,40435.0,433.0,42.3308
VNQI,2023-07-26 19:00:00+00:00,42.46,42.46,42.2701,42.34,69024.0,800.0,42.363588
VNQI,2023-07-26 20:00:00+00:00,42.33,42.33,42.33,42.33,561.0,1.0,42.33
VNQI,2023-07-27 11:00:00+00:00,42.4,42.4,42.4,42.4,201.0,2.0,42.4001
VNQI,2023-07-27 12:00:00+00:00,42.61,42.61,42.61,42.61,2451.0,3.0,42.610832
