symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VTRS,2023-07-17 08:00:00+00:00,10.2,10.2,10.2,10.2,200.0,2.0,10.2009
VTRS,2023-07-17 11:00:00+00:00,10.16,10.16,10.16,10.16,201.0,5.0,10.161791
VTRS,2023-07-17 12:00:00+00:00,10.16,10.16,10.16,10.16,200.0,1.0,10.16
VTRS,2023-07-17 13:00:00+00:00,10.16,10.16,9.95,9.96,587178.0,3650.0,10.006956
VTRS,2023-07-17 14:00:00+00:00,9.955,10.0,9.935,9.945,561304.0,3831.0,9.966569
VTRS,2023-07-17 15:00:00+00:00,9.94,9.97,9.9124,9.94,511087.0,3367.0,9.944353
VTRS,2023-07-17 16:00:00+00:00,9.94,9.96,9.92,9.955,359083.0,2612.0,9.938689
VTRS,2023-07-17 17:00:00+00:00,9.955,10.02,9.9501,9.985,917032.0,3163.0,9.997118
VTRS,2023-07-17 18:00:00+00:00,9.99,10.05,9.99,10.02,640573.0,3898.0,10.024648
VTRS,2023-07-17 19:00:00+00:00,10.025,10.05,9.995,10.015,1256746.0,7990.0,10.02309
VTRS,2023-07-17 20:00:00+00:00,10.01,10.03,10.01,10.0281,909674.0,40.0,10.010004
VTRS,2023-07-17 23:00:00+00:00,10.0,10.0,10.0,10.0,407.0,1.0,10.0
VTRS,2023-07-18 12:00:00+00:00,10.0,10.0,10.0,10.0,150.0,3.0,10.0
VTRS,2023-07-18 13:00:00+00:00,10.0,10.195,9.96,10.16,662507.0,3788.0,10.081552
VTRS,2023-07-18 14:00:00+00:00,10.155,10.28,10.15,10.27,2112468.0,9129.0,10.203441
VTRS,2023-07-18 15:00:00+00:00,10.265,10.31,10.21,10.235,1025944.0,4967.0,10.276143
VTRS,2023-07-18 16:00:00+00:00,10.235,10.24,10.125,10.135,637458.0,4310.0,10.168953
VTRS,2023-07-18 17:00:00+00:00,10.135,10.15,10.08,10.085,654078.0,4280.0,10.109515
VTRS,2023-07-18 18:00:00+00:00,10.085,10.1392,10.085,10.115,343098.0,3048.0,10.112231
VTRS,2023-07-18 19:00:00+00:00,10.115,10.19,10.11,10.18,1237261.0,8507.0,10.159396
VTRS,2023-07-18 20:00:00+00:00,10.18,10.1993,10.18,10.1993,1479238.0,41.0,10.180002
VTRS,2023-07-19 13:00:00+00:00,10.28,10.35,10.13,10.335,462586.0,2832.0,10.307862
VTRS,2023-07-19 14:00:00+00:00,10.3392,10.42,10.3301,10.405,1442386.0,6664.0,10.387596
VTRS,2023-07-19 15:00:00+00:00,10.405,10.43,10.345,10.43,1065934.0,4490.0,10.3816
VTRS,2023-07-19 16:00:00+00:00,10.4201,10.51,10.41,10.505,1388275.0,6604.0,10.463055
VTRS,2023-07-19 17:00:00+00:00,10.51,10.52,10.47,10.47,578358.0,3864.0,10.492741
VTRS,2023-07-19 18:00:00+00:00,10.475,10.475,10.425,10.435,662091.0,4497.0,10.443035
VTRS,2023-07-19 19:00:00+00:00,10.435,10.46,10.41,10.435,1403187.0,9587.0,10.433583
VTRS,2023-07-19 20:00:00+00:00,10.43,10.45,10.43,10.45,1119687.0,47.0,10.430009
VTRS,2023-07-20 11:00:00+00:00,10.5,10.52,10.5,10.52,3641.0,13.0,10.505347
VTRS,2023-07-20 12:00:00+00:00,10.5002,10.5002,10.5,10.5,5733.0,21.0,10.500038
VTRS,2023-07-20 13:00:00+00:00,10.51,10.63,10.51,10.585,535695.0,3223.0,10.586929
VTRS,2023-07-20 14:00:00+00:00,10.5805,10.61,10.47,10.475,804122.0,5221.0,10.544507
VTRS,2023-07-20 15:00:00+00:00,10.475,10.5,10.435,10.47,529335.0,4059.0,10.464109
VTRS,2023-07-20 16:00:00+00:00,10.48,10.52,10.47,10.48,385757.0,3147.0,10.490274
VTRS,2023-07-20 17:00:00+00:00,10.48,10.485,10.43,10.465,554343.0,3307.0,10.455856
VTRS,2023-07-20 18:00:00+00:00,10.465,10.51,10.46,10.505,562020.0,3551.0,10.474184
VTRS,2023-07-20 19:00:00+00:00,10.505,10.52,10.45,10.475,1858597.0,9195.0,10.479712
VTRS,2023-07-20 20:00:00+00:00,10.47,10.47,10.47,10.47,1387876.0,33.0,10.47
VTRS,2023-07-20 22:00:00+00:00,10.55,10.55,10.55,10.55,307.0,7.0,10.549023
VTRS,2023-07-21 12:00:00+00:00,10.5485,10.5485,10.5485,10.5485,165.0,2.0,10.5485
VTRS,2023-07-21 13:00:00+00:00,10.55,10.55,10.39,10.415,595301.0,2467.0,10.447203
VTRS,2023-07-21 14:00:00+00:00,10.415,10.53,10.415,10.51,422082.0,3336.0,10.485698
VTRS,2023-07-21 15:00:00+00:00,10.505,10.55,10.49,10.51,501222.0,3038.0,10.514958
VTRS,2023-07-21 16:00:00+00:00,10.51,10.52,10.49,10.5,374356.0,2648.0,10.501375
VTRS,2023-07-21 17:00:00+00:00,10.495,10.52,10.48,10.52,348250.0,2376.0,10.501845
VTRS,2023-07-21 18:00:00+00:00,10.515,10.52,10.49,10.505,349361.0,2322.0,10.507248
VTRS,2023-07-21 19:00:00+00:00,10.5099,10.52,10.47,10.475,1036399.0,5929.0,10.497049
VTRS,2023-07-21 20:00:00+00:00,10.48,10.55,10.47,10.48,1021554.0,29.0,10.480017
VTRS,2023-07-24 08:00:00+00:00,10.45,10.45,10.45,10.45,100.0,1.0,10.45
VTRS,2023-07-24 11:00:00+00:00,10.46,10.46,10.46,10.46,100.0,1.0,10.46
VTRS,2023-07-24 13:00:00+00:00,10.48,10.655,10.43,10.595,1021280.0,3909.0,10.582789
