symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WM,2023-07-17 13:00:00+00:00,168.4,168.885,167.9,168.605,91812.0,1941.0,168.483048
WM,2023-07-17 14:00:00+00:00,168.52,169.02,168.44,168.7035,151013.0,4370.0,168.73454
WM,2023-07-17 15:00:00+00:00,168.685,168.9748,168.57,168.81,106442.0,3060.0,168.782956
WM,2023-07-17 16:00:00+00:00,168.83,168.93,168.49,168.785,85215.0,2334.0,168.69898
WM,2023-07-17 17:00:00+00:00,168.75,168.763,168.24,168.305,124869.0,2882.0,168.504311
WM,2023-07-17 18:00:00+00:00,168.28,168.34,167.91,167.92,105504.0,3055.0,168.108874
WM,2023-07-17 19:00:00+00:00,167.92,168.2,167.7,167.78,285785.0,6400.0,167.976422
WM,2023-07-17 20:00:00+00:00,167.76,167.76,167.76,167.76,179028.0,56.0,167.759963
WM,2023-07-17 21:00:00+00:00,167.8,167.8,167.8,167.8,200.0,1.0,167.8
WM,2023-07-17 23:00:00+00:00,167.76,167.76,167.76,167.76,1.0,1.0,167.8
WM,2023-07-18 13:00:00+00:00,167.29,167.31,166.024,166.5,117833.0,2615.0,166.617798
WM,2023-07-18 14:00:00+00:00,166.34,168.26,166.155,168.2,223498.0,5539.0,167.300464
WM,2023-07-18 15:00:00+00:00,168.25,168.43,167.56,167.7,126882.0,2917.0,168.0651
WM,2023-07-18 16:00:00+00:00,167.64,167.655,166.73,166.805,97146.0,2639.0,167.072118
WM,2023-07-18 17:00:00+00:00,166.77,166.77,166.0,166.025,129031.0,3341.0,166.337596
WM,2023-07-18 18:00:00+00:00,166.01,166.335,165.97,166.07,136141.0,3874.0,166.06813
WM,2023-07-18 19:00:00+00:00,166.09,166.84,166.05,166.6,337258.0,7901.0,166.595853
WM,2023-07-18 20:00:00+00:00,166.61,166.61,166.61,166.61,233056.0,34.0,166.61
WM,2023-07-19 12:00:00+00:00,167.7098,167.7098,167.44,167.44,1179.0,3.0,167.668897
WM,2023-07-19 13:00:00+00:00,166.84,167.98,166.76,167.88,112718.0,2542.0,167.263499
WM,2023-07-19 14:00:00+00:00,167.84,167.94,166.495,166.64,139609.0,4705.0,167.326619
WM,2023-07-19 15:00:00+00:00,166.66,166.795,165.99,166.56,151008.0,4102.0,166.361412
WM,2023-07-19 16:00:00+00:00,166.545,166.85,166.3,166.74,120578.0,2973.0,166.57742
WM,2023-07-19 17:00:00+00:00,166.6902,166.85,166.48,166.5104,123702.0,3284.0,166.605809
WM,2023-07-19 18:00:00+00:00,166.54,166.57,166.04,166.345,152798.0,4529.0,166.358014
WM,2023-07-19 19:00:00+00:00,166.34,166.78,166.12,166.7,360406.0,8516.0,166.444378
WM,2023-07-19 20:00:00+00:00,166.7,166.7,166.7,166.7,301625.0,62.0,166.7
WM,2023-07-20 13:00:00+00:00,166.47,167.98,166.34,167.88,114280.0,2878.0,167.284899
WM,2023-07-20 14:00:00+00:00,167.9,169.66,167.84,169.47,216538.0,6547.0,168.988912
WM,2023-07-20 15:00:00+00:00,169.475,170.5599,169.31,170.39,168297.0,4974.0,170.0379
WM,2023-07-20 16:00:00+00:00,170.32,170.85,170.17,170.85,140055.0,4203.0,170.432318
WM,2023-07-20 17:00:00+00:00,170.83,171.02,170.62,170.83,102660.0,3496.0,170.863752
WM,2023-07-20 18:00:00+00:00,170.79,170.96,170.52,170.86,127855.0,4269.0,170.737351
WM,2023-07-20 19:00:00+00:00,170.89,172.0,170.89,171.89,527323.0,11154.0,171.542564
WM,2023-07-20 20:00:00+00:00,171.9,171.9,171.9,171.9,182299.0,38.0,171.900016
WM,2023-07-20 21:00:00+00:00,173.1,173.1,173.1,173.1,200.0,1.0,173.1
WM,2023-07-21 12:00:00+00:00,172.61,172.61,171.9,171.9,768.0,16.0,172.013073
WM,2023-07-21 13:00:00+00:00,172.1,173.105,171.81,172.77,143603.0,2864.0,172.37014
WM,2023-07-21 14:00:00+00:00,172.69,172.84,171.81,172.41,183954.0,4898.0,172.4173
WM,2023-07-21 15:00:00+00:00,172.34,172.86,171.99,172.14,121079.0,3704.0,172.446428
WM,2023-07-21 16:00:00+00:00,172.16,173.03,172.05,172.72,140361.0,3602.0,172.740023
WM,2023-07-21 17:00:00+00:00,172.74,173.2,172.6457,173.0,103032.0,3227.0,173.009461
WM,2023-07-21 18:00:00+00:00,173.0275,173.05,172.58,172.99,138015.0,3601.0,172.888279
WM,2023-07-21 19:00:00+00:00,172.98,173.025,172.265,172.41,510996.0,10171.0,172.562851
WM,2023-07-21 20:00:00+00:00,172.41,172.41,172.0,172.0,226333.0,48.0,172.409701
WM,2023-07-21 21:00:00+00:00,172.41,172.41,172.41,172.41,1101.0,3.0,172.41
WM,2023-07-21 23:00:00+00:00,171.82,171.82,171.82,171.82,100.0,1.0,171.82
WM,2023-07-24 12:00:00+00:00,171.2909,172.0,171.2909,172.0,351.0,12.0,171.809532
WM,2023-07-24 13:00:00+00:00,172.7,172.77,171.29,172.3691,103219.0,2740.0,172.248737
WM,2023-07-24 14:00:00+00:00,172.44,172.63,171.87,172.29,122626.0,4454.0,172.27678
WM,2023-07-24 15:00:00+00:00,172.3,172.34,171.92,172.13,81810.0,3117.0,172.15103
WM,2023-07-24 16:00:00+00:00,172.16,172.48,171.89,172.46,87889.0,2683.0,172.148991
WM,2023-07-24 17:00:00+00:00,172.48,172.5907,172.36,172.5907,86765.0,2600.0,172.494853
WM,2023-07-24 18:00:00+00:00,172.61,172.7899,172.065,172.16,97173.0,3522.0,172.530806
WM,2023-07-24 19:00:00+00:00,172.15,172.28,171.65,171.82,263191.0,7455.0,171.887891
WM,2023-07-24 20:00:00+00:00,171.8,171.8,171.8,171.8,207930.0,52.0,171.8
WM,2023-07-24 21:00:00+00:00,171.21,171.21,171.21,171.21,100.0,1.0,171.21
WM,2023-07-25 13:00:00+00:00,171.65,171.65,170.45,171.03,104906.0,2698.0,171.117736
WM,2023-07-25 14:00:00+00:00,171.2,171.67,170.95,171.28,147560.0,5334.0,171.360576
WM,2023-07-25 15:00:00+00:00,171.26,171.47,170.98,171.405,125395.0,3716.0,171.232015
WM,2023-07-25 16:00:00+00:00,171.415,172.45,171.27,171.35,186861.0,4009.0,171.851381
WM,2023-07-25 17:00:00+00:00,171.305,171.835,171.3,171.615,140262.0,3356.0,171.545959
WM,2023-07-25 18:00:00+00:00,171.58,171.62,171.11,171.11,174066.0,4529.0,171.414626
WM,2023-07-25 19:00:00+00:00,171.1,171.84,170.85,171.72,394463.0,10096.0,171.529483
WM,2023-07-25 20:00:00+00:00,171.75,171.75,171.75,171.75,214638.0,62.0,171.75
WM,2023-07-25 21:00:00+00:00,169.8,169.8,161.5,163.0,11963.0,365.0,163.18046
WM,2023-07-25 22:00:00+00:00,162.76,171.75,162.64,163.0,6068.0,55.0,162.932724
WM,2023-07-25 23:00:00+00:00,171.75,171.75,162.5,162.5,1089.0,25.0,162.778522
WM,2023-07-26 09:00:00+00:00,164.0,164.0,164.0,164.0,191.0,18.0,163.993613
WM,2023-07-26 10:00:00+00:00,163.5,163.5,163.5,163.5,562.0,19.0,163.501637
WM,2023-07-26 11:00:00+00:00,163.98,163.98,163.98,163.98,427.0,22.0,163.712014
WM,2023-07-26 12:00:00+00:00,163.5,163.5,163.5,163.5,266.0,15.0,163.535338
WM,2023-07-26 13:00:00+00:00,164.33,167.67,163.93,165.515,512190.0,7746.0,165.188078
WM,2023-07-26 14:00:00+00:00,165.545,166.6899,165.02,166.42,493191.0,10830.0,165.870144
WM,2023-07-26 15:00:00+00:00,166.42,167.5599,165.5,165.93,347387.0,7471.0,166.405408
WM,2023-07-26 16:00:00+00:00,165.93,166.44,165.41,165.575,220064.0,5087.0,165.878144
WM,2023-07-26 17:00:00+00:00,165.62,165.9,165.09,165.33,261220.0,5757.0,165.453749
WM,2023-07-26 18:00:00+00:00,165.215,166.0,165.14,165.455,287302.0,6286.0,165.721429
WM,2023-07-26 19:00:00+00:00,165.46,165.47,164.01,165.0,869322.0,16513.0,164.820085
WM,2023-07-26 20:00:00+00:00,164.94,165.0,164.78,165.0,332097.0,67.0,164.939887
WM,2023-07-26 21:00:00+00:00,164.99,164.99,164.99,164.99,351.0,2.0,164.990028
WM,2023-07-27 12:00:00+00:00,165.51,165.51,165.51,165.51,200.0,4.0,165.51
WM,2023-07-27 13:00:00+00:00,164.96,165.99,163.46,163.66,235029.0,4497.0,164.567781
WM,2023-07-27 14:00:00+00:00,163.66,163.66,162.351,162.65,316823.0,8313.0,162.827842
WM,2023-07-27 15:00:00+00:00,162.68,162.68,161.74,162.35,252054.0,6951.0,162.0869
WM,2023-07-27 16:00:00+00:00,162.44,162.87,162.34,162.61,213343.0,4662.0,162.642641
WM,2023-07-27 17:00:00+00:00,162.62,162.86,161.86,162.59,271680.0,5934.0,162.493472
WM,2023-07-27 18:00:00+00:00,162.605,163.13,162.29,163.03,199485.0,5315.0,162.630105
WM,2023-07-27 19:00:00+00:00,163.03,163.98,162.99,163.97,677648.0,12915.0,163.410556
WM,2023-07-27 20:00:00+00:00,163.97,163.97,163.97,163.97,277488.0,67.0,163.969998
WM,2023-07-28 13:00:00+00:00,164.81,165.005,163.83,164.29,144084.0,2431.0,164.374318
WM,2023-07-28 14:00:00+00:00,164.21,164.55,163.4,163.945,211118.0,5743.0,163.988254
WM,2023-07-28 15:00:00+00:00,163.9,164.3,163.4,163.6,257206.0,4733.0,163.787858
WM,2023-07-28 16:00:00+00:00,163.58,163.69,162.65,162.8,209055.0,5361.0,163.268875
WM,2023-07-28 17:00:00+00:00,162.8139,162.945,162.43,162.935,138281.0,4060.0,162.67297
WM,2023-07-28 18:00:00+00:00,162.955,163.31,162.85,163.19,130500.0,4164.0,163.071063
WM,2023-07-28 19:00:00+00:00,163.21,163.26,162.83,162.9,380684.0,9435.0,163.025389
WM,2023-07-28 20:00:00+00:00,162.94,162.94,162.94,162.94,292703.0,67.0,162.94
WM,2023-07-31 11:00:00+00:00,162.74,162.74,162.74,162.74,318.0,13.0,162.794277
WM,2023-07-31 13:00:00+00:00,163.0,163.72,162.51,163.35,120980.0,3094.0,163.164008
WM,2023-07-31 14:00:00+00:00,163.42,164.0,163.19,163.84,160619.0,5314.0,163.682606
WM,2023-07-31 15:00:00+00:00,163.87,164.265,163.65,164.0,150780.0,3691.0,163.959639
WM,2023-07-31 16:00:00+00:00,163.99,164.025,163.19,163.535,122280.0,3763.0,163.541602
WM,2023-07-31 17:00:00+00:00,163.54,164.15,163.42,164.045,105337.0,2966.0,163.769768
WM,2023-07-31 18:00:00+00:00,164.05,164.165,163.69,164.09,140464.0,3564.0,163.991283
WM,2023-07-31 19:00:00+00:00,164.1,164.18,163.545,163.83,426845.0,8637.0,163.823688
WM,2023-07-31 20:00:00+00:00,163.79,163.79,163.79,163.79,432882.0,68.0,163.79
WM,2023-08-01 13:00:00+00:00,164.24,166.34,164.125,165.78,149865.0,3423.0,165.436139
WM,2023-08-01 14:00:00+00:00,165.44,165.93,163.91,164.31,226213.0,5832.0,164.691842
WM,2023-08-01 15:00:00+00:00,164.36,165.13,164.091,165.1,334479.0,5758.0,164.852429
WM,2023-08-01 16:00:00+00:00,165.06,165.14,163.5,163.51,291791.0,5404.0,164.294706
WM,2023-08-01 17:00:00+00:00,163.52,163.58,162.14,162.215,259876.0,5025.0,162.683522
WM,2023-08-01 18:00:00+00:00,162.24,162.97,162.1,162.77,163672.0,4214.0,162.535084
WM,2023-08-01 19:00:00+00:00,162.75,162.75,161.95,162.52,439638.0,8676.0,162.347354
WM,2023-08-01 20:00:00+00:00,162.51,162.51,162.51,162.51,179644.0,45.0,162.51
WM,2023-08-02 12:00:00+00:00,162.3,162.3,162.3,162.3,100.0,1.0,162.3
WM,2023-08-02 13:00:00+00:00,162.51,164.435,162.39,164.435,137021.0,2328.0,163.347901
WM,2023-08-02 14:00:00+00:00,164.4,164.87,163.51,163.8,246695.0,5417.0,164.008144
WM,2023-08-02 15:00:00+00:00,163.75,163.91,162.97,162.98,150826.0,3996.0,163.426325
WM,2023-08-02 16:00:00+00:00,163.0,164.25,163.0,163.655,108565.0,3095.0,163.831174
WM,2023-08-02 17:00:00+00:00,163.6479,164.14,163.49,163.66,95191.0,2616.0,163.785029
WM,2023-08-02 18:00:00+00:00,163.66,163.7145,163.4284,163.57,109188.0,3091.0,163.539452
WM,2023-08-02 19:00:00+00:00,163.57,163.77,163.25,163.45,313051.0,7246.0,163.523689
WM,2023-08-02 20:00:00+00:00,163.42,163.42,162.22,162.22,227670.0,66.0,163.416779
WM,2023-08-03 12:00:00+00:00,162.7,162.7,162.09,162.09,581.0,3.0,162.490017
WM,2023-08-03 13:00:00+00:00,163.0,163.535,162.23,162.35,106382.0,2200.0,162.785807
WM,2023-08-03 14:00:00+00:00,162.667,162.667,161.24,161.24,153959.0,4700.0,161.972262
WM,2023-08-03 15:00:00+00:00,161.23,162.06,161.23,161.81,132781.0,3530.0,161.813783
WM,2023-08-03 16:00:00+00:00,161.81,161.945,161.27,161.56,122020.0,3289.0,161.686908
WM,2023-08-03 17:00:00+00:00,161.589,161.82,161.21,161.565,150848.0,3415.0,161.464992
WM,2023-08-03 18:00:00+00:00,161.58,161.81,161.35,161.63,121572.0,3736.0,161.615092
WM,2023-08-03 19:00:00+00:00,161.63,161.69,160.79,160.9,356262.0,9113.0,161.15385
WM,2023-08-03 20:00:00+00:00,160.94,161.5,160.94,161.5,249317.0,71.0,160.940276
WM,2023-08-03 21:00:00+00:00,161.55,161.55,161.55,161.55,201.0,2.0,161.55
WM,2023-08-04 13:00:00+00:00,160.99,161.4144,160.28,160.615,82793.0,2127.0,160.77537
WM,2023-08-04 14:00:00+00:00,160.61,161.14,160.485,160.76,257136.0,5347.0,160.813828
WM,2023-08-04 15:00:00+00:00,160.73,161.6,160.465,161.44,110255.0,3597.0,161.00925
WM,2023-08-04 16:00:00+00:00,161.44,161.85,161.44,161.64,77914.0,2591.0,161.674481
WM,2023-08-04 17:00:00+00:00,161.645,161.74,161.46,161.52,62979.0,2278.0,161.598003
WM,2023-08-04 18:00:00+00:00,161.475,161.51,160.49,160.51,106758.0,3545.0,160.910329
WM,2023-08-04 19:00:00+00:00,160.525,160.71,160.21,160.46,229911.0,6729.0,160.447058
WM,2023-08-04 20:00:00+00:00,160.43,160.43,160.43,160.43,144720.0,49.0,160.430033
WM,2023-08-04 21:00:00+00:00,160.58,160.58,160.58,160.58,200.0,2.0,160.58
WM,2023-08-07 12:00:00+00:00,160.08,160.08,160.08,160.08,318.0,16.0,160.178616
WM,2023-08-07 13:00:00+00:00,160.44,161.29,160.26,161.04,80318.0,2254.0,160.804268
WM,2023-08-07 14:00:00+00:00,161.01,161.32,160.45,161.25,136429.0,4027.0,160.978246
WM,2023-08-07 15:00:00+00:00,161.255,161.56,160.97,161.1455,107506.0,2922.0,161.247336
WM,2023-08-07 16:00:00+00:00,161.15,161.16,160.56,160.869,85880.0,2411.0,160.837046
WM,2023-08-07 17:00:00+00:00,160.86,161.34,160.8042,161.25,93199.0,2765.0,161.04359
WM,2023-08-07 18:00:00+00:00,161.21,161.28,160.95,161.14,78176.0,2735.0,161.119236
WM,2023-08-07 19:00:00+00:00,161.16,161.31,160.75,161.27,257276.0,6469.0,161.078997
WM,2023-08-07 20:00:00+00:00,161.25,161.25,161.0,161.0,158636.0,53.0,161.249724
WM,2023-08-07 22:00:00+00:00,161.25,161.25,161.25,161.25,5.0,1.0,161.28
WM,2023-08-08 12:00:00+00:00,161.1858,161.1858,160.0,160.0,365.0,9.0,160.862603
WM,2023-08-08 13:00:00+00:00,161.3,161.915,160.365,160.74,57104.0,1478.0,161.187819
WM,2023-08-08 14:00:00+00:00,160.695,160.73,159.375,159.6975,114077.0,4109.0,159.779933
WM,2023-08-08 15:00:00+00:00,159.74,159.9,159.36,159.4,82073.0,3626.0,159.611526
WM,2023-08-08 16:00:00+00:00,159.4,159.82,159.1,159.65,84518.0,3265.0,159.420852
WM,2023-08-08 17:00:00+00:00,159.64,160.1,159.62,159.635,78332.0,3190.0,159.86924
WM,2023-08-08 18:00:00+00:00,159.59,159.8016,159.5,159.68,85550.0,3283.0,159.652598
WM,2023-08-08 19:00:00+00:00,159.68,160.16,159.64,159.83,276013.0,7192.0,159.907599
WM,2023-08-08 20:00:00+00:00,159.8,159.8,159.8,159.8,252123.0,45.0,159.8
WM,2023-08-08 23:00:00+00:00,159.84,159.84,159.84,159.84,200.0,1.0,159.84
WM,2023-08-09 12:00:00+00:00,159.81,159.81,159.81,159.81,100.0,1.0,159.81
WM,2023-08-09 13:00:00+00:00,159.905,160.825,159.67,160.61,79323.0,1846.0,160.317239
WM,2023-08-09 14:00:00+00:00,160.655,161.03,159.75,160.99,106989.0,3296.0,160.363012
WM,2023-08-09 15:00:00+00:00,160.97,161.08,160.06,160.18,85189.0,2577.0,160.644368
WM,2023-08-09 16:00:00+00:00,160.15,160.83,160.15,160.825,63160.0,1964.0,160.610688
WM,2023-08-09 17:00:00+00:00,160.79,161.39,160.67,161.09,136684.0,2882.0,160.998115
