symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WSFS,2023-07-17 13:00:00+00:00,38.6,39.155,38.6,39.155,3915.0,78.0,38.810227
WSFS,2023-07-17 14:00:00+00:00,39.22,39.53,38.99,39.47,17195.0,343.0,39.291753
WSFS,2023-07-17 15:00:00+00:00,39.465,39.63,39.32,39.52,6713.0,233.0,39.452237
WSFS,2023-07-17 16:00:00+00:00,39.5,39.7,39.5,39.54,4994.0,220.0,39.598864
WSFS,2023-07-17 17:00:00+00:00,39.55,39.76,39.53,39.69,5809.0,256.0,39.650672
WSFS,2023-07-17 18:00:00+00:00,39.75,39.98,39.73,39.87,8783.0,368.0,39.861118
WSFS,2023-07-17 19:00:00+00:00,39.84,39.84,39.44,39.461,36681.0,1359.0,39.561334
WSFS,2023-07-17 20:00:00+00:00,39.5,39.5,39.5,39.5,32836.0,6.0,39.5
WSFS,2023-07-18 13:00:00+00:00,39.51,40.32,39.14,40.29,117634.0,1803.0,40.022939
WSFS,2023-07-18 14:00:00+00:00,40.51,40.51,39.79,39.79,20621.0,746.0,40.050687
WSFS,2023-07-18 15:00:00+00:00,39.85,40.67,39.85,40.64,22257.0,711.0,40.401821
WSFS,2023-07-18 16:00:00+00:00,40.695,40.89,40.58,40.82,6735.0,243.0,40.751771
WSFS,2023-07-18 17:00:00+00:00,40.92,41.01,40.83,40.9,10972.0,287.0,40.909167
WSFS,2023-07-18 18:00:00+00:00,40.883,41.14,40.83,41.13,10916.0,298.0,40.964283
WSFS,2023-07-18 19:00:00+00:00,41.08,41.14,40.89,40.91,53273.0,1413.0,41.005821
WSFS,2023-07-18 20:00:00+00:00,40.91,40.91,40.91,40.91,52997.0,8.0,40.91
WSFS,2023-07-18 21:00:00+00:00,41.1,41.1,41.09,41.09,350.0,2.0,41.097143
WSFS,2023-07-19 13:00:00+00:00,40.97,41.32,40.8,41.17,5518.0,170.0,41.041382
WSFS,2023-07-19 14:00:00+00:00,41.225,41.92,41.225,41.56,13187.0,505.0,41.613333
WSFS,2023-07-19 15:00:00+00:00,41.46,41.64,41.08,41.64,10107.0,349.0,41.370919
WSFS,2023-07-19 16:00:00+00:00,41.66,42.08,41.6,42.08,18021.0,415.0,41.761754
WSFS,2023-07-19 17:00:00+00:00,41.97,42.2,41.85,42.01,11205.0,379.0,42.065279
WSFS,2023-07-19 18:00:00+00:00,42.01,42.31,41.9907,42.27,8871.0,325.0,42.14039
WSFS,2023-07-19 19:00:00+00:00,42.1911,42.51,42.125,42.36,68118.0,2066.0,42.3359
WSFS,2023-07-19 20:00:00+00:00,42.33,42.34,42.33,42.34,53577.0,17.0,42.339981
WSFS,2023-07-20 13:00:00+00:00,42.35,42.35,41.56,41.56,5923.0,214.0,41.98438
WSFS,2023-07-20 14:00:00+00:00,41.56,41.785,41.14,41.655,13074.0,555.0,41.456976
WSFS,2023-07-20 15:00:00+00:00,41.73,41.87,41.61,41.79,8001.0,296.0,41.705725
WSFS,2023-07-20 16:00:00+00:00,41.815,41.85,41.59,41.64,6157.0,283.0,41.72102
WSFS,2023-07-20 17:00:00+00:00,41.66,41.74,41.51,41.64,6640.0,268.0,41.617368
WSFS,2023-07-20 18:00:00+00:00,41.73,41.91,41.61,41.75,10715.0,358.0,41.766352
WSFS,2023-07-20 19:00:00+00:00,41.73,41.91,41.705,41.89,34005.0,1199.0,41.795449
WSFS,2023-07-20 20:00:00+00:00,41.87,41.87,41.87,41.87,57142.0,10.0,41.87
WSFS,2023-07-21 13:00:00+00:00,42.19,42.21,41.57,41.59,26597.0,93.0,42.16208
WSFS,2023-07-21 14:00:00+00:00,41.49,41.865,41.433,41.49,17481.0,428.0,41.577
WSFS,2023-07-21 15:00:00+00:00,41.49,41.8,41.32,41.61,12584.0,360.0,41.55469
WSFS,2023-07-21 16:00:00+00:00,41.615,41.7,41.43,41.6,7641.0,252.0,41.567625
WSFS,2023-07-21 17:00:00+00:00,41.62,41.735,41.62,41.7,4409.0,154.0,41.670033
WSFS,2023-07-21 18:00:00+00:00,41.69,41.71,41.58,41.58,9848.0,330.0,41.644169
WSFS,2023-07-21 19:00:00+00:00,41.57,41.67,41.4,41.6,63346.0,1540.0,41.55953
WSFS,2023-07-21 20:00:00+00:00,41.63,41.63,41.63,41.63,60335.0,9.0,41.63
WSFS,2023-07-24 13:00:00+00:00,41.46,42.5182,41.46,42.33,3984.0,108.0,42.144254
WSFS,2023-07-24 14:00:00+00:00,42.5,42.75,42.35,42.72,9863.0,276.0,42.57259
WSFS,2023-07-24 15:00:00+00:00,42.71,42.81,42.51,42.77,10970.0,373.0,42.671532
WSFS,2023-07-24 16:00:00+00:00,42.84,43.39,42.84,43.39,26721.0,575.0,43.216943
WSFS,2023-07-24 17:00:00+00:00,43.43,43.43,43.21,43.21,13609.0,366.0,43.345541
WSFS,2023-07-24 18:00:00+00:00,43.2465,43.35,43.125,43.15,14007.0,347.0,43.222594
WSFS,2023-07-24 19:00:00+00:00,43.14,43.3,43.12,43.27,55129.0,1840.0,43.223501
WSFS,2023-07-24 20:00:00+00:00,43.25,43.25,43.25,43.25,82384.0,11.0,43.25
WSFS,2023-07-25 13:00:00+00:00,45.4,45.4,42.44,42.72,18590.0,352.0,44.019804
WSFS,2023-07-25 14:00:00+00:00,42.65,42.97,42.26,42.845,22121.0,593.0,42.672771
WSFS,2023-07-25 15:00:00+00:00,42.76,43.02,42.29,42.545,26067.0,680.0,42.686717
WSFS,2023-07-25 16:00:00+00:00,42.49,42.605,42.02,42.365,22951.0,629.0,42.331241
WSFS,2023-07-25 17:00:00+00:00,42.39,42.63,41.97,42.56,24536.0,509.0,42.283186
WSFS,2023-07-25 18:00:00+00:00,42.51,42.61,41.42,41.98,33196.0,791.0,42.159624
WSFS,2023-07-25 19:00:00+00:00,42.02,42.04,41.28,41.58,75653.0,2217.0,41.527529
WSFS,2023-07-25 20:00:00+00:00,41.56,41.56,41.56,41.56,53008.0,14.0,41.56
WSFS,2023-07-26 13:00:00+00:00,42.45,43.62,42.45,43.57,11292.0,316.0,43.14483
WSFS,2023-07-26 14:00:00+00:00,43.185,43.26,42.7975,43.03,7778.0,346.0,42.976648
WSFS,2023-07-26 15:00:00+00:00,42.94,43.276,42.67,43.276,10831.0,366.0,42.893945
WSFS,2023-07-26 16:00:00+00:00,43.25,43.655,43.2,43.4,20521.0,644.0,43.411635
WSFS,2023-07-26 17:00:00+00:00,43.31,43.73,43.29,43.42,14591.0,428.0,43.529464
WSFS,2023-07-26 18:00:00+00:00,43.55,44.15,43.47,44.13,31227.0,1036.0,43.852083
WSFS,2023-07-26 19:00:00+00:00,44.25,44.35,43.76,44.13,89151.0,2077.0,44.047317
WSFS,2023-07-26 20:00:00+00:00,44.1,44.1,44.08,44.08,64139.0,13.0,44.098607
WSFS,2023-07-27 13:00:00+00:00,44.52,44.97,44.01,44.34,17192.0,413.0,44.35035
WSFS,2023-07-27 14:00:00+00:00,44.35,44.83,44.23,44.36,30306.0,334.0,44.465025
WSFS,2023-07-27 15:00:00+00:00,44.4,44.4,43.55,43.55,8791.0,313.0,44.043074
WSFS,2023-07-27 16:00:00+00:00,43.51,44.05,43.5,44.05,5954.0,314.0,43.69943
WSFS,2023-07-27 17:00:00+00:00,44.01,44.01,43.29,43.55,10016.0,440.0,43.583263
WSFS,2023-07-27 18:00:00+00:00,43.52,43.65,43.4,43.5,16298.0,659.0,43.535866
WSFS,2023-07-27 19:00:00+00:00,43.52,43.52,43.06,43.36,76415.0,2310.0,43.321301
WSFS,2023-07-27 20:00:00+00:00,43.34,43.37,43.34,43.37,67518.0,12.0,43.369956
WSFS,2023-07-28 13:00:00+00:00,43.87,44.2,43.4,43.97,6731.0,189.0,43.685498
WSFS,2023-07-28 14:00:00+00:00,43.8805,44.395,43.75,44.38,17076.0,318.0,43.940497
WSFS,2023-07-28 15:00:00+00:00,44.25,44.33,44.1,44.165,7573.0,320.0,44.246603
WSFS,2023-07-28 16:00:00+00:00,44.14,44.35,44.06,44.25,11885.0,338.0,44.180419
WSFS,2023-07-28 17:00:00+00:00,44.25,44.25,43.77,43.82,10218.0,318.0,43.931327
WSFS,2023-07-28 18:00:00+00:00,43.86,43.9,43.77,43.83,6237.0,256.0,43.847602
WSFS,2023-07-28 19:00:00+00:00,43.88,43.9,43.64,43.64,21688.0,876.0,43.727489
WSFS,2023-07-28 20:00:00+00:00,43.66,43.66,43.66,43.66,36938.0,10.0,43.66
WSFS,2023-07-31 11:00:00+00:00,44.4,44.4,44.4,44.4,126.0,1.0,44.4
WSFS,2023-07-31 13:00:00+00:00,43.62,44.11,43.61,43.875,7876.0,109.0,43.882423
WSFS,2023-07-31 14:00:00+00:00,43.89,44.06,43.37,43.53,59288.0,462.0,43.86371
