symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XPH,2023-07-17 13:00:00+00:00,41.24,41.2577,41.1,41.2577,914.0,11.0,41.222421
XPH,2023-07-17 14:00:00+00:00,41.11,41.2458,41.1,41.2458,696.0,5.0,41.145271
XPH,2023-07-17 15:00:00+00:00,41.22,41.22,41.22,41.22,200.0,1.0,41.22
XPH,2023-07-17 16:00:00+00:00,41.23,41.26,41.2009,41.26,1050.0,8.0,41.221729
XPH,2023-07-17 17:00:00+00:00,41.13,41.15,41.13,41.15,600.0,4.0,41.136667
XPH,2023-07-17 18:00:00+00:00,41.15,41.154,41.15,41.154,313.0,3.0,41.151444
XPH,2023-07-17 19:00:00+00:00,41.15,41.18,41.06,41.06,6776.0,64.0,41.129429
XPH,2023-07-17 20:00:00+00:00,41.07,41.17,41.07,41.17,2524.0,3.0,41.089849
XPH,2023-07-18 13:00:00+00:00,41.26,41.26,41.26,41.26,300.0,3.0,41.26
XPH,2023-07-18 14:00:00+00:00,41.48,41.51,41.455,41.49,485.0,6.0,41.483113
XPH,2023-07-18 16:00:00+00:00,41.3348,41.38,41.32,41.32,1140.0,11.0,41.335095
XPH,2023-07-18 17:00:00+00:00,41.06,41.08,41.06,41.07,566.0,10.0,41.07023
XPH,2023-07-18 18:00:00+00:00,41.06,41.21,41.06,41.19,6597.0,50.0,41.142405
XPH,2023-07-18 19:00:00+00:00,41.1901,41.29,41.18,41.26,22167.0,122.0,41.227741
XPH,2023-07-19 13:00:00+00:00,41.33,41.65,41.33,41.631,2489.0,15.0,41.485195
XPH,2023-07-19 14:00:00+00:00,41.7,41.7,41.47,41.51,2056.0,21.0,41.5489
XPH,2023-07-19 15:00:00+00:00,41.51,41.51,41.51,41.51,125.0,2.0,41.51
XPH,2023-07-19 16:00:00+00:00,41.5805,41.63,41.5805,41.63,325.0,2.0,41.595731
XPH,2023-07-19 17:00:00+00:00,41.6258,41.67,41.6258,41.6445,770.0,4.0,41.644463
XPH,2023-07-19 18:00:00+00:00,41.6,41.67,41.6,41.67,1755.0,15.0,41.645409
XPH,2023-07-19 19:00:00+00:00,41.69,41.69,41.64,41.65,7258.0,39.0,41.650323
XPH,2023-07-19 20:00:00+00:00,41.61,41.61,41.51,41.51,1808.0,3.0,41.593684
XPH,2023-07-20 13:00:00+00:00,41.85,42.05,41.85,42.05,2232.0,18.0,41.92276
XPH,2023-07-20 14:00:00+00:00,41.8667,42.0,41.8667,42.0,694.0,8.0,41.929878
XPH,2023-07-20 15:00:00+00:00,42.01,42.025,41.91,41.91,4488.0,21.0,41.995199
XPH,2023-07-20 17:00:00+00:00,41.9371,41.9371,41.9291,41.9291,325.0,2.0,41.931562
XPH,2023-07-20 18:00:00+00:00,41.8,41.91,41.8,41.91,217.0,6.0,41.855253
XPH,2023-07-20 19:00:00+00:00,41.94,41.94,41.7901,41.82,6730.0,51.0,41.857173
XPH,2023-07-20 20:00:00+00:00,41.83,41.83,41.73,41.73,2410.0,5.0,41.79639
XPH,2023-07-21 13:00:00+00:00,41.99,41.99,41.86,41.86,366.0,3.0,41.935628
XPH,2023-07-21 14:00:00+00:00,41.91,42.09,41.881,42.07,1366.0,16.0,41.985608
XPH,2023-07-21 15:00:00+00:00,42.04,42.3,42.04,42.25,6583.0,36.0,42.228999
XPH,2023-07-21 16:00:00+00:00,42.26,42.27,42.26,42.27,1309.0,8.0,42.268437
XPH,2023-07-21 17:00:00+00:00,42.34,42.39,42.335,42.39,29369.0,41.0,42.387521
XPH,2023-07-21 18:00:00+00:00,42.4222,42.4222,42.285,42.308,3733.0,17.0,42.336405
XPH,2023-07-21 19:00:00+00:00,42.235,42.37,42.235,42.315,7518.0,82.0,42.337014
XPH,2023-07-21 20:00:00+00:00,42.34,42.34,42.34,42.34,3031.0,1.0,42.34
XPH,2023-07-24 13:00:00+00:00,42.36,42.7,42.36,42.7,16596.0,69.0,42.616412
XPH,2023-07-24 14:00:00+00:00,42.5661,42.5661,42.515,42.515,3627.0,7.0,42.56286
XPH,2023-07-24 15:00:00+00:00,42.56,42.66,42.54,42.66,4526.0,23.0,42.578881
XPH,2023-07-24 16:00:00+00:00,42.69,42.69,42.5614,42.5614,820.0,9.0,42.625362
XPH,2023-07-24 17:00:00+00:00,42.51,42.51,42.45,42.45,2896.0,9.0,42.501288
XPH,2023-07-24 19:00:00+00:00,42.3,42.32,42.29,42.29,1326.0,24.0,42.306642
XPH,2023-07-24 20:00:00+00:00,42.29,42.29,42.19,42.19,1805.0,7.0,42.203463
XPH,2023-07-25 13:00:00+00:00,42.23,42.3528,42.22,42.3528,2208.0,8.0,42.259867
XPH,2023-07-25 14:00:00+00:00,42.43,42.4744,42.43,42.4744,1446.0,8.0,42.435567
XPH,2023-07-25 15:00:00+00:00,42.31,42.31,42.31,42.31,100.0,1.0,42.31
XPH,2023-07-25 16:00:00+00:00,42.32,42.3446,42.211,42.211,600.0,6.0,42.301767
XPH,2023-07-25 17:00:00+00:00,42.2252,42.31,42.2252,42.25,2944.0,22.0,42.241519
XPH,2023-07-25 18:00:00+00:00,42.2644,42.265,42.2,42.2,710.0,5.0,42.228704
XPH,2023-07-25 19:00:00+00:00,42.18,42.18,42.105,42.12,2543.0,18.0,42.127782
XPH,2023-07-25 20:00:00+00:00,42.1,42.1,42.0,42.0,363.0,2.0,42.033333
XPH,2023-07-26 13:00:00+00:00,42.03,42.1499,42.03,42.1499,588.0,2.0,42.054469
XPH,2023-07-26 14:00:00+00:00,42.0215,42.26,42.0215,42.22,1727.0,13.0,42.17302
XPH,2023-07-26 15:00:00+00:00,42.2882,42.365,42.2801,42.365,2728.0,8.0,42.292517
XPH,2023-07-26 18:00:00+00:00,42.295,42.4662,42.295,42.4662,818.0,5.0,42.394279
XPH,2023-07-26 19:00:00+00:00,42.43,42.43,42.33,42.43,12787.0,78.0,42.41031
XPH,2023-07-26 20:00:00+00:00,42.41,42.41,42.41,42.41,161.0,1.0,42.41
XPH,2023-07-27 13:00:00+00:00,42.53,42.6,42.53,42.6,2071.0,6.0,42.562646
XPH,2023-07-27 14:00:00+00:00,42.55,42.55,42.39,42.39,205.0,4.0,42.471171
XPH,2023-07-27 16:00:00+00:00,42.34,42.4401,42.34,42.4401,418.0,6.0,42.411507
XPH,2023-07-27 17:00:00+00:00,42.37,42.37,42.225,42.225,772.0,29.0,42.289549
XPH,2023-07-27 18:00:00+00:00,42.1901,42.1901,42.1693,42.1693,416.0,3.0,42.179898
XPH,2023-07-27 19:00:00+00:00,41.97,42.08,41.96,42.08,3034.0,40.0,42.034957
XPH,2023-07-27 20:00:00+00:00,42.05,42.25,42.05,42.25,2590.0,9.0,42.17417
XPH,2023-07-28 08:00:00+00:00,42.25,42.25,42.25,42.25,100.0,1.0,42.25
XPH,2023-07-28 11:00:00+00:00,42.5,42.72,42.5,42.7,33600.0,4.0,42.619107
XPH,2023-07-28 12:00:00+00:00,42.75,43.1,42.75,43.1,600.0,2.0,42.925
XPH,2023-07-28 13:00:00+00:00,43.29,43.535,43.29,43.4627,35301.0,97.0,43.457959
XPH,2023-07-28 14:00:00+00:00,43.2937,43.37,43.29,43.324,3290.0,44.0,43.304319
XPH,2023-07-28 15:00:00+00:00,43.365,43.4435,43.34,43.4241,1803.0,13.0,43.400487
XPH,2023-07-28 16:00:00+00:00,43.47,43.48,43.47,43.48,218.0,2.0,43.475413
XPH,2023-07-28 17:00:00+00:00,43.45,43.45,43.32,43.32,356.0,4.0,43.382809
XPH,2023-07-28 18:00:00+00:00,43.44,43.52,43.44,43.52,3326.0,65.0,43.460922
XPH,2023-07-28 19:00:00+00:00,43.52,43.535,43.49,43.53,6665.0,165.0,43.508505
XPH,2023-07-28 20:00:00+00:00,43.53,43.63,43.53,43.63,1718.0,5.0,43.61213
XPH,2023-07-31 12:00:00+00:00,43.5,43.5,43.5,43.5,150.0,1.0,43.5
XPH,2023-07-31 13:00:00+00:00,43.54,43.6,43.4442,43.6,2948.0,36.0,43.513096
XPH,2023-07-31 14:00:00+00:00,43.55,43.55,43.45,43.4532,4678.0,33.0,43.505878
XPH,2023-07-31 15:00:00+00:00,43.4634,43.6,43.4634,43.6,2631.0,13.0,43.478904
XPH,2023-07-31 16:00:00+00:00,43.57,43.57,43.48,43.48,753.0,7.0,43.534276
XPH,2023-07-31 17:00:00+00:00,43.545,43.6393,43.545,43.56,3197.0,14.0,43.623171
XPH,2023-07-31 18:00:00+00:00,43.59,43.645,43.59,43.62,1476.0,26.0,43.619167
XPH,2023-07-31 19:00:00+00:00,43.63,43.7451,43.62,43.71,7381.0,183.0,43.679362
XPH,2023-07-31 20:00:00+00:00,43.72,43.91,43.72,43.8,8321.0,7.0,43.801034
XPH,2023-08-01 09:00:00+00:00,43.8,43.8,43.8,43.8,134.0,1.0,43.8
XPH,2023-08-01 13:00:00+00:00,43.63,43.6999,43.5,43.54,791.0,9.0,43.610918
XPH,2023-08-01 14:00:00+00:00,43.65,43.65,43.325,43.41,1765.0,21.0,43.418835
XPH,2023-08-01 15:00:00+00:00,43.415,43.415,43.275,43.275,2197.0,23.0,43.352597
XPH,2023-08-01 16:00:00+00:00,43.29,43.31,43.25,43.27,1261.0,14.0,43.275872
XPH,2023-08-01 17:00:00+00:00,43.29,43.38,43.26,43.28,5781.0,25.0,43.336142
XPH,2023-08-01 18:00:00+00:00,43.275,43.2977,43.26,43.26,1509.0,23.0,43.272628
XPH,2023-08-01 19:00:00+00:00,43.25,43.3,43.2,43.23,2786.0,64.0,43.252387
XPH,2023-08-01 20:00:00+00:00,43.13,43.13,43.08,43.08,700.0,3.0,43.122857
XPH,2023-08-02 13:00:00+00:00,42.99,43.075,42.99,43.035,2331.0,9.0,43.052297
XPH,2023-08-02 14:00:00+00:00,43.015,43.07,43.0091,43.02,718.0,6.0,43.020383
XPH,2023-08-02 15:00:00+00:00,43.11,43.13,43.11,43.11,359.0,8.0,43.119898
XPH,2023-08-02 16:00:00+00:00,43.2131,43.23,43.1901,43.23,703.0,9.0,43.213149
XPH,2023-08-02 17:00:00+00:00,43.12,43.12,43.08,43.1,2254.0,14.0,43.096205
XPH,2023-08-02 18:00:00+00:00,43.002,43.04,43.002,43.02,1920.0,13.0,43.009348
XPH,2023-08-02 19:00:00+00:00,43.0064,43.01,42.97,42.98,3907.0,82.0,42.997112
XPH,2023-08-02 20:00:00+00:00,42.94,42.94,42.88,42.88,1856.0,10.0,42.894278
XPH,2023-08-03 13:00:00+00:00,42.89,43.0,42.77,42.9547,2232.0,23.0,42.868099
XPH,2023-08-03 14:00:00+00:00,43.005,43.005,42.93,42.9494,2764.0,8.0,42.95738
XPH,2023-08-03 15:00:00+00:00,43.0356,43.1,43.0356,43.1,315.0,5.0,43.060825
XPH,2023-08-03 16:00:00+00:00,43.1201,43.195,43.1201,43.195,807.0,14.0,43.147801
XPH,2023-08-03 17:00:00+00:00,43.1953,43.1953,43.19,43.19,1226.0,5.0,43.194879
XPH,2023-08-03 18:00:00+00:00,43.2181,43.22,43.18,43.1938,4650.0,43.0,43.200904
XPH,2023-08-03 19:00:00+00:00,43.1799,43.2,43.09,43.15,5940.0,87.0,43.161665
XPH,2023-08-03 20:00:00+00:00,43.13,43.23,43.13,43.23,906.0,4.0,43.206821
XPH,2023-08-04 13:00:00+00:00,43.3,43.3,43.175,43.175,1201.0,4.0,43.226171
XPH,2023-08-04 14:00:00+00:00,43.1,43.31,43.1,43.305,6142.0,59.0,43.227777
XPH,2023-08-04 15:00:00+00:00,43.3,43.3,43.3,43.3,100.0,1.0,43.3
XPH,2023-08-04 16:00:00+00:00,43.2443,43.35,43.242,43.35,3132.0,8.0,43.253882
XPH,2023-08-04 17:00:00+00:00,43.365,43.378,43.3625,43.378,942.0,3.0,43.374285
XPH,2023-08-04 18:00:00+00:00,43.22,43.22,43.13,43.13,1727.0,12.0,43.172487
XPH,2023-08-04 19:00:00+00:00,43.1,43.12,43.06,43.09,2191.0,27.0,43.089255
XPH,2023-08-04 20:00:00+00:00,43.19,43.19,43.19,43.19,429.0,2.0,43.19
XPH,2023-08-07 13:00:00+00:00,43.26,43.394,43.18,43.1919,7851.0,15.0,43.304868
XPH,2023-08-07 14:00:00+00:00,43.21,43.21,43.11,43.15,1706.0,19.0,43.147688
XPH,2023-08-07 15:00:00+00:00,43.175,43.2501,43.175,43.2501,902.0,4.0,43.215693
XPH,2023-08-07 16:00:00+00:00,43.275,43.275,43.2702,43.2702,415.0,4.0,43.27206
XPH,2023-08-07 17:00:00+00:00,43.1872,43.21,43.1444,43.155,1578.0,14.0,43.168461
XPH,2023-08-07 18:00:00+00:00,43.185,43.185,43.13,43.16,300.0,3.0,43.158333
XPH,2023-08-07 19:00:00+00:00,43.1,43.1,43.08,43.09,1728.0,30.0,43.095173
XPH,2023-08-07 20:00:00+00:00,43.1,43.1,43.0,43.0,744.0,3.0,43.020161
XPH,2023-08-08 13:00:00+00:00,43.3,43.6817,43.3,43.6817,2609.0,23.0,43.450904
XPH,2023-08-08 14:00:00+00:00,43.67,43.7799,43.67,43.772,4856.0,39.0,43.751905
XPH,2023-08-08 15:00:00+00:00,43.8,43.9008,43.8,43.8195,1496.0,12.0,43.840577
XPH,2023-08-08 16:00:00+00:00,43.8099,43.81,43.74,43.81,3237.0,15.0,43.795051
XPH,2023-08-08 17:00:00+00:00,43.684,43.77,43.684,43.77,405.0,3.0,43.727298
XPH,2023-08-08 18:00:00+00:00,43.8516,43.87,43.8516,43.87,352.0,3.0,43.856827
XPH,2023-08-08 19:00:00+00:00,43.91,44.0,43.9,43.96,9106.0,119.0,43.959293
XPH,2023-08-08 20:00:00+00:00,43.98,43.98,43.78,43.78,2226.0,2.0,43.966882
XPH,2023-08-09 13:00:00+00:00,43.85,43.9891,43.85,43.86,4411.0,15.0,43.863227
XPH,2023-08-09 14:00:00+00:00,43.84,43.95,43.77,43.81,2964.0,30.0,43.831339
XPH,2023-08-09 15:00:00+00:00,43.79,43.79,43.536,43.536,676.0,11.0,43.590414
XPH,2023-08-09 16:00:00+00:00,43.4504,43.53,43.4504,43.5123,1467.0,18.0,43.504821
XPH,2023-08-09 17:00:00+00:00,43.67,43.67,43.67,43.67,110.0,3.0,43.670909
XPH,2023-08-09 18:00:00+00:00,43.7,43.72,43.7,43.715,489.0,14.0,43.710307
XPH,2023-08-09 19:00:00+00:00,43.66,43.7,43.54,43.57,6769.0,92.0,43.60606
XPH,2023-08-09 20:00:00+00:00,43.59,43.79,43.59,43.79,2451.0,7.0,43.631289
XPH,2023-08-10 13:00:00+00:00,43.79,43.9353,43.79,43.9353,2065.0,15.0,43.811978
