,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-9879000.0,-8149000.0,-10383000.0,-10372000.0
TotalUnusualItems,-1101000.0,-7564000.0,2265000.0,10433000.0
TotalUnusualItemsExcludingGoodwill,-1101000.0,-7564000.0,2265000.0,10433000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-11836000.0,-16654000.0,-9107000.0,-1126000.0
ReconciledDepreciation,751000.0,838000.0,888000.0,1009000.0
ReconciledCostOfRevenue,30000.0,1575000.0,,100000.0
EBITDA,-10980000.0,-15713000.0,-8118000.0,61000.0
EBIT,-11731000.0,-16551000.0,-9006000.0,-948000.0
NetInterestIncome,488000.0,314000.0,263000.0,150000.0
InterestExpense,105000.0,103000.0,101000.0,178000.0
InterestIncome,593000.0,417000.0,364000.0,328000.0
NormalizedIncome,-10735000.0,-9090000.0,-11372000.0,-11559000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-11836000.0,-16654000.0,-9107000.0,-1126000.0
TotalExpenses,11334000.0,15119000.0,12038000.0,12054000.0
TotalOperatingIncomeAsReported,-11334000.0,-10554000.0,-12038000.0,-12936000.0
DilutedAverageShares,24797564.0,18017874.0,16904024.0,
BasicAverageShares,24797564.0,18017874.0,16904024.0,
DilutedEPS,-0.48,-0.92,-0.54,
BasicEPS,-0.48,-0.92,-0.54,
DilutedNIAvailtoComStockholders,-11836000.0,-16654000.0,-9107000.0,-1126000.0
NetIncomeCommonStockholders,-11836000.0,-16654000.0,-9107000.0,-1126000.0
PreferredStockDividends,,,,0.0
NetIncome,-11836000.0,-16654000.0,-9107000.0,-1126000.0
NetIncomeIncludingNoncontrollingInterests,-11836000.0,-16654000.0,-9107000.0,-1126000.0
NetIncomeContinuousOperations,-11836000.0,-16654000.0,-9107000.0,-1126000.0
PretaxIncome,-11836000.0,-16654000.0,-9107000.0,-1126000.0
OtherIncomeExpense,-990000.0,-5349000.0,2668000.0,10710000.0
OtherNonOperatingIncomeExpenses,111000.0,2215000.0,403000.0,277000.0
SpecialIncomeCharges,0.0,1065000.0,0.0,-950000.0
GainOnSaleOfPPE,0.0,1065000.0,,
ImpairmentOfCapitalAssets,0.0,0.0,0.0,950000.0
GainOnSaleOfSecurity,-1101000.0,-8629000.0,2265000.0,
NetNonOperatingInterestIncomeExpense,488000.0,314000.0,263000.0,150000.0
InterestExpenseNonOperating,105000.0,103000.0,101000.0,178000.0
InterestIncomeNonOperating,593000.0,417000.0,364000.0,328000.0
OperatingIncome,-11334000.0,-11619000.0,-12038000.0,-11986000.0
OperatingExpense,11304000.0,13544000.0,12038000.0,11954000.0
ResearchAndDevelopment,7148000.0,8523000.0,8041000.0,6272000.0
SellingGeneralAndAdministration,4156000.0,5021000.0,3997000.0,5682000.0
GeneralAndAdministrativeExpense,4156000.0,5021000.0,3997000.0,5682000.0
OtherGandA,4156000.0,5021000.0,3997000.0,5682000.0
GrossProfit,-30000.0,1925000.0,,-32000.0
CostOfRevenue,30000.0,1575000.0,,100000.0
TotalRevenue,0.0,3500000.0,0.0,68000.0
OperatingRevenue,0.0,3500000.0,0.0,68000.0
