,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.10511,0.047001,0.098389,0.133808
NormalizedEBITDA,78230000.0,69123000.0,57355000.0,70264000.0
NetIncomeFromContinuingOperationNetMinorityInterest,65931000.0,61579000.0,47697000.0,56992000.0
ReconciledDepreciation,3230000.0,3158000.0,3100000.0,2993000.0
ReconciledCostOfRevenue,162642000.0,154267000.0,150001000.0,156530000.0
EBITDA,78230000.0,69123000.0,57355000.0,70264000.0
EBIT,75000000.0,65965000.0,54255000.0,67271000.0
NetInterestIncome,3255000.0,2958000.0,2583000.0,1518000.0
InterestExpense,1325000.0,1349000.0,1353000.0,1475000.0
InterestIncome,4580000.0,4307000.0,3936000.0,2993000.0
NormalizedIncome,65931000.0,61579000.0,47697000.0,56992000.0
NetIncomeFromContinuingAndDiscontinuedOperation,65931000.0,61579000.0,47697000.0,56992000.0
TotalExpenses,220646000.0,210262000.0,202663000.0,209962000.0
TotalOperatingIncomeAsReported,71680000.0,63708000.0,51357000.0,56089000.0
DilutedAverageShares,33159000.0,33189000.0,33293000.0,33262000.0
BasicAverageShares,32807000.0,32775000.0,32744000.0,32823000.0
DilutedEPS,1.99,1.86,1.43,1.71
BasicEPS,2.01,1.88,1.46,1.74
DilutedNIAvailtoComStockholders,65931000.0,61579000.0,47697000.0,56992000.0
NetIncomeCommonStockholders,65931000.0,61579000.0,47697000.0,56992000.0
NetIncome,65931000.0,61579000.0,47697000.0,56992000.0
NetIncomeIncludingNoncontrollingInterests,65931000.0,61579000.0,47697000.0,56992000.0
NetIncomeContinuousOperations,65931000.0,61579000.0,47697000.0,56992000.0
TaxProvision,7744000.0,3037000.0,5205000.0,8804000.0
PretaxIncome,73675000.0,64616000.0,52902000.0,65796000.0
OtherIncomeExpense,-1260000.0,-2050000.0,-1038000.0,8189000.0
OtherNonOperatingIncomeExpenses,-1260000.0,-2050000.0,-1038000.0,8189000.0
NetNonOperatingInterestIncomeExpense,3255000.0,2958000.0,2583000.0,1518000.0
InterestExpenseNonOperating,1325000.0,1349000.0,1353000.0,1475000.0
InterestIncomeNonOperating,4580000.0,4307000.0,3936000.0,2993000.0
OperatingIncome,71680000.0,63708000.0,51357000.0,56089000.0
OperatingExpense,58004000.0,55995000.0,52662000.0,53432000.0
ResearchAndDevelopment,24093000.0,24130000.0,23773000.0,22089000.0
SellingGeneralAndAdministration,33911000.0,31865000.0,28889000.0,31343000.0
SellingAndMarketingExpense,16465000.0,15537000.0,14144000.0,15032000.0
GeneralAndAdministrativeExpense,17446000.0,16328000.0,14745000.0,16311000.0
OtherGandA,17446000.0,16328000.0,14745000.0,16311000.0
GrossProfit,129684000.0,119703000.0,104019000.0,109521000.0
CostOfRevenue,162642000.0,154267000.0,150001000.0,156530000.0
TotalRevenue,292326000.0,273970000.0,254020000.0,266051000.0
OperatingRevenue,292326000.0,273970000.0,254020000.0,266051000.0
