,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,34098.673016,0.0
TaxRateForCalcs,0.076734,0.013626,0.017166,0.187172
TotalUnusualItems,0.0,0.0,1986381.0,
TotalUnusualItemsExcludingGoodwill,0.0,0.0,1986381.0,
NetIncomeFromContinuingOperationNetMinorityInterest,7979875.0,12135333.0,10025274.0,2938085.0
NetInterestIncome,15273265.0,16099413.0,16832326.0,19703206.0
InterestExpense,1532928.0,1575775.0,1668160.0,1722868.0
InterestIncome,16806193.0,17675188.0,18500486.0,21426074.0
NormalizedIncome,7979875.0,12135333.0,8072991.673016,2938085.0
NetIncomeFromContinuingAndDiscontinuedOperation,7979875.0,12135333.0,10025274.0,2938085.0
DilutedAverageShares,20342880.0,20322857.0,20489163.0,20416172.0
BasicAverageShares,20324125.0,20317341.0,20303797.0,20300657.0
DilutedEPS,0.39,0.59,0.49,0.14
BasicEPS,0.39,0.59,0.49,0.14
DilutedNIAvailtoComStockholders,7979875.0,12135333.0,10025274.0,2938085.0
NetIncomeCommonStockholders,7979875.0,12135333.0,10025274.0,2938085.0
NetIncome,7979875.0,12135333.0,10025274.0,2938085.0
NetIncomeIncludingNoncontrollingInterests,7979875.0,12135333.0,10025274.0,2938085.0
NetIncomeContinuousOperations,7979875.0,12135333.0,10025274.0,2938085.0
TaxProvision,663220.0,167637.0,175102.0,676561.0
PretaxIncome,8643095.0,12302970.0,10200376.0,3614646.0
SpecialIncomeCharges,0.0,0.0,1986381.0,
GainOnSaleOfSecurity,-1213416.0,0.0,-26384.0,0.0
SellingGeneralAndAdministration,1280786.0,1206642.0,2286713.0,1443850.0
GeneralAndAdministrativeExpense,1280786.0,1206642.0,2286713.0,1443850.0
OtherGandA,986772.0,1075873.0,2006135.0,1326863.0
SalariesAndWages,294014.0,130769.0,280578.0,116987.0
TotalRevenue,14847648.0,15636495.0,15328251.0,17672001.0
OperatingRevenue,14847648.0,15636495.0,15328251.0,17672001.0
