,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,-224100.0,-147000.0,-46357.615894,-107200.0,-26900.0
TaxRateForCalcs,0.249,0.21,0.231788,0.268,0.269
NormalizedEBITDA,47500000.0,7400000.0,43300000.0,40900000.0,39500000.0
TotalUnusualItems,-900000.0,-700000.0,-200000.0,-400000.0,-100000.0
TotalUnusualItemsExcludingGoodwill,-900000.0,-700000.0,-200000.0,-400000.0,-100000.0
NetIncomeFromContinuingOperationNetMinorityInterest,23800000.0,-600000.0,23200000.0,21800000.0,22500000.0
ReconciledDepreciation,8700000.0,8400000.0,7700000.0,6900000.0,6500000.0
ReconciledCostOfRevenue,442000000.0,448400000.0,445200000.0,426800000.0,384000000.0
EBITDA,46600000.0,6700000.0,43100000.0,40500000.0,39400000.0
EBIT,37900000.0,-1700000.0,35400000.0,33600000.0,32900000.0
NetInterestIncome,-5600000.0,-5400000.0,-4700000.0,-3500000.0,-2000000.0
InterestExpense,6200000.0,5800000.0,5200000.0,3800000.0,2100000.0
InterestIncome,600000.0,400000.0,500000.0,300000.0,100000.0
NormalizedIncome,24475900.0,-47000.0,23353642.384106,22092800.0,22573100.0
NetIncomeFromContinuingAndDiscontinuedOperation,23800000.0,-600000.0,23200000.0,21800000.0,22500000.0
TotalExpenses,507700000.0,523500000.0,516800000.0,485400000.0,436700000.0
TotalOperatingIncomeAsReported,38300000.0,25300000.0,36300000.0,34000000.0,32400000.0
DilutedAverageShares,35300000.0,35100000.0,34800000.0,34600000.0,34700000.0
BasicAverageShares,34900000.0,34700000.0,34400000.0,34100000.0,34200000.0
DilutedEPS,0.67,-0.02,0.66,0.62,0.64
BasicEPS,0.67,-0.02,0.67,0.63,0.65
DilutedNIAvailtoComStockholders,23500000.0,-600000.0,22100000.0,21800000.0,22200000.0
NetIncomeCommonStockholders,23500000.0,-600000.0,22100000.0,21800000.0,22200000.0
OtherunderPreferredStockDividend,300000.0,0.0,,,300000.0
NetIncome,23800000.0,-600000.0,23200000.0,21800000.0,22500000.0
NetIncomeIncludingNoncontrollingInterests,23800000.0,-600000.0,23200000.0,21800000.0,22500000.0
NetIncomeDiscontinuousOperations,0.0,0.0,0.0,0.0,0.0
NetIncomeContinuousOperations,23800000.0,-600000.0,23200000.0,21800000.0,22500000.0
TaxProvision,7900000.0,-6900000.0,7000000.0,8000000.0,8300000.0
PretaxIncome,31700000.0,-7500000.0,30200000.0,29800000.0,30800000.0
OtherIncomeExpense,-400000.0,-28300000.0,-1600000.0,-2400000.0,-300000.0
OtherNonOperatingIncomeExpenses,-100000.0,-26700000.0,-1200000.0,-300000.0,500000.0
SpecialIncomeCharges,-900000.0,-700000.0,-200000.0,-400000.0,-100000.0
GainOnSaleOfBusiness,-900000.0,-700000.0,-200000.0,-400000.0,-100000.0
EarningsFromEquityInterest,600000.0,-900000.0,-200000.0,-1700000.0,-700000.0
NetNonOperatingInterestIncomeExpense,-5600000.0,-5400000.0,-4700000.0,-3500000.0,-2000000.0
InterestExpenseNonOperating,6200000.0,5800000.0,5200000.0,3800000.0,2100000.0
InterestIncomeNonOperating,600000.0,400000.0,500000.0,300000.0,100000.0
OperatingIncome,37700000.0,26200000.0,36500000.0,35700000.0,33100000.0
OperatingExpense,65700000.0,75100000.0,71600000.0,58600000.0,52700000.0
ProvisionForDoubtfulAccounts,0.0,400000.0,800000.0,1900000.0,-100000.0
SellingGeneralAndAdministration,65700000.0,74700000.0,70800000.0,56700000.0,52800000.0
GeneralAndAdministrativeExpense,65700000.0,74700000.0,,,52800000.0
OtherGandA,65700000.0,74700000.0,,,52800000.0
SalariesAndWages,,26700000.0,,,
GrossProfit,103400000.0,101300000.0,108100000.0,94300000.0,85800000.0
CostOfRevenue,442000000.0,448400000.0,445200000.0,426800000.0,384000000.0
TotalRevenue,545400000.0,549700000.0,553300000.0,521100000.0,469800000.0
OperatingRevenue,545400000.0,549700000.0,553300000.0,521100000.0,469800000.0
