,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.054,0.255,0.239,0.027925
NormalizedEBITDA,-23387000.0,287037000.0,1271526000.0,972689000.0
TotalUnusualItems,0.0,0.0,0.0,0.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,302533000.0,650043000.0,1238580000.0,1132445000.0
ReconciledDepreciation,105445000.0,93085000.0,87271000.0,85561000.0
ReconciledCostOfRevenue,2255662000.0,1811703000.0,1303712000.0,1619659000.0
EBITDA,-23387000.0,287037000.0,1271526000.0,972689000.0
EBIT,-128832000.0,193952000.0,1184255000.0,887128000.0
NetInterestIncome,-29332000.0,-25577000.0,-26777000.0,-24039000.0
InterestExpense,29332000.0,25577000.0,26777000.0,24039000.0
NormalizedIncome,302533000.0,650043000.0,1238580000.0,1132445000.0
NetIncomeFromContinuingAndDiscontinuedOperation,302533000.0,650043000.0,1238580000.0,1132445000.0
TotalExpenses,2450610000.0,2230192000.0,1478489000.0,1787969000.0
TotalOperatingIncomeAsReported,-140014000.0,139998000.0,1101763000.0,833009000.0
DilutedAverageShares,117783000.0,117769000.0,117841000.0,117925000.0
BasicAverageShares,117349000.0,117332000.0,117232000.0,117160000.0
DilutedEPS,2.57,5.52,10.51,9.6
BasicEPS,2.58,5.54,10.57,9.67
DilutedNIAvailtoComStockholders,302533000.0,650043000.0,1238580000.0,1132445000.0
NetIncomeCommonStockholders,302533000.0,650043000.0,1238580000.0,1132445000.0
NetIncome,302533000.0,650043000.0,1238580000.0,1132445000.0
MinorityInterests,-18160000.0,-26396000.0,-38123000.0,-29341000.0
NetIncomeIncludingNoncontrollingInterests,320693000.0,676439000.0,1276703000.0,1161786000.0
NetIncomeContinuousOperations,320693000.0,676439000.0,1276703000.0,1161786000.0
EarningsFromEquityInterestNetOfTax,470306000.0,551051000.0,396188000.0,322799000.0
TaxProvision,-8551000.0,42987000.0,276963000.0,24102000.0
PretaxIncome,-158164000.0,168375000.0,1157478000.0,863089000.0
OtherIncomeExpense,11182000.0,53954000.0,82492000.0,54119000.0
OtherNonOperatingIncomeExpenses,11182000.0,53954000.0,82492000.0,54119000.0
SpecialIncomeCharges,0.0,0.0,0.0,0.0
GainOnSaleOfPPE,0.0,0.0,0.0,
NetNonOperatingInterestIncomeExpense,-29332000.0,-25577000.0,-26777000.0,-24039000.0
InterestExpenseNonOperating,29332000.0,25577000.0,26777000.0,24039000.0
OperatingIncome,-140014000.0,139998000.0,1101763000.0,833009000.0
OperatingExpense,194948000.0,418489000.0,174777000.0,168310000.0
ResearchAndDevelopment,21082000.0,21419000.0,20471000.0,20154000.0
SellingGeneralAndAdministration,173866000.0,397070000.0,154306000.0,148156000.0
GrossProfit,54934000.0,558487000.0,1276540000.0,1001319000.0
CostOfRevenue,2255662000.0,1811703000.0,1303712000.0,1619659000.0
TotalRevenue,2310596000.0,2370190000.0,2580252000.0,2620978000.0
OperatingRevenue,2310596000.0,2370190000.0,2580252000.0,2620978000.0
