,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,231000.0,-16149000.0
TaxRateForCalcs,0.0,0.0,0.21,0.21
NormalizedEBITDA,28000000.0,25800000.0,22600000.0,101600000.0
TotalUnusualItems,-600000.0,0.0,1100000.0,-76900000.0
TotalUnusualItemsExcludingGoodwill,-600000.0,0.0,1100000.0,-76900000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10700000.0,9200000.0,9500000.0,14900000.0
ReconciledDepreciation,9300000.0,9100000.0,9200000.0,4900000.0
ReconciledCostOfRevenue,27300000.0,27000000.0,28600000.0,-70900000.0
EBITDA,27400000.0,25800000.0,23700000.0,24700000.0
EBIT,18100000.0,16700000.0,14500000.0,19800000.0
NetInterestIncome,-6000000.0,-5800000.0,-4900000.0,-5100000.0
InterestExpense,6100000.0,5900000.0,5000000.0,5200000.0
InterestIncome,100000.0,100000.0,100000.0,100000.0
NormalizedIncome,11300000.0,9200000.0,8631000.0,75651000.0
NetIncomeFromContinuingAndDiscontinuedOperation,14600000.0,13400000.0,5300000.0,-71600000.0
TotalExpenses,34900000.0,37000000.0,37500000.0,-73300000.0
TotalOperatingIncomeAsReported,17000000.0,16200000.0,14200000.0,20300000.0
DilutedAverageShares,72800000.0,72800000.0,72600000.0,72700000.0
BasicAverageShares,72600000.0,72600000.0,72500000.0,72500000.0
DilutedEPS,0.2,0.18,0.07,-0.99
BasicEPS,0.2,0.18,0.07,-0.99
DilutedNIAvailtoComStockholders,14600000.0,13400000.0,5300000.0,-71600000.0
NetIncomeCommonStockholders,14600000.0,13400000.0,5300000.0,-71600000.0
OtherunderPreferredStockDividend,0.0,,,0.0
NetIncome,14600000.0,13400000.0,5300000.0,-71600000.0
MinorityInterests,-1300000.0,-1600000.0,0.0,100000.0
NetIncomeIncludingNoncontrollingInterests,15900000.0,15000000.0,5300000.0,-71700000.0
NetIncomeDiscontinuousOperations,3900000.0,4200000.0,-4200000.0,-86500000.0
NetIncomeContinuousOperations,12000000.0,10800000.0,9500000.0,14800000.0
TaxProvision,0.0,0.0,,-200000.0
PretaxIncome,12000000.0,10800000.0,9500000.0,14600000.0
OtherIncomeExpense,400000.0,500000.0,1500000.0,-600000.0
OtherNonOperatingIncomeExpenses,,,,76500000.0
SpecialIncomeCharges,-600000.0,0.0,1100000.0,-76900000.0
GainOnSaleOfPPE,0.0,0.0,1100000.0,0.0
WriteOff,600000.0,,,
EarningsFromEquityInterest,1000000.0,500000.0,400000.0,-200000.0
NetNonOperatingInterestIncomeExpense,-6000000.0,-5800000.0,-4900000.0,-5100000.0
InterestExpenseNonOperating,6100000.0,5900000.0,5000000.0,5200000.0
InterestIncomeNonOperating,100000.0,100000.0,100000.0,100000.0
OperatingIncome,17600000.0,16100000.0,12900000.0,20300000.0
OperatingExpense,7600000.0,10000000.0,8900000.0,-2400000.0
SellingGeneralAndAdministration,7600000.0,10000000.0,8900000.0,-2400000.0
GeneralAndAdministrativeExpense,7600000.0,10000000.0,8900000.0,-2400000.0
OtherGandA,7600000.0,9900000.0,8700000.0,-2400000.0
SalariesAndWages,,100000.0,200000.0,0.0
GrossProfit,25200000.0,26100000.0,21800000.0,17900000.0
CostOfRevenue,27300000.0,27000000.0,28600000.0,-70900000.0
TotalRevenue,52500000.0,53100000.0,50400000.0,-53000000.0
OperatingRevenue,52500000.0,53100000.0,50400000.0,-53000000.0
