,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,50300000.0,49400000.0,41200000.0,41100000.0
TotalUnusualItems,,,,0.0
TotalUnusualItemsExcludingGoodwill,,,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,7400000.0,2400000.0,1000000.0,-700000.0
ReconciledDepreciation,35000000.0,33000000.0,28100000.0,30900000.0
ReconciledCostOfRevenue,310500000.0,314000000.0,276500000.0,291800000.0
EBITDA,50300000.0,49400000.0,41200000.0,41100000.0
EBIT,15300000.0,16400000.0,13100000.0,10200000.0
NetInterestIncome,-15200000.0,-13700000.0,-12000000.0,-10400000.0
InterestExpense,15200000.0,13700000.0,12000000.0,10400000.0
NormalizedIncome,7400000.0,2400000.0,1000000.0,-700000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7400000.0,2400000.0,1000000.0,-700000.0
TotalExpenses,452300000.0,452200000.0,408600000.0,419100000.0
TotalOperatingIncomeAsReported,13900000.0,16200000.0,12100000.0,9500000.0
DilutedAverageShares,32729517.0,32731422.0,32430715.0,
BasicAverageShares,32368112.0,32368112.0,32223221.0,
DilutedEPS,0.2,0.05,0.01,
BasicEPS,0.21,0.05,0.01,
DilutedNIAvailtoComStockholders,6700000.0,1700000.0,200000.0,-1500000.0
NetIncomeCommonStockholders,6700000.0,1700000.0,200000.0,-1500000.0
PreferredStockDividends,700000.0,700000.0,800000.0,800000.0
NetIncome,7400000.0,2400000.0,1000000.0,-700000.0
NetIncomeIncludingNoncontrollingInterests,7400000.0,3000000.0,1200000.0,-700000.0
NetIncomeContinuousOperations,7400000.0,3000000.0,1200000.0,-700000.0
TaxProvision,-7300000.0,-300000.0,-100000.0,500000.0
PretaxIncome,100000.0,2700000.0,1100000.0,-200000.0
OtherIncomeExpense,1400000.0,200000.0,1000000.0,700000.0
OtherNonOperatingIncomeExpenses,1400000.0,200000.0,1000000.0,700000.0
SpecialIncomeCharges,,,,0.0
NetNonOperatingInterestIncomeExpense,-15200000.0,-13700000.0,-12000000.0,-10400000.0
InterestExpenseNonOperating,15200000.0,13700000.0,12000000.0,10400000.0
OperatingIncome,13900000.0,16200000.0,12100000.0,9500000.0
OperatingExpense,112200000.0,110600000.0,109200000.0,101300000.0
DepreciationAmortizationDepletionIncomeStatement,5400000.0,5400000.0,5200000.0,4900000.0
DepreciationAndAmortizationInIncomeStatement,5400000.0,5400000.0,5200000.0,4900000.0
SellingGeneralAndAdministration,106800000.0,105200000.0,104000000.0,96400000.0
GeneralAndAdministrativeExpense,106800000.0,105200000.0,104000000.0,96400000.0
OtherGandA,106800000.0,105200000.0,104000000.0,96400000.0
GrossProfit,126100000.0,126800000.0,121300000.0,110800000.0
CostOfRevenue,340100000.0,341600000.0,299400000.0,317800000.0
TotalRevenue,466200000.0,468400000.0,420700000.0,428600000.0
OperatingRevenue,466200000.0,468400000.0,420700000.0,428600000.0
