,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.334,0.358,0.316,0.266355
NormalizedEBITDA,320000000.0,202000000.0,220000000.0,323000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,134000000.0,53000000.0,74000000.0,156000000.0
ReconciledDepreciation,95000000.0,94000000.0,92000000.0,90000000.0
ReconciledCostOfRevenue,2037000000.0,2094000000.0,2021000000.0,1847000000.0
EBITDA,320000000.0,202000000.0,220000000.0,323000000.0
EBIT,225000000.0,108000000.0,128000000.0,233000000.0
NetInterestIncome,-21000000.0,-19000000.0,-17000000.0,-17000000.0
InterestExpense,24000000.0,25000000.0,19000000.0,19000000.0
InterestIncome,3000000.0,6000000.0,2000000.0,2000000.0
NormalizedIncome,134000000.0,53000000.0,74000000.0,156000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,134000000.0,53000000.0,74000000.0,156000000.0
TotalExpenses,2365000000.0,2540000000.0,2365000000.0,2104000000.0
TotalOperatingIncomeAsReported,232000000.0,94000000.0,127000000.0,230000000.0
DilutedAverageShares,85000000.0,85800000.0,86300000.0,86700000.0
BasicAverageShares,84900000.0,85600000.0,86100000.0,86500000.0
DilutedEPS,1.57,0.61,0.86,1.799308
BasicEPS,1.58,0.61,0.86,1.8
DilutedNIAvailtoComStockholders,134000000.0,53000000.0,74000000.0,156000000.0
NetIncomeCommonStockholders,134000000.0,53000000.0,74000000.0,156000000.0
NetIncome,134000000.0,53000000.0,74000000.0,156000000.0
MinorityInterests,-1000000.0,0.0,0.0,-1000000.0
NetIncomeIncludingNoncontrollingInterests,134000000.0,53000000.0,74000000.0,157000000.0
NetIncomeContinuousOperations,134000000.0,53000000.0,74000000.0,157000000.0
TaxProvision,67000000.0,30000000.0,34000000.0,57000000.0
PretaxIncome,201000000.0,83000000.0,109000000.0,214000000.0
OtherIncomeExpense,-10000000.0,8000000.0,,0.0
OtherNonOperatingIncomeExpenses,-11000000.0,7000000.0,-2000000.0,0.0
EarningsFromEquityInterest,1000000.0,1000000.0,2000000.0,0.0
NetNonOperatingInterestIncomeExpense,-21000000.0,-19000000.0,-17000000.0,-17000000.0
InterestExpenseNonOperating,24000000.0,25000000.0,19000000.0,19000000.0
InterestIncomeNonOperating,3000000.0,6000000.0,2000000.0,2000000.0
OperatingIncome,231000000.0,95000000.0,127000000.0,230000000.0
OperatingExpense,234000000.0,352000000.0,252000000.0,168000000.0
OtherOperatingExpenses,8000000.0,103000000.0,4000000.0,-2000000.0
DepreciationAmortizationDepletionIncomeStatement,1000000.0,0.0,0.0,1000000.0
DepreciationAndAmortizationInIncomeStatement,1000000.0,0.0,0.0,1000000.0
Amortization,1000000.0,0.0,0.0,1000000.0
AmortizationOfIntangiblesIncomeStatement,1000000.0,0.0,0.0,1000000.0
ResearchAndDevelopment,107000000.0,120000000.0,116000000.0,65000000.0
SellingGeneralAndAdministration,118000000.0,129000000.0,132000000.0,104000000.0
GrossProfit,465000000.0,447000000.0,379000000.0,398000000.0
CostOfRevenue,2131000000.0,2188000000.0,2113000000.0,1936000000.0
TotalRevenue,2596000000.0,2635000000.0,2493000000.0,2335000000.0
OperatingRevenue,2596000000.0,2635000000.0,2493000000.0,2335000000.0
