,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.111,0.146,0.175,0.075515
NormalizedEBITDA,3601000000.0,3262000000.0,4885000000.0,3074000000.0
TotalUnusualItems,,,,0.0
TotalUnusualItemsExcludingGoodwill,,,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,1730000000.0,1379000000.0,2841000000.0,1616000000.0
ReconciledDepreciation,895000000.0,896000000.0,900000000.0,911000000.0
ReconciledCostOfRevenue,1806000000.0,1813000000.0,1720000000.0,1747000000.0
EBITDA,3601000000.0,3262000000.0,4885000000.0,3074000000.0
EBIT,2706000000.0,2366000000.0,3985000000.0,2163000000.0
NetInterestIncome,-759000000.0,-752000000.0,-543000000.0,-415000000.0
InterestExpense,759000000.0,752000000.0,543000000.0,415000000.0
NormalizedIncome,1730000000.0,1379000000.0,2841000000.0,1616000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1730000000.0,1379000000.0,2841000000.0,1616000000.0
TotalExpenses,4882000000.0,4302000000.0,4184000000.0,4609000000.0
TotalOperatingIncomeAsReported,2021000000.0,2684000000.0,1921000000.0,2230000000.0
DilutedAverageShares,538000000.0,537000000.0,538000000.0,539000000.0
BasicAverageShares,535000000.0,535000000.0,534000000.0,535000000.0
DilutedEPS,3.22,2.57,5.28,3.0
BasicEPS,3.23,2.58,5.32,3.02
DilutedNIAvailtoComStockholders,1730000000.0,1379000000.0,2841000000.0,1616000000.0
NetIncomeCommonStockholders,1730000000.0,1379000000.0,2841000000.0,1616000000.0
NetIncome,1730000000.0,1379000000.0,2841000000.0,1616000000.0
NetIncomeIncludingNoncontrollingInterests,1730000000.0,1379000000.0,2841000000.0,1616000000.0
NetIncomeContinuousOperations,1730000000.0,1379000000.0,2841000000.0,1616000000.0
TaxProvision,217000000.0,235000000.0,601000000.0,132000000.0
PretaxIncome,1947000000.0,1614000000.0,3442000000.0,1748000000.0
OtherIncomeExpense,685000000.0,-318000000.0,2064000000.0,-67000000.0
OtherNonOperatingIncomeExpenses,685000000.0,-318000000.0,2064000000.0,-67000000.0
SpecialIncomeCharges,,,,0.0
NetNonOperatingInterestIncomeExpense,-759000000.0,-752000000.0,-543000000.0,-415000000.0
InterestExpenseNonOperating,759000000.0,752000000.0,543000000.0,415000000.0
OperatingIncome,2021000000.0,2684000000.0,1921000000.0,2230000000.0
OperatingExpense,3076000000.0,2489000000.0,2464000000.0,2862000000.0
OtherOperatingExpenses,644000000.0,82000000.0,148000000.0,-34000000.0
ResearchAndDevelopment,1079000000.0,1113000000.0,1058000000.0,1324000000.0
SellingGeneralAndAdministration,1353000000.0,1294000000.0,1258000000.0,1572000000.0
GrossProfit,5097000000.0,5173000000.0,4385000000.0,5092000000.0
CostOfRevenue,1806000000.0,1813000000.0,1720000000.0,1747000000.0
TotalRevenue,6903000000.0,6986000000.0,6105000000.0,6839000000.0
OperatingRevenue,6548000000.0,6683000000.0,5846000000.0,6552000000.0
