,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,26963820.549928,0.0,10739268.680445,0.0
TaxRateForCalcs,0.198263,0.065368,0.076709,0.058946
NormalizedEBITDA,10409000000.0,,12187000000.0,
TotalUnusualItems,136000000.0,,140000000.0,
TotalUnusualItemsExcludingGoodwill,136000000.0,,140000000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,521000000.0,1453000000.0,2284000000.0,4950000000.0
ReconciledCostOfRevenue,1584000000.0,,1880000000.0,
EBITDA,10545000000.0,,12327000000.0,
EBIT,10545000000.0,,12327000000.0,
NetInterestIncome,153000000.0,,190000000.0,
NormalizedIncome,411963820.549928,1453000000.0,2154739268.680445,4950000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,521000000.0,1453000000.0,2284000000.0,4950000000.0
TotalExpenses,1584000000.0,,1880000000.0,
DilutedAverageShares,3361290323.0,3418823529.0,3487022901.0,
BasicAverageShares,3361290323.0,3418823529.0,3487022901.0,
DilutedEPS,0.155,0.425,0.655,
BasicEPS,0.155,0.425,0.655,
DilutedNIAvailtoComStockholders,521000000.0,1453000000.0,2284000000.0,4950000000.0
NetIncomeCommonStockholders,521000000.0,1453000000.0,2284000000.0,4950000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,521000000.0,1453000000.0,2284000000.0,4950000000.0
MinorityInterests,-33000000.0,-34000000.0,-39000000.0,-31000000.0
NetIncomeIncludingNoncontrollingInterests,554000000.0,1487000000.0,2323000000.0,4981000000.0
NetIncomeContinuousOperations,554000000.0,1487000000.0,2323000000.0,4981000000.0
TaxProvision,137000000.0,104000000.0,193000000.0,312000000.0
PretaxIncome,691000000.0,1591000000.0,2516000000.0,5293000000.0
SpecialIncomeCharges,136000000.0,,140000000.0,
OtherSpecialCharges,-136000000.0,,-140000000.0,
NetNonOperatingInterestIncomeExpense,153000000.0,,190000000.0,
OperatingIncome,10545000000.0,,12327000000.0,
GrossProfit,10545000000.0,,12327000000.0,
CostOfRevenue,1584000000.0,,1880000000.0,
TotalRevenue,12129000000.0,12988000000.0,14207000000.0,17820000000.0
OperatingRevenue,12129000000.0,12988000000.0,14207000000.0,17820000000.0
