,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.278,0.262,0.281,0.30173
NormalizedEBITDA,64434000.0,55348000.0,34713000.0,46973000.0
NetIncomeFromContinuingOperationNetMinorityInterest,38385000.0,32877000.0,17222000.0,25593000.0
ReconciledDepreciation,8965000.0,8684000.0,8428000.0,8008000.0
ReconciledCostOfRevenue,98197000.0,95446000.0,90902000.0,85143000.0
EBITDA,64434000.0,55348000.0,34713000.0,46973000.0
EBIT,55469000.0,46664000.0,26285000.0,38965000.0
NetInterestIncome,-2305000.0,-2137000.0,-2347000.0,-2313000.0
InterestExpense,2305000.0,2137000.0,2347000.0,2313000.0
NormalizedIncome,38385000.0,32877000.0,17222000.0,25593000.0
NetIncomeFromContinuingAndDiscontinuedOperation,38385000.0,32877000.0,17222000.0,25593000.0
TotalExpenses,137245000.0,136856000.0,130412000.0,125406000.0
DilutedAverageShares,74695260.0,74505158.0,74370353.0,73943318.0
BasicAverageShares,74261667.0,73986326.0,73890162.0,73847371.0
DilutedEPS,0.51,0.44,0.23,0.35
BasicEPS,0.52,0.44,0.23,0.35
DilutedNIAvailtoComStockholders,38385000.0,32877000.0,17222000.0,25593000.0
NetIncomeCommonStockholders,38385000.0,32877000.0,17222000.0,25593000.0
NetIncome,38385000.0,32877000.0,17222000.0,25593000.0
NetIncomeIncludingNoncontrollingInterests,38385000.0,32877000.0,17222000.0,25593000.0
NetIncomeContinuousOperations,38385000.0,32877000.0,17222000.0,25593000.0
TaxProvision,14779000.0,11650000.0,6716000.0,11059000.0
PretaxIncome,53164000.0,44527000.0,23938000.0,36652000.0
OtherIncomeExpense,2192000.0,288000.0,-19865000.0,238000.0
OtherNonOperatingIncomeExpenses,2192000.0,288000.0,-19865000.0,238000.0
NetNonOperatingInterestIncomeExpense,-2305000.0,-2137000.0,-2347000.0,-2313000.0
InterestExpenseNonOperating,2305000.0,2137000.0,2347000.0,2313000.0
OperatingIncome,53277000.0,46376000.0,46150000.0,38727000.0
OperatingExpense,39048000.0,41410000.0,39510000.0,40263000.0
DepreciationAmortizationDepletionIncomeStatement,8965000.0,8684000.0,8428000.0,8008000.0
DepreciationAndAmortizationInIncomeStatement,8965000.0,8684000.0,8428000.0,8008000.0
SellingGeneralAndAdministration,30083000.0,32726000.0,31082000.0,32255000.0
GeneralAndAdministrativeExpense,30083000.0,32726000.0,31082000.0,32255000.0
OtherGandA,30083000.0,32726000.0,31082000.0,32255000.0
GrossProfit,92325000.0,87786000.0,85660000.0,78990000.0
CostOfRevenue,98197000.0,95446000.0,90902000.0,85143000.0
TotalRevenue,190522000.0,183232000.0,176562000.0,164133000.0
OperatingRevenue,185060000.0,178300000.0,172846000.0,161145000.0
