,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,-1345890.0,9399600.0,-335091.790533,-68324.0,-291710.0
TaxRateForCalcs,0.21,0.21,0.018203,0.019,0.062
NormalizedEBITDA,6383000.0,-47802000.0,5002000.0,2506000.0,9113000.0
TotalUnusualItems,-6409000.0,44760000.0,-18409000.0,-3596000.0,-4705000.0
TotalUnusualItemsExcludingGoodwill,-6409000.0,44760000.0,-18409000.0,-3596000.0,-4705000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
ReconciledDepreciation,6685000.0,6688000.0,7557000.0,7838000.0,7818000.0
ReconciledCostOfRevenue,35688000.0,35556000.0,41564000.0,37109000.0,37341000.0
EBITDA,-26000.0,-3042000.0,-13407000.0,-1090000.0,4408000.0
EBIT,-6711000.0,-9730000.0,-20964000.0,-8928000.0,-3410000.0
NetInterestIncome,534000.0,119000.0,-901000.0,-736000.0,-684000.0
InterestExpense,,,901000.0,736000.0,684000.0
InterestIncome,,119000.0,,,
NormalizedIncome,-23984890.0,10523600.0,-3393091.790533,-5957324.0,-4072710.0
NetIncomeFromContinuingAndDiscontinuedOperation,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
TotalExpenses,85784000.0,88409000.0,93502000.0,86044000.0,88839000.0
TotalOperatingIncomeAsReported,-13120000.0,35030000.0,-20837000.0,-8928000.0,-8115000.0
DilutedAverageShares,40219000.0,39968000.0,,39509000.0,39490000.0
BasicAverageShares,40219000.0,39842000.0,,39509000.0,39490000.0
DilutedEPS,-0.72,1.15,,-0.24,-0.21
BasicEPS,-0.72,1.15,,-0.24,-0.21
DilutedNIAvailtoComStockholders,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
NetIncomeCommonStockholders,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
NetIncome,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
NetIncomeIncludingNoncontrollingInterests,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
NetIncomeContinuousOperations,-29048000.0,45884000.0,-21467000.0,-9485000.0,-8486000.0
TaxProvision,16430000.0,-11023000.0,-398000.0,-179000.0,-565000.0
PretaxIncome,-12618000.0,34861000.0,-21865000.0,-9664000.0,-9051000.0
OtherIncomeExpense,-6441000.0,44472000.0,-18536000.0,-3596000.0,-4957000.0
OtherNonOperatingIncomeExpenses,-32000.0,-288000.0,-127000.0,,-252000.0
SpecialIncomeCharges,-6409000.0,44760000.0,-18409000.0,-3596000.0,-4705000.0
GainOnSaleOfPPE,0.0,47842000.0,,,0.0
GainOnSaleOfBusiness,177000.0,145000.0,,,0.0
OtherSpecialCharges,5322000.0,1817000.0,3099000.0,2614000.0,2422000.0
RestructuringAndMergernAcquisition,1264000.0,1410000.0,761000.0,982000.0,2283000.0
NetNonOperatingInterestIncomeExpense,534000.0,119000.0,-901000.0,-736000.0,-684000.0
TotalOtherFinanceCost,-534000.0,,,,684000.0
InterestExpenseNonOperating,,,901000.0,736000.0,684000.0
InterestIncomeNonOperating,,119000.0,,,
OperatingIncome,-6711000.0,-9730000.0,-2428000.0,-5332000.0,-3410000.0
OperatingExpense,46973000.0,49790000.0,48787000.0,45836000.0,48488000.0
DepreciationAmortizationDepletionIncomeStatement,3562000.0,3625000.0,4406000.0,4739000.0,4808000.0
DepreciationAndAmortizationInIncomeStatement,3562000.0,3625000.0,4406000.0,4739000.0,4808000.0
Amortization,3562000.0,3625000.0,4406000.0,4739000.0,4808000.0
AmortizationOfIntangiblesIncomeStatement,3562000.0,3625000.0,4406000.0,4739000.0,4808000.0
ResearchAndDevelopment,8658000.0,7941000.0,7860000.0,6852000.0,6838000.0
SellingGeneralAndAdministration,34753000.0,38224000.0,36521000.0,34245000.0,36842000.0
SellingAndMarketingExpense,25464000.0,27368000.0,26293000.0,25406000.0,26007000.0
GeneralAndAdministrativeExpense,9289000.0,10856000.0,10228000.0,8839000.0,10835000.0
OtherGandA,9289000.0,10856000.0,10228000.0,8839000.0,10835000.0
GrossProfit,40262000.0,40060000.0,46359000.0,40504000.0,45078000.0
CostOfRevenue,38811000.0,38619000.0,44715000.0,40208000.0,40351000.0
TotalRevenue,79073000.0,78679000.0,91074000.0,80712000.0,85429000.0
OperatingRevenue,79073000.0,78679000.0,91074000.0,80712000.0,85429000.0
