,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.236,0.229,0.25,0.160948,0.248
NormalizedEBITDA,47281000.0,55832000.0,43761000.0,36745000.0,44686000.0
NetIncomeFromContinuingOperationNetMinorityInterest,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
ReconciledDepreciation,10524000.0,10379000.0,10282000.0,10478000.0,10477000.0
ReconciledCostOfRevenue,249409000.0,258304000.0,268727000.0,265993000.0,281239000.0
EBITDA,47281000.0,55832000.0,43761000.0,36745000.0,44686000.0
EBIT,36757000.0,45453000.0,33479000.0,26267000.0,34209000.0
NetInterestIncome,-1454000.0,-2230000.0,-2036000.0,-2166000.0,-2590000.0
InterestExpense,1454000.0,2230000.0,2036000.0,2166000.0,2590000.0
NormalizedIncome,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
NetIncomeFromContinuingAndDiscontinuedOperation,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
TotalExpenses,302067000.0,313122000.0,327946000.0,318366000.0,333086000.0
TotalOperatingIncomeAsReported,37647000.0,40553000.0,33767000.0,25739000.0,34761000.0
DilutedAverageShares,22013000.0,21962000.0,22386000.0,,22278000.0
BasicAverageShares,21819000.0,21708000.0,21883000.0,,21870000.0
DilutedEPS,1.23,1.52,1.05,,1.07
BasicEPS,1.24,1.54,1.08,,1.09
DilutedNIAvailtoComStockholders,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
NetIncomeCommonStockholders,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
NetIncome,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
NetIncomeIncludingNoncontrollingInterests,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
NetIncomeContinuousOperations,26974000.0,33327000.0,23576000.0,20222000.0,23765000.0
TaxProvision,8329000.0,9896000.0,7867000.0,3879000.0,7854000.0
PretaxIncome,35303000.0,43223000.0,31443000.0,24101000.0,31619000.0
OtherIncomeExpense,-890000.0,4900000.0,-288000.0,528000.0,-552000.0
OtherNonOperatingIncomeExpenses,-890000.0,4900000.0,-288000.0,528000.0,-552000.0
NetNonOperatingInterestIncomeExpense,-1454000.0,-2230000.0,-2036000.0,-2166000.0,-2590000.0
InterestExpenseNonOperating,1454000.0,2230000.0,2036000.0,2166000.0,2590000.0
OperatingIncome,37647000.0,40553000.0,33767000.0,25739000.0,34761000.0
OperatingExpense,52658000.0,54818000.0,59219000.0,52373000.0,51847000.0
SellingGeneralAndAdministration,52658000.0,54818000.0,59219000.0,52373000.0,51847000.0
GrossProfit,90305000.0,95371000.0,92986000.0,78112000.0,86608000.0
CostOfRevenue,249409000.0,258304000.0,268727000.0,265993000.0,281239000.0
TotalRevenue,339714000.0,353675000.0,361713000.0,344105000.0,367847000.0
OperatingRevenue,339714000.0,353675000.0,361713000.0,344105000.0,367847000.0
