,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-3142110.0,1860000.0,-2997800.0,0.0
TaxRateForCalcs,0.255,0.186,0.2,0.293916
NormalizedEBITDA,98588000.0,76691000.0,76251000.0,90208000.0
TotalUnusualItems,-12322000.0,10000000.0,-14989000.0,
TotalUnusualItemsExcludingGoodwill,-12322000.0,10000000.0,-14989000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,34927000.0,39600000.0,18847000.0,37337000.0
ReconciledDepreciation,37140000.0,35812000.0,35390000.0,35179000.0
ReconciledCostOfRevenue,1026299000.0,1024695000.0,938830000.0,1132586000.0
EBITDA,86266000.0,86691000.0,61262000.0,90208000.0
EBIT,49126000.0,50879000.0,25872000.0,55029000.0
NetInterestIncome,1710000.0,1520000.0,606000.0,193000.0
InterestExpense,2236000.0,2205000.0,2327000.0,2150000.0
InterestIncome,3946000.0,3725000.0,2933000.0,2343000.0
NormalizedIncome,44106890.0,31460000.0,30838200.0,37337000.0
NetIncomeFromContinuingAndDiscontinuedOperation,34917000.0,40443000.0,71283000.0,37337000.0
TotalExpenses,1070937000.0,1071348000.0,1069946000.0,1192984000.0
RentExpenseSupplemental,410436000.0,415712000.0,460907000.0,550314000.0
TotalOperatingIncomeAsReported,45091000.0,42116000.0,21159000.0,51234000.0
DilutedAverageShares,24525258.0,24672948.0,25057726.0,25146664.0
BasicAverageShares,24004255.0,24064882.0,24288138.0,24420325.0
DilutedEPS,1.42,1.64,2.84,1.48
BasicEPS,1.45,1.68,2.93,1.53
DilutedNIAvailtoComStockholders,34917000.0,40443000.0,71283000.0,37337000.0
NetIncomeCommonStockholders,34917000.0,40443000.0,71283000.0,37337000.0
NetIncome,34917000.0,40443000.0,71283000.0,37337000.0
NetIncomeIncludingNoncontrollingInterests,34917000.0,40443000.0,71283000.0,37337000.0
NetIncomeDiscontinuousOperations,-10000.0,843000.0,52436000.0,
NetIncomeContinuousOperations,34927000.0,39600000.0,18847000.0,37337000.0
TaxProvision,11963000.0,9074000.0,4698000.0,15542000.0
PretaxIncome,46890000.0,48674000.0,23545000.0,52879000.0
OtherIncomeExpense,-12233000.0,15038000.0,-13209000.0,1452000.0
OtherNonOperatingIncomeExpenses,89000.0,5038000.0,1780000.0,1452000.0
SpecialIncomeCharges,-12322000.0,10000000.0,-14989000.0,
GainOnSaleOfPPE,,,51000.0,
ImpairmentOfCapitalAssets,30162000.0,,,
RestructuringAndMergernAcquisition,-17840000.0,-10000000.0,15040000.0,
NetNonOperatingInterestIncomeExpense,1710000.0,1520000.0,606000.0,193000.0
InterestExpenseNonOperating,2236000.0,2205000.0,2327000.0,2150000.0
InterestIncomeNonOperating,3946000.0,3725000.0,2933000.0,2343000.0
OperatingIncome,57413000.0,32116000.0,36148000.0,51234000.0
OperatingExpense,44638000.0,46653000.0,131116000.0,60398000.0
OtherOperatingExpenses,44638000.0,46653000.0,-3503000.0,60398000.0
SellingGeneralAndAdministration,,,134619000.0,
GeneralAndAdministrativeExpense,,,134619000.0,
OtherGandA,,,121346000.0,
InsuranceAndClaims,,,13273000.0,
GrossProfit,102051000.0,78769000.0,167264000.0,111632000.0
CostOfRevenue,1026299000.0,1024695000.0,938830000.0,1132586000.0
TotalRevenue,1128350000.0,1103464000.0,1106094000.0,1244218000.0
OperatingRevenue,1128350000.0,1103464000.0,1106094000.0,1244218000.0
