,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-299880.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,-820000.0,-6825000.0,-12991000.0,-18454000.0
TotalUnusualItems,,,,-1428000.0
TotalUnusualItemsExcludingGoodwill,,,,-1428000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-1120000.0,-7363000.0,-14245000.0,-22155000.0
ReconciledDepreciation,1456000.0,1204000.0,1149000.0,1115000.0
ReconciledCostOfRevenue,86864000.0,73218000.0,75787000.0,86557000.0
EBITDA,-820000.0,-6825000.0,-12991000.0,-19882000.0
EBIT,-2276000.0,-8029000.0,-14140000.0,-20997000.0
NetInterestIncome,1175000.0,835000.0,726000.0,512000.0
InterestIncome,,835000.0,,
NormalizedIncome,-1120000.0,-7363000.0,-14245000.0,-21026880.0
NetIncomeFromContinuingAndDiscontinuedOperation,-1120000.0,-7363000.0,-14245000.0,-22155000.0
TotalExpenses,132279000.0,123105000.0,125144000.0,139524000.0
TotalOperatingIncomeAsReported,-2276000.0,-8029000.0,-14140000.0,-22425000.0
DilutedAverageShares,94243000.0,92337000.0,89653000.0,88743000.0
BasicAverageShares,94243000.0,92337000.0,89653000.0,88743000.0
DilutedEPS,-0.01,-0.08,-0.16,-0.25
BasicEPS,-0.01,-0.08,-0.16,-0.25
DilutedNIAvailtoComStockholders,-1120000.0,-7363000.0,-14245000.0,-22155000.0
NetIncomeCommonStockholders,-1120000.0,-7363000.0,-14245000.0,-22155000.0
NetIncome,-1120000.0,-7363000.0,-14245000.0,-22155000.0
NetIncomeIncludingNoncontrollingInterests,-1120000.0,-7363000.0,-14245000.0,-22155000.0
NetIncomeContinuousOperations,-1120000.0,-7363000.0,-14245000.0,-22155000.0
TaxProvision,29000.0,221000.0,792000.0,230000.0
PretaxIncome,-1091000.0,-7142000.0,-13453000.0,-21925000.0
OtherIncomeExpense,10000.0,52000.0,-39000.0,-1440000.0
OtherNonOperatingIncomeExpenses,10000.0,52000.0,-39000.0,-12000.0
SpecialIncomeCharges,,,,-1428000.0
WriteOff,,,,0.0
RestructuringAndMergernAcquisition,,,,1428000.0
NetNonOperatingInterestIncomeExpense,1175000.0,835000.0,726000.0,512000.0
TotalOtherFinanceCost,-1175000.0,,-726000.0,
InterestIncomeNonOperating,,835000.0,,
OperatingIncome,-2276000.0,-8029000.0,-14140000.0,-20997000.0
OperatingExpense,45415000.0,49887000.0,49357000.0,52967000.0
OtherOperatingExpenses,263000.0,341000.0,632000.0,
ResearchAndDevelopment,16829000.0,17618000.0,17750000.0,14457000.0
SellingGeneralAndAdministration,28323000.0,31928000.0,30975000.0,38123000.0
SellingAndMarketingExpense,15863000.0,16921000.0,15353000.0,20214000.0
GeneralAndAdministrativeExpense,12460000.0,15007000.0,15622000.0,17909000.0
OtherGandA,12460000.0,15007000.0,15622000.0,17909000.0
GrossProfit,43139000.0,41858000.0,35217000.0,31970000.0
CostOfRevenue,86864000.0,73218000.0,75787000.0,86557000.0
TotalRevenue,130003000.0,115076000.0,111004000.0,118527000.0
OperatingRevenue,130003000.0,115076000.0,111004000.0,118527000.0
