,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-8429.4,-8837.0,-707070.0,-67460.276999
TaxRateForCalcs,0.0027,0.001,0.21,0.009092
NormalizedEBITDA,-19536000.0,-24157000.0,-23751000.0,-14376000.0
TotalUnusualItems,-3122000.0,-8837000.0,-3367000.0,-7420000.0
TotalUnusualItemsExcludingGoodwill,-3122000.0,-8837000.0,-3367000.0,-7420000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-42654000.0,-51377000.0,-43529000.0,-34986000.0
ReconciledDepreciation,15654000.0,14541000.0,12523000.0,12182000.0
ReconciledCostOfRevenue,26434000.0,41543000.0,29045000.0,27845000.0
EBITDA,-22658000.0,-32994000.0,-27118000.0,-21796000.0
EBIT,-38312000.0,-47535000.0,-39641000.0,-33978000.0
NetInterestIncome,-4459000.0,-3892000.0,-3874000.0,-1329000.0
InterestExpense,4459000.0,3892000.0,3874000.0,1329000.0
NormalizedIncome,-39540429.4,-42548837.0,-40869070.0,-27633460.276999
NetIncomeFromContinuingAndDiscontinuedOperation,-42654000.0,-51377000.0,-43529000.0,-34986000.0
TotalExpenses,153499000.0,157942000.0,146090000.0,133551000.0
TotalOperatingIncomeAsReported,-38359000.0,-49859000.0,-40347000.0,-35027000.0
DilutedAverageShares,122468000.0,118719000.0,109751000.0,105858000.0
BasicAverageShares,122468000.0,118719000.0,109751000.0,105858000.0
DilutedEPS,-0.35,-0.43,-0.4,-0.33
BasicEPS,-0.35,-0.43,-0.4,-0.33
DilutedNIAvailtoComStockholders,-42654000.0,-51377000.0,-43529000.0,-34986000.0
NetIncomeCommonStockholders,-42654000.0,-51377000.0,-43529000.0,-34986000.0
NetIncome,-42654000.0,-51377000.0,-43529000.0,-34986000.0
NetIncomeIncludingNoncontrollingInterests,-42654000.0,-51377000.0,-43529000.0,-34986000.0
NetIncomeContinuousOperations,-42654000.0,-51377000.0,-43529000.0,-34986000.0
TaxProvision,-117000.0,-50000.0,14000.0,-321000.0
PretaxIncome,-42771000.0,-51427000.0,-43515000.0,-35307000.0
OtherIncomeExpense,-3075000.0,-6513000.0,-2661000.0,-6371000.0
OtherNonOperatingIncomeExpenses,47000.0,2324000.0,706000.0,1049000.0
SpecialIncomeCharges,-3122000.0,-8837000.0,-3367000.0,-7420000.0
OtherSpecialCharges,2715000.0,6908000.0,3192000.0,7314000.0
RestructuringAndMergernAcquisition,407000.0,1929000.0,175000.0,106000.0
NetNonOperatingInterestIncomeExpense,-4459000.0,-3892000.0,-3874000.0,-1329000.0
InterestExpenseNonOperating,4459000.0,3892000.0,3874000.0,1329000.0
OperatingIncome,-35237000.0,-41022000.0,-36980000.0,-27607000.0
OperatingExpense,115284000.0,105563000.0,107405000.0,96458000.0
DepreciationAmortizationDepletionIncomeStatement,3873000.0,3705000.0,2883000.0,2934000.0
DepreciationAndAmortizationInIncomeStatement,3873000.0,3705000.0,2883000.0,2934000.0
Amortization,3873000.0,3705000.0,2883000.0,2934000.0
AmortizationOfIntangiblesIncomeStatement,3873000.0,3705000.0,2883000.0,2934000.0
ResearchAndDevelopment,20000000.0,14571000.0,13260000.0,11604000.0
SellingGeneralAndAdministration,91411000.0,87287000.0,91262000.0,81920000.0
GrossProfit,80047000.0,64541000.0,70425000.0,68851000.0
CostOfRevenue,38215000.0,52379000.0,38685000.0,37093000.0
TotalRevenue,118262000.0,116920000.0,109110000.0,105944000.0
OperatingRevenue,118262000.0,116920000.0,109110000.0,105944000.0
