,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,462280.0,418140.0,-414120.0,-117867.698689
TaxRateForCalcs,0.26,0.23,0.238,0.310178
NormalizedEBITDA,132087000.0,152395000.0,134950000.0,165995000.0
TotalUnusualItems,1778000.0,1818000.0,-1740000.0,-380000.0
TotalUnusualItemsExcludingGoodwill,1778000.0,1818000.0,-1740000.0,-380000.0
NetIncomeFromContinuingOperationNetMinorityInterest,17172000.0,38022000.0,20141000.0,42244000.0
ReconciledDepreciation,90970000.0,87799000.0,90936000.0,90542000.0
ReconciledCostOfRevenue,415386000.0,403556000.0,402055000.0,407956000.0
EBITDA,133865000.0,154213000.0,133210000.0,165615000.0
EBIT,42895000.0,66414000.0,42274000.0,75073000.0
NetInterestIncome,-19186000.0,-16492000.0,-15490000.0,-13499000.0
InterestExpense,19376000.0,16672000.0,15705000.0,13834000.0
InterestIncome,190000.0,180000.0,215000.0,335000.0
NormalizedIncome,15856280.0,36622140.0,21466880.0,42506132.301311
NetIncomeFromContinuingAndDiscontinuedOperation,17172000.0,38022000.0,20141000.0,42651000.0
TotalExpenses,477107000.0,459598000.0,453672000.0,460512000.0
RentExpenseSupplemental,12082000.0,13018000.0,12236000.0,12033000.0
TotalOperatingIncomeAsReported,46030000.0,69741000.0,47423000.0,72513000.0
DilutedAverageShares,72672000.0,79515000.0,83057000.0,86380000.0
BasicAverageShares,67253000.0,70722000.0,71802000.0,72590000.0
DilutedEPS,0.24,0.49,0.25,0.5
BasicEPS,0.26,0.54,0.28,0.58
DilutedNIAvailtoComStockholders,17615000.0,38802000.0,20809000.0,41259000.0
AverageDilutionEarnings,443000.0,780000.0,668000.0,751000.0
NetIncomeCommonStockholders,17172000.0,38022000.0,20141000.0,40508000.0
NetIncome,17172000.0,38022000.0,20141000.0,42651000.0
NetIncomeIncludingNoncontrollingInterests,17172000.0,38022000.0,20141000.0,42651000.0
NetIncomeDiscontinuousOperations,0.0,0.0,0.0,407000.0
NetIncomeContinuousOperations,17172000.0,38022000.0,20141000.0,42244000.0
TaxProvision,6347000.0,11720000.0,6428000.0,18995000.0
PretaxIncome,23519000.0,49742000.0,26569000.0,61239000.0
OtherIncomeExpense,-3325000.0,-3507000.0,-5364000.0,2225000.0
OtherNonOperatingIncomeExpenses,-3218000.0,-3218000.0,-3218000.0,4635000.0
EarningsFromEquityInterest,-1885000.0,-2107000.0,-406000.0,-2030000.0
GainOnSaleOfSecurity,1778000.0,1818000.0,-1740000.0,-380000.0
NetNonOperatingInterestIncomeExpense,-19186000.0,-16492000.0,-15490000.0,-13499000.0
InterestExpenseNonOperating,19376000.0,16672000.0,15705000.0,13834000.0
InterestIncomeNonOperating,190000.0,180000.0,215000.0,335000.0
OperatingIncome,46030000.0,69741000.0,47423000.0,72513000.0
OperatingExpense,61721000.0,56042000.0,51617000.0,52556000.0
OtherOperatingExpenses,58666000.0,53358000.0,49069000.0,50114000.0
SellingGeneralAndAdministration,3055000.0,2684000.0,2548000.0,2442000.0
GeneralAndAdministrativeExpense,3055000.0,2684000.0,2548000.0,2442000.0
InsuranceAndClaims,3055000.0,2684000.0,2548000.0,2442000.0
GrossProfit,107751000.0,125783000.0,99040000.0,125069000.0
CostOfRevenue,415386000.0,403556000.0,402055000.0,407956000.0
TotalRevenue,523137000.0,529339000.0,501095000.0,533025000.0
OperatingRevenue,523137000.0,529339000.0,501095000.0,533025000.0
