,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.3005,0.253387,0.3037,0.3042
NetIncomeFromContinuingOperationNetMinorityInterest,82645000.0,87356000.0,79850000.0,81552000.0
ReconciledDepreciation,5878000.0,6548000.0,4893000.0,6486000.0
NetInterestIncome,211155000.0,203754000.0,198982000.0,199910000.0
InterestExpense,152797000.0,142676000.0,108352000.0,79678000.0
InterestIncome,363952000.0,346430000.0,307334000.0,279588000.0
NormalizedIncome,82645000.0,87356000.0,79850000.0,81552000.0
NetIncomeFromContinuingAndDiscontinuedOperation,82645000.0,87356000.0,79850000.0,81552000.0
DilutedAverageShares,59808322.0,59832877.0,60627400.0,60514635.0
BasicAverageShares,58949038.0,59024324.0,59930634.0,59999573.0
DilutedEPS,1.38,1.46,1.32,1.35
BasicEPS,1.4,1.48,1.33,1.36
DilutedNIAvailtoComStockholders,82645000.0,87356000.0,79850000.0,81552000.0
NetIncomeCommonStockholders,82645000.0,87356000.0,79850000.0,81552000.0
NetIncome,82645000.0,87356000.0,79850000.0,81552000.0
NetIncomeIncludingNoncontrollingInterests,82645000.0,87356000.0,79850000.0,81552000.0
NetIncomeContinuousOperations,82645000.0,87356000.0,79850000.0,81552000.0
TaxProvision,35511000.0,29647000.0,34834000.0,35659000.0
PretaxIncome,118156000.0,117003000.0,114684000.0,117211000.0
DepreciationAmortizationDepletionIncomeStatement,5878000.0,5665000.0,5671000.0,5957000.0
DepreciationAndAmortizationInIncomeStatement,5878000.0,5665000.0,5671000.0,5957000.0
SellingGeneralAndAdministration,80875000.0,77171000.0,75589000.0,71062000.0
SellingAndMarketingExpense,10375000.0,8095000.0,11786000.0,10899000.0
GeneralAndAdministrativeExpense,70500000.0,69076000.0,63803000.0,60163000.0
OtherGandA,10240000.0,10196000.0,6898000.0,6874000.0
InsuranceAndClaims,4449000.0,4371000.0,3859000.0,3569000.0
SalariesAndWages,55811000.0,54509000.0,53046000.0,49720000.0
TotalRevenue,241650000.0,232950000.0,227872000.0,224500000.0
OperatingRevenue,241650000.0,232950000.0,227872000.0,224500000.0
