,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.036,0.078,0.102,0.096872
NetIncomeFromContinuingOperationNetMinorityInterest,7802000000.0,7408000000.0,8161000000.0,7132000000.0
ReconciledDepreciation,517000000.0,510000000.0,503000000.0,502000000.0
NetInterestIncome,14379000000.0,14158000000.0,14448000000.0,14681000000.0
InterestExpense,19245000000.0,18196000000.0,14207000000.0,10394000000.0
InterestIncome,33624000000.0,32354000000.0,28655000000.0,25075000000.0
NormalizedIncome,7802000000.0,7408000000.0,8161000000.0,7132000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7802000000.0,7408000000.0,8161000000.0,7132000000.0
DilutedAverageShares,8075900000.0,8080700000.0,8182300000.0,8155700000.0
BasicAverageShares,8017100000.0,8040900000.0,8065900000.0,8088300000.0
DilutedEPS,0.9,0.88,0.94,0.85
BasicEPS,0.91,0.88,0.95,0.85
DilutedNIAvailtoComStockholders,7270000000.0,7102000000.0,7656000000.0,6904000000.0
AverageDilutionEarnings,0.0,,,
NetIncomeCommonStockholders,7270000000.0,7102000000.0,7656000000.0,6904000000.0
PreferredStockDividends,532000000.0,306000000.0,505000000.0,228000000.0
NetIncome,7802000000.0,7408000000.0,8161000000.0,7132000000.0
NetIncomeIncludingNoncontrollingInterests,7802000000.0,7408000000.0,8161000000.0,7132000000.0
NetIncomeContinuousOperations,7802000000.0,7408000000.0,8161000000.0,7132000000.0
TaxProvision,293000000.0,626000000.0,928000000.0,765000000.0
PretaxIncome,8095000000.0,8034000000.0,9089000000.0,7897000000.0
GainOnSaleOfSecurity,0.0,0.0,0.0,0.0
SellingGeneralAndAdministration,11822000000.0,12091000000.0,12205000000.0,11450000000.0
SellingAndMarketingExpense,1381000000.0,1469000000.0,1348000000.0,1364000000.0
GeneralAndAdministrativeExpense,10441000000.0,10622000000.0,10857000000.0,10086000000.0
OtherGandA,890000000.0,1221000000.0,939000000.0,925000000.0
SalariesAndWages,9551000000.0,9401000000.0,9918000000.0,9161000000.0
TotalRevenue,25167000000.0,25197000000.0,26258000000.0,24532000000.0
OperatingRevenue,25167000000.0,25197000000.0,26258000000.0,24532000000.0
