,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-2574804.0,0.0,0.0,0.0
TaxRateForCalcs,0.276,0.274,0.267,0.296466
TotalUnusualItems,-9329000.0,,,0.0
TotalUnusualItemsExcludingGoodwill,-9329000.0,,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,42574000.0,17879000.0,20278000.0,21519000.0
ReconciledDepreciation,4502000.0,4196000.0,4072000.0,4018000.0
NetInterestIncome,69218000.0,69632000.0,73053000.0,80217000.0
InterestExpense,47004000.0,46519000.0,33866000.0,23895000.0
InterestIncome,116222000.0,116151000.0,106919000.0,104112000.0
NormalizedIncome,49328196.0,17879000.0,20278000.0,21519000.0
NetIncomeFromContinuingAndDiscontinuedOperation,42574000.0,17879000.0,20278000.0,21519000.0
DilutedAverageShares,57521836.0,58026007.0,59206619.0,59725283.0
BasicAverageShares,57434374.0,57980534.0,59014187.0,59252995.0
DilutedEPS,0.74,0.31,0.34,0.36
BasicEPS,0.74,0.31,0.34,0.36
DilutedNIAvailtoComStockholders,42574000.0,17879000.0,20278000.0,21519000.0
NetIncomeCommonStockholders,42574000.0,17879000.0,20278000.0,21519000.0
OtherunderPreferredStockDividend,,,,0.0
PreferredStockDividends,,,,0.0
NetIncome,42574000.0,17879000.0,20278000.0,21519000.0
NetIncomeIncludingNoncontrollingInterests,42574000.0,17879000.0,20278000.0,21519000.0
NetIncomeContinuousOperations,42574000.0,17879000.0,20278000.0,21519000.0
TaxProvision,16258000.0,6745000.0,7395000.0,9068000.0
PretaxIncome,58832000.0,24624000.0,27673000.0,30587000.0
SpecialIncomeCharges,-9329000.0,,,0.0
RestructuringAndMergernAcquisition,9329000.0,,,0.0
GainOnSaleOfSecurity,46186000.0,0.0,0.0,-7708000.0
DepreciationAmortizationDepletionIncomeStatement,461000.0,462000.0,461000.0,555000.0
DepreciationAndAmortizationInIncomeStatement,461000.0,462000.0,461000.0,555000.0
Amortization,461000.0,462000.0,461000.0,555000.0
AmortizationOfIntangiblesIncomeStatement,461000.0,462000.0,461000.0,555000.0
SellingGeneralAndAdministration,25819000.0,28282000.0,29656000.0,27812000.0
GeneralAndAdministrativeExpense,25819000.0,28282000.0,29656000.0,27812000.0
SalariesAndWages,25819000.0,28282000.0,29656000.0,27812000.0
TotalRevenue,119996000.0,75656000.0,80912000.0,78790000.0
OperatingRevenue,119996000.0,75656000.0,80912000.0,78790000.0
