,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,840000.0,2681070.0,0.0
TaxRateForCalcs,0.041,0.21,0.21,0.21
NormalizedEBITDA,4848000.0,2383000.0,-2476000.0,41251000.0
TotalUnusualItems,0.0,4000000.0,12767000.0,
TotalUnusualItemsExcludingGoodwill,0.0,4000000.0,12767000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,-5130000.0,-3890000.0,3611000.0,33434000.0
ReconciledDepreciation,10995000.0,9798000.0,8894000.0,8733000.0
ReconciledCostOfRevenue,92514000.0,86919000.0,82191000.0,92903000.0
EBITDA,4848000.0,6383000.0,10291000.0,41251000.0
EBIT,-6147000.0,-3415000.0,1397000.0,32518000.0
NetInterestIncome,59000.0,-322000.0,-914000.0,-187000.0
InterestExpense,,322000.0,914000.0,187000.0
NormalizedIncome,-5130000.0,-7050000.0,-6474930.0,33434000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-5130000.0,-3890000.0,3611000.0,33434000.0
TotalExpenses,158160000.0,153393000.0,149600000.0,163991000.0
TotalOperatingIncomeAsReported,-6147000.0,-7519000.0,-11756000.0,-7017000.0
DilutedAverageShares,25613441.0,25555219.0,29273258.0,30465279.0
BasicAverageShares,25613441.0,25555219.0,25448452.0,25326063.0
DilutedEPS,-0.2,-0.15,-0.28,-0.16
BasicEPS,-0.2,-0.15,0.14,1.32
DilutedNIAvailtoComStockholders,-5130000.0,-3890000.0,-8087000.0,33434000.0
AverageDilutionEarnings,,,-11698000.0,
NetIncomeCommonStockholders,-5130000.0,-3890000.0,3611000.0,33434000.0
NetIncome,-5130000.0,-3890000.0,3611000.0,33434000.0
NetIncomeIncludingNoncontrollingInterests,-5130000.0,-3890000.0,3611000.0,33434000.0
NetIncomeContinuousOperations,-5130000.0,-3890000.0,3611000.0,33434000.0
TaxProvision,-219000.0,153000.0,-3128000.0,-1103000.0
PretaxIncome,-5349000.0,-3737000.0,483000.0,32331000.0
OtherIncomeExpense,739000.0,4104000.0,13153000.0,39535000.0
OtherNonOperatingIncomeExpenses,739000.0,104000.0,386000.0,-670000.0
SpecialIncomeCharges,0.0,4000000.0,12767000.0,
OtherSpecialCharges,,-4000000.0,-12767000.0,
NetNonOperatingInterestIncomeExpense,59000.0,-322000.0,-914000.0,-187000.0
TotalOtherFinanceCost,-59000.0,,,
InterestExpenseNonOperating,,322000.0,914000.0,187000.0
OperatingIncome,-6147000.0,-7519000.0,-11756000.0,-7017000.0
OperatingExpense,65646000.0,66474000.0,67409000.0,71088000.0
ResearchAndDevelopment,24792000.0,24852000.0,25661000.0,26255000.0
SellingGeneralAndAdministration,40854000.0,41622000.0,41748000.0,44833000.0
SellingAndMarketingExpense,25011000.0,25754000.0,25029000.0,26995000.0
GeneralAndAdministrativeExpense,15843000.0,15868000.0,16719000.0,17838000.0
OtherGandA,15843000.0,15868000.0,16719000.0,17838000.0
GrossProfit,59499000.0,58955000.0,55653000.0,64071000.0
CostOfRevenue,92514000.0,86919000.0,82191000.0,92903000.0
TotalRevenue,152013000.0,145874000.0,137844000.0,156974000.0
OperatingRevenue,152013000.0,145874000.0,137844000.0,156974000.0
