,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-157271000.0,-136376000.0,-117609000.0,-111229000.0
TotalUnusualItems,-272000.0,-2096000.0,-3369000.0,-7691000.0
TotalUnusualItemsExcludingGoodwill,-272000.0,-2096000.0,-3369000.0,-7691000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-176999000.0,-157899000.0,-140156000.0,-137591000.0
ReconciledDepreciation,1639000.0,1637000.0,1633000.0,1660000.0
ReconciledCostOfRevenue,598000.0,599000.0,651000.0,647000.0
EBITDA,-157543000.0,-138472000.0,-120978000.0,-118920000.0
EBIT,-159182000.0,-140109000.0,-122611000.0,-120580000.0
NetInterestIncome,-16513000.0,-16080000.0,-15968000.0,-15898000.0
InterestExpense,20306000.0,20594000.0,20121000.0,19990000.0
InterestIncome,3793000.0,4514000.0,4153000.0,4092000.0
NormalizedIncome,-176727000.0,-155803000.0,-136787000.0,-129900000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-176999000.0,-157899000.0,-140156000.0,-137591000.0
TotalExpenses,161511000.0,144209000.0,124620000.0,123411000.0
TotalOperatingIncomeAsReported,-157692000.0,-146099000.0,-126163000.0,-129232000.0
DilutedAverageShares,163308632.0,160535435.0,152645635.0,149344380.0
BasicAverageShares,163308632.0,160535435.0,152645635.0,149344380.0
DilutedEPS,-1.08,-0.98,-0.92,-0.92
BasicEPS,-1.08,-0.98,-0.92,-0.92
DilutedNIAvailtoComStockholders,-176999000.0,-157899000.0,-140156000.0,-137591000.0
NetIncomeCommonStockholders,-176999000.0,-157899000.0,-140156000.0,-137591000.0
NetIncome,-176999000.0,-157899000.0,-140156000.0,-137591000.0
MinorityInterests,2489000.0,2804000.0,2576000.0,2979000.0
NetIncomeIncludingNoncontrollingInterests,-179488000.0,-160703000.0,-142732000.0,-140570000.0
NetIncomeContinuousOperations,-179488000.0,-160703000.0,-142732000.0,-140570000.0
PretaxIncome,-179488000.0,-160703000.0,-142732000.0,-140570000.0
OtherIncomeExpense,-5555000.0,-2055000.0,-3970000.0,-3131000.0
OtherNonOperatingIncomeExpenses,-5283000.0,41000.0,-601000.0,4560000.0
SpecialIncomeCharges,-272000.0,-3531000.0,-3369000.0,-7691000.0
GainOnSaleOfPPE,0.0,0.0,,0.0
ImpairmentOfCapitalAssets,0.0,0.0,0.0,
RestructuringAndMergernAcquisition,272000.0,3531000.0,3369000.0,20411000.0
GainOnSaleOfSecurity,,1435000.0,,
NetNonOperatingInterestIncomeExpense,-16513000.0,-16080000.0,-15968000.0,-15898000.0
InterestExpenseNonOperating,20306000.0,20594000.0,20121000.0,19990000.0
InterestIncomeNonOperating,3793000.0,4514000.0,4153000.0,4092000.0
OperatingIncome,-157420000.0,-142568000.0,-122794000.0,-121541000.0
OperatingExpense,160913000.0,143610000.0,123969000.0,122764000.0
ResearchAndDevelopment,125136000.0,107488000.0,92861000.0,90902000.0
SellingGeneralAndAdministration,35777000.0,36122000.0,31108000.0,31862000.0
GrossProfit,3493000.0,1042000.0,1175000.0,1223000.0
CostOfRevenue,598000.0,599000.0,651000.0,647000.0
TotalRevenue,4091000.0,1641000.0,1826000.0,1870000.0
OperatingRevenue,4091000.0,1641000.0,1826000.0,1870000.0
