,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,24966387.109511,-10547613.763621,22043817.659136,139060750.0
TaxRateForCalcs,0.299868,0.173801,0.290919,0.25
NormalizedEBITDA,833201000.0,1174397000.0,2902222000.0,894586000.0
TotalUnusualItems,83258000.0,-60688000.0,75773000.0,556243000.0
TotalUnusualItemsExcludingGoodwill,83258000.0,-60688000.0,75773000.0,556243000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1170290000.0,1308733000.0,2746844000.0,383120000.0
ReconciledCostOfRevenue,12929725000.0,14140731000.0,13928282000.0,12654182000.0
EBITDA,916459000.0,1113709000.0,2977995000.0,1450829000.0
EBIT,916459000.0,1113709000.0,2977995000.0,1450829000.0
NetInterestIncome,349143000.0,338735000.0,263491000.0,255314000.0
InterestIncome,349143000.0,338735000.0,263491000.0,280924000.0
NormalizedIncome,1111998387.109511,1358873386.236379,2693114817.659136,-34062250.0
NetIncomeFromContinuingAndDiscontinuedOperation,1170290000.0,1308733000.0,2746844000.0,383120000.0
TotalExpenses,16894246000.0,18370212000.0,17300085000.0,15619564000.0
TotalOperatingIncomeAsReported,911258000.0,1080934000.0,2977995000.0,387391000.0
DilutedAverageShares,1189716683.0,1210814429.0,1217259735.0,1201542053.0
BasicAverageShares,1163928616.0,1186424395.0,1182914191.0,1183924341.0
DilutedEPS,0.96,1.08,2.25,0.3
BasicEPS,0.99,1.11,2.31,0.33
DilutedNIAvailtoComStockholders,1170290000.0,1308733000.0,2746844000.0,383120000.0
NetIncomeCommonStockholders,1170290000.0,1308733000.0,2746844000.0,383120000.0
NetIncome,1170290000.0,1308733000.0,2746844000.0,383120000.0
MinorityInterests,,9228000.0,-2902000.0,
NetIncomeIncludingNoncontrollingInterests,1170290000.0,1299505000.0,2749746000.0,371910000.0
NetIncomeContinuousOperations,1170290000.0,1299505000.0,2749746000.0,371910000.0
TaxProvision,501237000.0,273366000.0,1128156000.0,630779000.0
PretaxIncome,1671527000.0,1572871000.0,3877902000.0,1002689000.0
OtherIncomeExpense,405925000.0,120427000.0,636416000.0,-380201000.0
OtherNonOperatingIncomeExpenses,309914000.0,172310000.0,554973000.0,-936375000.0
SpecialIncomeCharges,-14265000.0,-39989000.0,-2099000.0,-171164000.0
WriteOff,9064000.0,7214000.0,2099000.0,100004000.0
ImpairmentOfCapitalAssets,5201000.0,32775000.0,,71813000.0
EarningsFromEquityInterest,12753000.0,8805000.0,5670000.0,-69000.0
GainOnSaleOfSecurity,97523000.0,-20699000.0,77872000.0,727407000.0
NetNonOperatingInterestIncomeExpense,349143000.0,338735000.0,263491000.0,255314000.0
InterestIncomeNonOperating,349143000.0,338735000.0,263491000.0,280924000.0
OperatingIncome,916459000.0,1113709000.0,2977995000.0,1127576000.0
OperatingExpense,3964521000.0,4229481000.0,3371803000.0,2965382000.0
ResearchAndDevelopment,471631000.0,474789000.0,456740000.0,508663000.0
SellingGeneralAndAdministration,3492890000.0,3754692000.0,2915063000.0,3125091000.0
SellingAndMarketingExpense,1630543000.0,1649458000.0,1293814000.0,1332765000.0
GeneralAndAdministrativeExpense,1862347000.0,2105234000.0,1621249000.0,1792326000.0
OtherGandA,1862347000.0,2105234000.0,1621249000.0,1792326000.0
GrossProfit,4880980000.0,5343190000.0,6349798000.0,4092958000.0
CostOfRevenue,12929725000.0,14140731000.0,13928282000.0,12654182000.0
TotalRevenue,17810705000.0,19483921000.0,20278080000.0,16747140000.0
OperatingRevenue,17810705000.0,19483921000.0,20278080000.0,16747140000.0
