,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1819440.0,-4311.879139,-212940.0,0.0
TaxRateForCalcs,0.21,0.03194,0.21,0.21
NormalizedEBITDA,34544000.0,42943000.0,8370000.0,23125000.0
TotalUnusualItems,-8664000.0,-135000.0,-1014000.0,
TotalUnusualItemsExcludingGoodwill,-8664000.0,-135000.0,-1014000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,11923000.0,30849000.0,-12008000.0,11304000.0
ReconciledDepreciation,12924000.0,12346000.0,12004000.0,11830000.0
ReconciledCostOfRevenue,36794000.0,37116000.0,35271000.0,33363000.0
EBITDA,25880000.0,42808000.0,7356000.0,23125000.0
EBIT,12956000.0,30462000.0,-4648000.0,11295000.0
NetInterestIncome,12541000.0,11072000.0,9210000.0,6553000.0
InterestExpense,1489000.0,1470000.0,1455000.0,1464000.0
InterestIncome,14030000.0,12542000.0,10665000.0,8017000.0
NormalizedIncome,18767560.0,30979688.120861,-11206940.0,11304000.0
NetIncomeFromContinuingAndDiscontinuedOperation,11923000.0,30849000.0,-12008000.0,11304000.0
TotalExpenses,143118000.0,126519000.0,153283000.0,132838000.0
TotalOperatingIncomeAsReported,-1074000.0,17920000.0,-15313000.0,3278000.0
DilutedAverageShares,72102000.0,71801000.0,60187000.0,71283000.0
BasicAverageShares,61101000.0,60700000.0,60187000.0,59888000.0
DilutedEPS,0.19,0.45,-0.2,0.18
BasicEPS,0.2,0.51,-0.2,0.19
DilutedNIAvailtoComStockholders,13398000.0,32307000.0,-12008000.0,11304000.0
AverageDilutionEarnings,1475000.0,1458000.0,,
NetIncomeCommonStockholders,11923000.0,30849000.0,-12008000.0,11304000.0
NetIncome,11923000.0,30849000.0,-12008000.0,11304000.0
MinorityInterests,-1549000.0,2783000.0,-5277000.0,805000.0
NetIncomeIncludingNoncontrollingInterests,13472000.0,28066000.0,-6731000.0,10499000.0
NetIncomeContinuousOperations,13472000.0,28066000.0,-6731000.0,10499000.0
TaxProvision,-2005000.0,926000.0,628000.0,-668000.0
PretaxIncome,11467000.0,28992000.0,-6103000.0,9831000.0
OtherIncomeExpense,-8664000.0,-135000.0,-1014000.0,
SpecialIncomeCharges,-8664000.0,-135000.0,-1014000.0,
RestructuringAndMergernAcquisition,8664000.0,135000.0,1014000.0,
NetNonOperatingInterestIncomeExpense,12541000.0,11072000.0,9210000.0,6553000.0
InterestExpenseNonOperating,1489000.0,1470000.0,1455000.0,1464000.0
InterestIncomeNonOperating,14030000.0,12542000.0,10665000.0,8017000.0
OperatingIncome,7590000.0,18055000.0,-14299000.0,7119000.0
OperatingExpense,106324000.0,89403000.0,118012000.0,99475000.0
ResearchAndDevelopment,26722000.0,26802000.0,27105000.0,28022000.0
SellingGeneralAndAdministration,79602000.0,62601000.0,90907000.0,71453000.0
SellingAndMarketingExpense,61576000.0,62749000.0,61931000.0,66295000.0
GeneralAndAdministrativeExpense,18026000.0,-148000.0,28976000.0,5158000.0
OtherGandA,18026000.0,-148000.0,28976000.0,5158000.0
SalariesAndWages,,13470000.0,,
GrossProfit,113914000.0,107458000.0,103713000.0,106594000.0
CostOfRevenue,36794000.0,37116000.0,35271000.0,33363000.0
TotalRevenue,150708000.0,144574000.0,138984000.0,139957000.0
OperatingRevenue,150708000.0,144574000.0,138984000.0,139957000.0
