,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.191502,0.180513,0.216183,0.126871,0.170115
NormalizedEBITDA,25892000.0,21452000.0,21241000.0,32292000.0,30455000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
ReconciledDepreciation,14513000.0,11577000.0,12906000.0,12582000.0,17089000.0
ReconciledCostOfRevenue,69227000.0,67013000.0,61651000.0,61014000.0,64490000.0
EBITDA,25892000.0,21452000.0,21241000.0,32292000.0,30455000.0
EBIT,11379000.0,9875000.0,8335000.0,19710000.0,13366000.0
NetInterestIncome,1801000.0,3293000.0,2318000.0,3802000.0,-1427000.0
InterestExpense,,,,,1427000.0
NormalizedIncome,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
NetIncomeFromContinuingAndDiscontinuedOperation,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
TotalExpenses,250158000.0,251553000.0,243563000.0,236766000.0,236585000.0
TotalOperatingIncomeAsReported,11379000.0,9875000.0,8335000.0,19710000.0,13366000.0
DilutedAverageShares,147625000.0,150007000.0,150436000.0,150518000.0,148127000.0
BasicAverageShares,143915000.0,144248000.0,144739000.0,143555000.0,142385000.0
DilutedEPS,0.04,0.04,0.02,0.1,0.03
BasicEPS,0.04,0.04,0.03,0.1,0.03
DilutedNIAvailtoComStockholders,5647000.0,5744000.0,3656000.0,15117000.0,4982000.0
NetIncomeCommonStockholders,5647000.0,5744000.0,3656000.0,15117000.0,4982000.0
OtherunderPreferredStockDividend,729000.0,740000.0,470000.0,1106000.0,648000.0
PreferredStockDividends,4280000.0,4307000.0,4224000.0,4306000.0,4278000.0
NetIncome,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
NetIncomeIncludingNoncontrollingInterests,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
NetIncomeContinuousOperations,10656000.0,10791000.0,8350000.0,20529000.0,9908000.0
TaxProvision,2524000.0,2377000.0,2303000.0,2983000.0,2031000.0
PretaxIncome,13180000.0,13168000.0,10653000.0,23512000.0,11939000.0
NetNonOperatingInterestIncomeExpense,1801000.0,3293000.0,2318000.0,3802000.0,-1427000.0
TotalOtherFinanceCost,-1801000.0,-3293000.0,-2318000.0,,1427000.0
InterestExpenseNonOperating,,,,,1427000.0
OperatingIncome,11379000.0,9875000.0,8335000.0,19710000.0,13366000.0
OperatingExpense,180931000.0,184540000.0,181912000.0,175752000.0,172095000.0
ResearchAndDevelopment,61026000.0,63316000.0,62518000.0,60724000.0,59107000.0
SellingGeneralAndAdministration,119905000.0,121224000.0,119394000.0,115028000.0,112988000.0
SellingAndMarketingExpense,87930000.0,88605000.0,86210000.0,83325000.0,81566000.0
GeneralAndAdministrativeExpense,31975000.0,32619000.0,33184000.0,31703000.0,31422000.0
OtherGandA,31975000.0,32619000.0,33184000.0,31703000.0,31422000.0
SalariesAndWages,,29394000.0,,,
GrossProfit,192310000.0,194415000.0,190247000.0,195462000.0,185461000.0
CostOfRevenue,69227000.0,67013000.0,61651000.0,61014000.0,64490000.0
TotalRevenue,261537000.0,261428000.0,251898000.0,256476000.0,249951000.0
OperatingRevenue,261537000.0,261428000.0,251898000.0,256476000.0,249951000.0
