,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.12,0.16,0.21,0.21
NormalizedEBITDA,42670000.0,37136000.0,15854000.0,22601000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4210000.0,2752000.0,-3842000.0,-663000.0
ReconciledDepreciation,18116000.0,16516000.0,14779000.0,13197000.0
ReconciledCostOfRevenue,189323000.0,178636000.0,151523000.0,147467000.0
EBITDA,42670000.0,37136000.0,15854000.0,22601000.0
EBIT,24554000.0,20620000.0,1075000.0,9404000.0
NetInterestIncome,-9325000.0,-9058000.0,-7886000.0,-6922000.0
InterestExpense,9325000.0,9058000.0,7886000.0,6922000.0
NormalizedIncome,4210000.0,2752000.0,-3842000.0,-663000.0
NetIncomeFromContinuingAndDiscontinuedOperation,4210000.0,2752000.0,-3842000.0,-663000.0
TotalExpenses,239813000.0,230298000.0,197499000.0,198061000.0
TotalOperatingIncomeAsReported,24694000.0,19581000.0,-232000.0,3766000.0
DilutedAverageShares,60214000.0,57428000.0,56664000.0,55286000.0
BasicAverageShares,59366000.0,56734000.0,56664000.0,55286000.0
DilutedEPS,0.07,0.05,-0.07,-0.01
BasicEPS,0.07,0.05,-0.07,-0.01
DilutedNIAvailtoComStockholders,4210000.0,2752000.0,-3842000.0,-663000.0
NetIncomeCommonStockholders,4210000.0,2752000.0,-3842000.0,-663000.0
NetIncome,4210000.0,2752000.0,-3842000.0,-663000.0
MinorityInterests,-9191000.0,-6959000.0,5549000.0,2154000.0
NetIncomeIncludingNoncontrollingInterests,13401000.0,9711000.0,-9391000.0,-2817000.0
NetIncomeContinuousOperations,13401000.0,9711000.0,-9391000.0,-2817000.0
TaxProvision,1828000.0,1851000.0,2580000.0,5299000.0
PretaxIncome,15229000.0,11562000.0,-6811000.0,2482000.0
OtherIncomeExpense,-140000.0,1039000.0,1307000.0,5638000.0
OtherNonOperatingIncomeExpenses,-140000.0,1039000.0,1307000.0,5638000.0
NetNonOperatingInterestIncomeExpense,-9325000.0,-9058000.0,-7886000.0,-6922000.0
InterestExpenseNonOperating,9325000.0,9058000.0,7886000.0,6922000.0
OperatingIncome,24694000.0,19581000.0,-232000.0,3766000.0
OperatingExpense,50490000.0,51662000.0,45976000.0,50594000.0
SellingGeneralAndAdministration,50490000.0,51662000.0,45976000.0,50594000.0
GrossProfit,75184000.0,71243000.0,45744000.0,54360000.0
CostOfRevenue,189323000.0,178636000.0,151523000.0,147467000.0
TotalRevenue,264507000.0,249879000.0,197267000.0,201827000.0
OperatingRevenue,264507000.0,249879000.0,197267000.0,201827000.0
