,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-6850000.0,100800.0,3380000.0,4523365.928976
TaxRateForCalcs,0.274,0.252,0.2,0.252702
NormalizedEBITDA,368400000.0,355100000.0,377200000.0,273100000.0
TotalUnusualItems,-25000000.0,400000.0,16900000.0,17900000.0
TotalUnusualItemsExcludingGoodwill,-25000000.0,400000.0,16900000.0,17900000.0
NetIncomeFromContinuingOperationNetMinorityInterest,175900000.0,190400000.0,235500000.0,145200000.0
ReconciledDepreciation,51500000.0,51400000.0,51300000.0,49300000.0
ReconciledCostOfRevenue,531600000.0,530200000.0,571100000.0,475600000.0
EBITDA,343400000.0,355500000.0,394100000.0,291000000.0
EBIT,291900000.0,304100000.0,342800000.0,241700000.0
NetInterestIncome,-49600000.0,-49700000.0,-48600000.0,-47400000.0
InterestExpense,49600000.0,49700000.0,48600000.0,47400000.0
NormalizedIncome,194050000.0,190100800.0,221980000.0,131823365.928976
NetIncomeFromContinuingAndDiscontinuedOperation,175900000.0,190400000.0,235500000.0,145200000.0
TotalExpenses,750800000.0,743600000.0,783100000.0,671100000.0
DilutedAverageShares,281300000.0,280400000.0,279400000.0,279018000.0
BasicAverageShares,279900000.0,279400000.0,278600000.0,278048000.0
DilutedEPS,0.62,0.67,0.83,0.51
BasicEPS,0.62,0.67,0.83,0.51
DilutedNIAvailtoComStockholders,173300000.0,187600000.0,231500000.0,142600000.0
NetIncomeCommonStockholders,173300000.0,187600000.0,231500000.0,142600000.0
OtherunderPreferredStockDividend,2600000.0,2800000.0,4000000.0,2600000.0
NetIncome,175900000.0,190400000.0,235500000.0,145200000.0
NetIncomeIncludingNoncontrollingInterests,175900000.0,190400000.0,235500000.0,145200000.0
NetIncomeContinuousOperations,175900000.0,190400000.0,235500000.0,145200000.0
TaxProvision,66400000.0,64000000.0,58700000.0,49100000.0
PretaxIncome,242300000.0,254400000.0,294200000.0,194300000.0
OtherIncomeExpense,-23200000.0,1500000.0,17900000.0,19600000.0
OtherNonOperatingIncomeExpenses,1800000.0,1100000.0,1000000.0,1700000.0
SpecialIncomeCharges,-25000000.0,400000.0,9900000.0,11400000.0
GainOnSaleOfBusiness,2800000.0,400000.0,5700000.0,3600000.0
RestructuringAndMergernAcquisition,27800000.0,0.0,-4200000.0,-7800000.0
GainOnSaleOfSecurity,,,7000000.0,
NetNonOperatingInterestIncomeExpense,-49600000.0,-49700000.0,-48600000.0,-47400000.0
InterestExpenseNonOperating,49600000.0,49700000.0,48600000.0,47400000.0
OperatingIncome,315100000.0,302600000.0,324900000.0,222100000.0
OperatingExpense,219200000.0,213400000.0,212000000.0,195500000.0
OtherOperatingExpenses,167700000.0,162000000.0,160700000.0,146200000.0
DepreciationAmortizationDepletionIncomeStatement,51500000.0,51400000.0,51300000.0,49300000.0
DepreciationAndAmortizationInIncomeStatement,51500000.0,51400000.0,51300000.0,49300000.0
Amortization,41100000.0,41200000.0,41400000.0,38400000.0
AmortizationOfIntangiblesIncomeStatement,41100000.0,41200000.0,41400000.0,38400000.0
DepreciationIncomeStatement,10400000.0,10200000.0,9900000.0,10900000.0
GrossProfit,534300000.0,516000000.0,536900000.0,417600000.0
CostOfRevenue,531600000.0,530200000.0,571100000.0,475600000.0
TotalRevenue,1065900000.0,1046200000.0,1108000000.0,893200000.0
OperatingRevenue,1065900000.0,1046200000.0,1108000000.0,893200000.0
