,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.21,0.02,0.007505
NetIncomeFromContinuingOperationNetMinorityInterest,272542000.0,-21540000.0,259425000.0,81914000.0
NetInterestIncome,-29013000.0,-15443000.0,-19690000.0,-20464000.0
InterestExpense,29013000.0,20256000.0,19690000.0,20464000.0
InterestIncome,0.0,4813000.0,0.0,0.0
NormalizedIncome,272542000.0,-21540000.0,259425000.0,81914000.0
NetIncomeFromContinuingAndDiscontinuedOperation,272542000.0,-21540000.0,259425000.0,81914000.0
DilutedAverageShares,222887375.0,218957218.0,221628214.0,
BasicAverageShares,218934153.0,218957218.0,218619411.0,
DilutedEPS,1.22,-0.1,1.17,
BasicEPS,1.24,-0.1,1.19,
DilutedNIAvailtoComStockholders,272542000.0,-21540000.0,259425000.0,81914000.0
NetIncomeCommonStockholders,272542000.0,-21540000.0,259425000.0,81914000.0
NetIncome,272542000.0,-21540000.0,259425000.0,81914000.0
MinorityInterests,-24592000.0,-1264000.0,-41956000.0,-17802000.0
NetIncomeIncludingNoncontrollingInterests,297134000.0,-20276000.0,301381000.0,99716000.0
NetIncomeContinuousOperations,297134000.0,-20276000.0,301381000.0,99716000.0
TaxProvision,-531000.0,8969000.0,7112000.0,754000.0
PretaxIncome,296603000.0,-11307000.0,308493000.0,100470000.0
OperatingExpense,24080000.0,30013000.0,30921000.0,-10743000.0
OtherOperatingExpenses,,868000.0,863000.0,
SellingGeneralAndAdministration,9937000.0,15263000.0,14062000.0,22327000.0
GeneralAndAdministrativeExpense,9937000.0,15263000.0,14062000.0,22327000.0
TotalRevenue,320683000.0,18706000.0,339414000.0,89727000.0
OperatingRevenue,320683000.0,18706000.0,339414000.0,89727000.0
