,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-109410000.0,-74340000.0,14520000.0,-28080000.0
TaxRateForCalcs,0.21,0.21,0.363,0.054
NormalizedEBITDA,681000000.0,666000000.0,707000000.0,578000000.0
TotalUnusualItems,-521000000.0,-354000000.0,40000000.0,-520000000.0
TotalUnusualItemsExcludingGoodwill,-521000000.0,-354000000.0,40000000.0,-520000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5000000.0,-64000000.0,345000000.0,-130000000.0
ReconciledDepreciation,172000000.0,176000000.0,175000000.0,170000000.0
ReconciledCostOfRevenue,52887000000.0,51519000000.0,48601000000.0,49707000000.0
EBITDA,160000000.0,312000000.0,747000000.0,58000000.0
EBIT,-12000000.0,136000000.0,572000000.0,-112000000.0
NetInterestIncome,-14000000.0,-15000000.0,-28000000.0,-25000000.0
InterestExpense,14000000.0,15000000.0,28000000.0,25000000.0
NormalizedIncome,416590000.0,215660000.0,319520000.0,361920000.0
NetIncomeFromContinuingAndDiscontinuedOperation,5000000.0,-64000000.0,345000000.0,-130000000.0
TotalExpenses,54256000000.0,52962000000.0,49955000000.0,51068000000.0
TotalOperatingIncomeAsReported,-14000000.0,137000000.0,572000000.0,-119000000.0
DilutedAverageShares,250000000.0,254000000.0,258000000.0,261000000.0
BasicAverageShares,249000000.0,254000000.0,256000000.0,261000000.0
DilutedEPS,0.02,-0.25,1.34,-0.5
BasicEPS,0.02,-0.25,1.35,-0.5
DilutedNIAvailtoComStockholders,5000000.0,-64000000.0,345000000.0,-130000000.0
NetIncomeCommonStockholders,5000000.0,-64000000.0,345000000.0,-130000000.0
NetIncome,5000000.0,-64000000.0,345000000.0,-130000000.0
MinorityInterests,-1000000.0,2000000.0,-2000000.0,0.0
NetIncomeIncludingNoncontrollingInterests,6000000.0,-66000000.0,347000000.0,-130000000.0
NetIncomeContinuousOperations,6000000.0,-66000000.0,347000000.0,-130000000.0
TaxProvision,-32000000.0,187000000.0,197000000.0,-7000000.0
PretaxIncome,-26000000.0,121000000.0,544000000.0,-137000000.0
OtherIncomeExpense,-519000000.0,-355000000.0,40000000.0,-513000000.0
OtherNonOperatingIncomeExpenses,2000000.0,-1000000.0,,7000000.0
SpecialIncomeCharges,-521000000.0,-354000000.0,40000000.0,-520000000.0
GainOnSaleOfBusiness,,0.0,0.0,0.0
OtherSpecialCharges,-41000000.0,-46000000.0,-76000000.0,-207000000.0
ImpairmentOfCapitalAssets,537000000.0,367000000.0,20000000.0,710000000.0
RestructuringAndMergernAcquisition,25000000.0,33000000.0,16000000.0,17000000.0
NetNonOperatingInterestIncomeExpense,-14000000.0,-15000000.0,-28000000.0,-25000000.0
InterestExpenseNonOperating,14000000.0,15000000.0,28000000.0,25000000.0
OperatingIncome,507000000.0,491000000.0,532000000.0,401000000.0
OperatingExpense,1261000000.0,1336000000.0,1253000000.0,1262000000.0
DepreciationAmortizationDepletionIncomeStatement,64000000.0,69000000.0,74000000.0,71000000.0
DepreciationAndAmortizationInIncomeStatement,64000000.0,69000000.0,74000000.0,71000000.0
Amortization,64000000.0,69000000.0,74000000.0,71000000.0
AmortizationOfIntangiblesIncomeStatement,64000000.0,69000000.0,74000000.0,71000000.0
SellingGeneralAndAdministration,1197000000.0,1267000000.0,1179000000.0,1191000000.0
GrossProfit,1768000000.0,1827000000.0,1785000000.0,1663000000.0
CostOfRevenue,52995000000.0,51626000000.0,48702000000.0,49806000000.0
TotalRevenue,54763000000.0,53453000000.0,50487000000.0,51469000000.0
OperatingRevenue,54763000000.0,53453000000.0,50487000000.0,51469000000.0
