,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.066,0.341,0.159,0.153333
NormalizedEBITDA,20195000.0,16003000.0,13659000.0,16529000.0
NetIncomeFromContinuingOperationNetMinorityInterest,16953000.0,9373000.0,9598000.0,11927000.0
ReconciledDepreciation,4266000.0,4192000.0,3723000.0,3478000.0
ReconciledCostOfRevenue,123286000.0,124546000.0,121957000.0,119619000.0
EBITDA,20195000.0,16003000.0,13659000.0,16529000.0
EBIT,15929000.0,11811000.0,9936000.0,13051000.0
NetInterestIncome,2658000.0,2255000.0,1640000.0,1139000.0
InterestIncome,2658000.0,2255000.0,1640000.0,
NormalizedIncome,16953000.0,9373000.0,9598000.0,11927000.0
NetIncomeFromContinuingAndDiscontinuedOperation,16953000.0,9373000.0,9598000.0,11927000.0
TotalExpenses,247906000.0,249205000.0,240072000.0,231452000.0
TotalOperatingIncomeAsReported,15929000.0,11811000.0,9936000.0,13051000.0
DilutedAverageShares,69579000.0,69657000.0,69708000.0,69857000.0
BasicAverageShares,66288000.0,66271000.0,66044000.0,65558000.0
DilutedEPS,0.24,0.13,0.14,0.17
BasicEPS,0.26,0.14,0.15,0.18
DilutedNIAvailtoComStockholders,16953000.0,9373000.0,9598000.0,11927000.0
NetIncomeCommonStockholders,16953000.0,9373000.0,9598000.0,11927000.0
NetIncome,16953000.0,9373000.0,9598000.0,11927000.0
NetIncomeIncludingNoncontrollingInterests,16953000.0,9373000.0,9598000.0,11927000.0
NetIncomeContinuousOperations,16953000.0,9373000.0,9598000.0,11927000.0
TaxProvision,1190000.0,4856000.0,1811000.0,2160000.0
PretaxIncome,18143000.0,14229000.0,11409000.0,14087000.0
OtherIncomeExpense,-444000.0,163000.0,-167000.0,-103000.0
OtherNonOperatingIncomeExpenses,-444000.0,163000.0,-167000.0,-103000.0
NetNonOperatingInterestIncomeExpense,2658000.0,2255000.0,1640000.0,1139000.0
TotalOtherFinanceCost,,,,-1139000.0
InterestIncomeNonOperating,2658000.0,2255000.0,1640000.0,
OperatingIncome,15929000.0,11811000.0,9936000.0,13051000.0
OperatingExpense,124620000.0,124659000.0,118115000.0,111833000.0
ResearchAndDevelopment,46963000.0,45341000.0,43173000.0,38551000.0
SellingGeneralAndAdministration,77657000.0,79318000.0,74942000.0,73282000.0
SellingAndMarketingExpense,52356000.0,54596000.0,51865000.0,51186000.0
GeneralAndAdministrativeExpense,25301000.0,24722000.0,23077000.0,22096000.0
OtherGandA,25301000.0,24722000.0,23077000.0,22096000.0
GrossProfit,140549000.0,136470000.0,128051000.0,124884000.0
CostOfRevenue,123286000.0,124546000.0,121957000.0,119619000.0
TotalRevenue,263835000.0,261016000.0,250008000.0,244503000.0
OperatingRevenue,263835000.0,261016000.0,250008000.0,244503000.0
