,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.20005,0.21903,0.21,0.21,0.21
NormalizedEBITDA,-8298000.0,744000.0,3091000.0,5067000.0,-720000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
ReconciledDepreciation,2784000.0,2649000.0,1884000.0,1917000.0,1819000.0
ReconciledCostOfRevenue,30060000.0,33626000.0,31408000.0,28193000.0,30610000.0
EBITDA,-8298000.0,744000.0,3091000.0,5067000.0,-720000.0
EBIT,-11082000.0,-1905000.0,1207000.0,3150000.0,-2539000.0
NetInterestIncome,-805000.0,-775000.0,-759000.0,-620000.0,-703000.0
InterestExpense,805000.0,775000.0,759000.0,620000.0,703000.0
NormalizedIncome,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
TotalExpenses,36617000.0,39889000.0,38967000.0,35300000.0,37441000.0
TotalOperatingIncomeAsReported,-11222000.0,-2163000.0,832000.0,2718000.0,-2684000.0
DilutedAverageShares,63149000.0,62838000.0,62587000.0,63726000.0,62204000.0
BasicAverageShares,63149000.0,62838000.0,62587000.0,62388000.0,62204000.0
DilutedEPS,-0.15,-0.03,-0.004937,0.01,-0.02
BasicEPS,-0.15,-0.03,-0.004937,0.01,-0.02
DilutedNIAvailtoComStockholders,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
NetIncomeCommonStockholders,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
NetIncome,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
NetIncomeIncludingNoncontrollingInterests,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
NetIncomeContinuousOperations,-9509000.0,-2093000.0,-309000.0,461000.0,-1156000.0
TaxProvision,-2378000.0,-587000.0,757000.0,2069000.0,-2086000.0
PretaxIncome,-11887000.0,-2680000.0,448000.0,2530000.0,-3242000.0
OtherIncomeExpense,140000.0,258000.0,375000.0,432000.0,145000.0
OtherNonOperatingIncomeExpenses,140000.0,258000.0,375000.0,432000.0,145000.0
NetNonOperatingInterestIncomeExpense,-805000.0,-775000.0,-759000.0,-620000.0,-703000.0
InterestExpenseNonOperating,805000.0,775000.0,759000.0,620000.0,703000.0
OperatingIncome,-11222000.0,-2163000.0,832000.0,2718000.0,-2684000.0
OperatingExpense,6557000.0,6263000.0,7559000.0,7107000.0,6831000.0
SellingGeneralAndAdministration,6557000.0,6263000.0,7559000.0,7107000.0,6831000.0
GrossProfit,-4665000.0,4100000.0,8391000.0,9825000.0,4147000.0
CostOfRevenue,30060000.0,33626000.0,31408000.0,28193000.0,30610000.0
TotalRevenue,25395000.0,37726000.0,39799000.0,38018000.0,34757000.0
OperatingRevenue,25395000.0,37726000.0,39799000.0,38018000.0,34757000.0
