,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,118332.0,-124074.0,665703.0,3558567.895989
TaxRateForCalcs,0.173,0.183,0.153,0.179907
NormalizedEBITDA,186510000.0,277658000.0,337449000.0,287056000.0
TotalUnusualItems,684000.0,-678000.0,4351000.0,19780000.0
TotalUnusualItemsExcludingGoodwill,684000.0,-678000.0,4351000.0,19780000.0
NetIncomeFromContinuingOperationNetMinorityInterest,100725000.0,167723000.0,230377000.0,193017000.0
ReconciledDepreciation,58792000.0,64528000.0,59551000.0,58271000.0
ReconciledCostOfRevenue,127164000.0,146084000.0,127058000.0,109293000.0
EBITDA,187194000.0,276980000.0,341800000.0,306836000.0
EBIT,128402000.0,212452000.0,282249000.0,248565000.0
NetInterestIncome,-6645000.0,-7155000.0,-10279000.0,-7174000.0
InterestExpense,6645000.0,7155000.0,10279000.0,13205000.0
NormalizedIncome,100159332.0,168276926.0,226691703.0,176795567.895989
NetIncomeFromContinuingAndDiscontinuedOperation,100725000.0,167723000.0,230377000.0,193017000.0
TotalExpenses,440800000.0,447827000.0,404983000.0,387324000.0
DilutedAverageShares,32392689.0,33957145.0,35151601.0,35810204.0
BasicAverageShares,31928295.0,33557761.0,34535268.0,34840614.0
DilutedEPS,3.11,4.94,6.55,5.39
BasicEPS,3.15,5.0,6.67,5.54
DilutedNIAvailtoComStockholders,100725000.0,167723000.0,230377000.0,193017000.0
NetIncomeCommonStockholders,100725000.0,167723000.0,230377000.0,193017000.0
NetIncome,100725000.0,167723000.0,230377000.0,193017000.0
NetIncomeIncludingNoncontrollingInterests,100725000.0,167723000.0,230377000.0,193017000.0
NetIncomeContinuousOperations,100725000.0,167723000.0,230377000.0,193017000.0
TaxProvision,21032000.0,37574000.0,41593000.0,42343000.0
PretaxIncome,121757000.0,205297000.0,271970000.0,235360000.0
OtherIncomeExpense,28536000.0,6256000.0,9635000.0,20943000.0
OtherNonOperatingIncomeExpenses,27852000.0,6934000.0,5284000.0,1163000.0
SpecialIncomeCharges,684000.0,-678000.0,4351000.0,233000.0
GainOnSaleOfPPE,1346000.0,10000.0,5726000.0,1495000.0
OtherSpecialCharges,662000.0,688000.0,1375000.0,1262000.0
GainOnSaleOfSecurity,,,,19547000.0
NetNonOperatingInterestIncomeExpense,-6645000.0,-7155000.0,-10279000.0,-7174000.0
InterestExpenseNonOperating,6645000.0,7155000.0,10279000.0,13205000.0
OperatingIncome,99866000.0,206196000.0,272614000.0,221591000.0
OperatingExpense,313636000.0,301743000.0,277925000.0,278031000.0
OtherOperatingExpenses,276323000.0,276596000.0,260627000.0,256254000.0
SellingGeneralAndAdministration,37313000.0,25147000.0,17298000.0,21777000.0
GeneralAndAdministrativeExpense,37313000.0,25147000.0,17298000.0,21777000.0
OtherGandA,37313000.0,25147000.0,17298000.0,21777000.0
GrossProfit,413502000.0,507939000.0,550539000.0,499622000.0
CostOfRevenue,127164000.0,146084000.0,127058000.0,109293000.0
TotalRevenue,540666000.0,654023000.0,677597000.0,608915000.0
OperatingRevenue,540666000.0,654023000.0,677597000.0,608915000.0
