,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-6839280.0,0.0,0.0,-5102160.0
TaxRateForCalcs,0.21,0.25636,0.21,0.21
NormalizedEBITDA,100388000.0,83392000.0,86717000.0,78714000.0
TotalUnusualItems,-32568000.0,,,-24296000.0
TotalUnusualItemsExcludingGoodwill,-32568000.0,,,-24296000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-11428000.0,9374000.0,8799000.0,-14468000.0
ReconciledDepreciation,39347000.0,39442000.0,38183000.0,39029000.0
ReconciledCostOfRevenue,302657000.0,274504000.0,292588000.0,348253000.0
EBITDA,67820000.0,83392000.0,86717000.0,54418000.0
EBIT,28473000.0,43950000.0,48534000.0,15389000.0
NetInterestIncome,-28565000.0,-27639000.0,-27185000.0,-26774000.0
InterestExpense,27560000.0,26615000.0,25695000.0,23905000.0
InterestIncome,,,6000.0,
NormalizedIncome,14300720.0,9374000.0,8799000.0,4725840.0
NetIncomeFromContinuingAndDiscontinuedOperation,-10154000.0,13606000.0,105397000.0,-11968000.0
TotalExpenses,508562000.0,479084000.0,493331000.0,554791000.0
TotalOperatingIncomeAsReported,28435000.0,45075000.0,48897000.0,19578000.0
DilutedAverageShares,71881000.0,71932000.0,72178000.0,72203000.0
BasicAverageShares,71881000.0,71932000.0,72178000.0,72203000.0
DilutedEPS,-0.33,-0.35,1.29,-0.34
BasicEPS,-0.33,-0.35,1.29,-0.34
DilutedNIAvailtoComStockholders,-24232000.0,-24990000.0,92890000.0,9037000.0
NetIncomeCommonStockholders,-24232000.0,-24990000.0,92890000.0,9037000.0
OtherunderPreferredStockDividend,5164000.0,29681000.0,3593000.0,
PreferredStockDividends,8914000.0,8915000.0,8914000.0,
NetIncome,-10154000.0,13606000.0,105397000.0,-11968000.0
MinorityInterests,-6394000.0,-3517000.0,-4204000.0,-124000.0
NetIncomeIncludingNoncontrollingInterests,-3760000.0,17123000.0,109601000.0,-11844000.0
NetIncomeDiscontinuousOperations,1274000.0,4232000.0,96598000.0,2500000.0
NetIncomeContinuousOperations,-5034000.0,12891000.0,13003000.0,-14344000.0
TaxProvision,5947000.0,4444000.0,9836000.0,5828000.0
PretaxIncome,913000.0,17335000.0,22839000.0,-8516000.0
OtherIncomeExpense,-31525000.0,-101000.0,1127000.0,-21872000.0
OtherNonOperatingIncomeExpenses,1043000.0,-101000.0,1127000.0,2424000.0
SpecialIncomeCharges,-32568000.0,,,-23133000.0
OtherSpecialCharges,,,,0.0
WriteOff,32568000.0,,,
NetNonOperatingInterestIncomeExpense,-28565000.0,-27639000.0,-27185000.0,-26774000.0
TotalOtherFinanceCost,1005000.0,1024000.0,1496000.0,2918000.0
InterestExpenseNonOperating,27560000.0,26615000.0,25695000.0,23905000.0
InterestIncomeNonOperating,,,6000.0,
OperatingIncome,61003000.0,45075000.0,48897000.0,40130000.0
OperatingExpense,193215000.0,191815000.0,188934000.0,194701000.0
OtherOperatingExpenses,18596000.0,16920000.0,16395000.0,17300000.0
DepreciationAmortizationDepletionIncomeStatement,26657000.0,26677000.0,26374000.0,27192000.0
DepreciationAndAmortizationInIncomeStatement,26657000.0,26677000.0,26374000.0,27192000.0
Amortization,26657000.0,26677000.0,26374000.0,27192000.0
AmortizationOfIntangiblesIncomeStatement,26657000.0,26677000.0,26374000.0,27192000.0
SellingGeneralAndAdministration,147962000.0,148218000.0,146165000.0,150209000.0
GeneralAndAdministrativeExpense,147962000.0,148218000.0,146165000.0,150209000.0
OtherGandA,147962000.0,148218000.0,146165000.0,150209000.0
GrossProfit,254218000.0,236890000.0,237831000.0,234831000.0
CostOfRevenue,315347000.0,287269000.0,304397000.0,360090000.0
TotalRevenue,569565000.0,524159000.0,542228000.0,594921000.0
OperatingRevenue,569565000.0,524159000.0,542228000.0,594921000.0
