,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.217,0.152,0.266,0.275
NormalizedEBITDA,197338000.0,250209000.0,196342000.0,157608000.0
NetIncomeFromContinuingOperationNetMinorityInterest,91300000.0,145192000.0,90855000.0,102064000.0
ReconciledDepreciation,67393000.0,66178000.0,64245000.0,56902000.0
ReconciledCostOfRevenue,4617768000.0,4314101000.0,4380603000.0,4047988000.0
EBITDA,197338000.0,250209000.0,196342000.0,157608000.0
EBIT,129945000.0,184031000.0,132097000.0,100706000.0
NetInterestIncome,36942000.0,28817000.0,23583000.0,19324000.0
InterestExpense,13295000.0,12813000.0,8278000.0,7173000.0
InterestIncome,50237000.0,41630000.0,31861000.0,26497000.0
NormalizedIncome,91300000.0,145192000.0,90855000.0,102064000.0
NetIncomeFromContinuingAndDiscontinuedOperation,91300000.0,145192000.0,90855000.0,102064000.0
TotalExpenses,6096071000.0,5690247000.0,5693755000.0,5243365000.0
TotalOperatingIncomeAsReported,87484000.0,147642000.0,106775000.0,83409000.0
DilutedAverageShares,1808311000.0,1800102000.0,1794453000.0,1793494000.0
BasicAverageShares,1784363000.0,1779508000.0,1774843000.0,1770929000.0
DilutedEPS,0.05,0.08,0.05,0.06
BasicEPS,0.05,0.08,0.05,0.06
DilutedNIAvailtoComStockholders,91300000.0,145192000.0,90855000.0,102064000.0
NetIncomeCommonStockholders,91300000.0,145192000.0,90855000.0,102064000.0
NetIncome,91300000.0,145192000.0,90855000.0,102064000.0
NetIncomeIncludingNoncontrollingInterests,91300000.0,145192000.0,90855000.0,102064000.0
NetIncomeContinuousOperations,91300000.0,145192000.0,90855000.0,102064000.0
TaxProvision,25350000.0,26026000.0,32964000.0,-8531000.0
PretaxIncome,116650000.0,171218000.0,123819000.0,93533000.0
OtherIncomeExpense,-7776000.0,-5241000.0,-6539000.0,-9200000.0
OtherNonOperatingIncomeExpenses,-7776000.0,-5241000.0,-6539000.0,-18429000.0
NetNonOperatingInterestIncomeExpense,36942000.0,28817000.0,23583000.0,19324000.0
InterestExpenseNonOperating,13295000.0,12813000.0,8278000.0,7173000.0
InterestIncomeNonOperating,50237000.0,41630000.0,31861000.0,26497000.0
OperatingIncome,87484000.0,147642000.0,106775000.0,83409000.0
OperatingExpense,1478303000.0,1376146000.0,1313152000.0,1195377000.0
OtherOperatingExpenses,,1376146000.0,1313152000.0,1195377000.0
SellingGeneralAndAdministration,1478303000.0,1376146000.0,1313152000.0,1195377000.0
GeneralAndAdministrativeExpense,1478303000.0,1376146000.0,1313152000.0,1195377000.0
OtherGandA,1478303000.0,1376146000.0,1313152000.0,1195377000.0
GrossProfit,1565787000.0,1523788000.0,1419927000.0,1278786000.0
CostOfRevenue,4617768000.0,4314101000.0,4380603000.0,4047988000.0
TotalRevenue,6183555000.0,5837889000.0,5800530000.0,5326774000.0
OperatingRevenue,5314683000.0,5140346000.0,5204800000.0,4760512000.0
