,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,138165.0,-206486.0,-154176.0,-371495.915986
TaxRateForCalcs,0.183,0.301,0.292,0.221524
NormalizedEBITDA,17149000.0,22409000.0,20206000.0,19732000.0
TotalUnusualItems,755000.0,-686000.0,-528000.0,-1677000.0
TotalUnusualItemsExcludingGoodwill,755000.0,-686000.0,-528000.0,-1677000.0
NetIncomeFromContinuingOperationNetMinorityInterest,8596000.0,9508000.0,8918000.0,8673000.0
ReconciledDepreciation,6356000.0,6495000.0,6513000.0,6431000.0
ReconciledCostOfRevenue,102485000.0,109710000.0,104267000.0,97183000.0
EBITDA,17904000.0,21723000.0,19678000.0,18055000.0
EBIT,11548000.0,15228000.0,13165000.0,11624000.0
NetInterestIncome,-1025000.0,-1616000.0,-571000.0,-483000.0
InterestExpense,1025000.0,1616000.0,571000.0,483000.0
NormalizedIncome,7979165.0,9987514.0,9291824.0,9978504.084014
NetIncomeFromContinuingAndDiscontinuedOperation,8596000.0,9508000.0,8918000.0,8673000.0
TotalExpenses,136760000.0,146051000.0,139152000.0,131675000.0
TotalOperatingIncomeAsReported,10793000.0,15914000.0,13693000.0,13301000.0
DilutedAverageShares,7083000.0,7080000.0,7252000.0,7293000.0
BasicAverageShares,6977000.0,6983000.0,7119000.0,7129000.0
DilutedEPS,1.21,1.34,1.23,1.19
BasicEPS,1.22,1.36,1.25,1.21
DilutedNIAvailtoComStockholders,8567000.0,9474000.0,8884000.0,8636000.0
NetIncomeCommonStockholders,8567000.0,9474000.0,8884000.0,8506000.0
OtherunderPreferredStockDividend,29000.0,34000.0,34000.0,
NetIncome,8596000.0,9508000.0,8918000.0,8673000.0
NetIncomeIncludingNoncontrollingInterests,8596000.0,9508000.0,8918000.0,8673000.0
NetIncomeContinuousOperations,8596000.0,9508000.0,8918000.0,8673000.0
TaxProvision,1927000.0,4104000.0,3676000.0,2468000.0
PretaxIncome,10523000.0,13612000.0,12594000.0,11141000.0
OtherIncomeExpense,755000.0,-686000.0,-528000.0,-1677000.0
GainOnSaleOfSecurity,755000.0,-686000.0,-528000.0,-1677000.0
NetNonOperatingInterestIncomeExpense,-1025000.0,-1616000.0,-571000.0,-483000.0
InterestExpenseNonOperating,1025000.0,1616000.0,571000.0,483000.0
OperatingIncome,10793000.0,15914000.0,13693000.0,13301000.0
OperatingExpense,30866000.0,32718000.0,31315000.0,30997000.0
DepreciationAmortizationDepletionIncomeStatement,2947000.0,2872000.0,2943000.0,2936000.0
DepreciationAndAmortizationInIncomeStatement,2947000.0,2872000.0,2943000.0,2936000.0
SellingGeneralAndAdministration,27919000.0,29846000.0,28372000.0,28061000.0
GrossProfit,41659000.0,48632000.0,45008000.0,44298000.0
CostOfRevenue,105894000.0,113333000.0,107837000.0,100678000.0
TotalRevenue,147553000.0,161965000.0,152845000.0,144976000.0
OperatingRevenue,147553000.0,161965000.0,152845000.0,144976000.0
