,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-374535.490729,-250750.0,-537360.794432,-1181250.0
TaxRateForCalcs,0.216369,0.25,0.275711,0.25
NormalizedEBITDA,29501000.0,10798000.0,13080000.0,63280000.0
TotalUnusualItems,-1731000.0,-1003000.0,-1949000.0,-4725000.0
TotalUnusualItemsExcludingGoodwill,-1731000.0,-1003000.0,-1949000.0,-4725000.0
NetIncomeFromContinuingOperationNetMinorityInterest,6927000.0,-2876000.0,-11809000.0,15400000.0
ReconciledDepreciation,18866000.0,10111000.0,27311000.0,15611000.0
ReconciledCostOfRevenue,264066000.0,269152000.0,263507000.0,317831000.0
EBITDA,27770000.0,9795000.0,11131000.0,58555000.0
EBIT,8904000.0,-316000.0,-16180000.0,42944000.0
NetInterestIncome,-1236000.0,-849000.0,8776000.0,-1419000.0
InterestExpense,437000.0,577000.0,486000.0,444000.0
InterestIncome,1055000.0,1072000.0,1063000.0,1389000.0
NormalizedIncome,8283464.509271,-2123750.0,-10397360.794432,18943750.0
NetIncomeFromContinuingAndDiscontinuedOperation,6927000.0,-2876000.0,-11809000.0,15400000.0
TotalExpenses,457759000.0,467975000.0,468509000.0,515781000.0
TotalOperatingIncomeAsReported,11434000.0,959000.0,-23493000.0,48644000.0
DilutedAverageShares,60172953.0,55924824.0,60494827.0,61898460.0
BasicAverageShares,56297666.0,55924824.0,56256082.0,58732771.0
DilutedEPS,0.12,-0.05,-0.21,0.25
BasicEPS,0.12,-0.05,-0.21,0.26
DilutedNIAvailtoComStockholders,6927000.0,-2876000.0,-11809000.0,15400000.0
NetIncomeCommonStockholders,6927000.0,-2876000.0,-11809000.0,15400000.0
NetIncome,6927000.0,-2876000.0,-11809000.0,15400000.0
MinorityInterests,292000.0,-905000.0,262000.0,-649000.0
NetIncomeIncludingNoncontrollingInterests,6635000.0,-1971000.0,-12071000.0,16049000.0
NetIncomeContinuousOperations,6635000.0,-1971000.0,-12071000.0,16049000.0
TaxProvision,1832000.0,1078000.0,-4595000.0,26451000.0
PretaxIncome,8467000.0,-893000.0,-16666000.0,42500000.0
OtherIncomeExpense,-1731000.0,-1003000.0,-1949000.0,-4725000.0
GainOnSaleOfSecurity,-1731000.0,-1003000.0,-1949000.0,-4725000.0
NetNonOperatingInterestIncomeExpense,-1236000.0,-849000.0,8776000.0,-1419000.0
TotalOtherFinanceCost,1854000.0,1344000.0,-8199000.0,2364000.0
InterestExpenseNonOperating,437000.0,577000.0,486000.0,444000.0
InterestIncomeNonOperating,1055000.0,1072000.0,1063000.0,1389000.0
OperatingIncome,11434000.0,959000.0,-23493000.0,48644000.0
OperatingExpense,193693000.0,198823000.0,205002000.0,197950000.0
ResearchAndDevelopment,62522000.0,67775000.0,63590000.0,69348000.0
SellingGeneralAndAdministration,131171000.0,131048000.0,141412000.0,128602000.0
SellingAndMarketingExpense,94572000.0,112511000.0,101242000.0,99633000.0
GeneralAndAdministrativeExpense,36599000.0,18537000.0,40170000.0,28969000.0
OtherGandA,36599000.0,18537000.0,40170000.0,28969000.0
GrossProfit,205127000.0,199782000.0,181509000.0,246594000.0
CostOfRevenue,264066000.0,269152000.0,263507000.0,317831000.0
TotalRevenue,469193000.0,468934000.0,445016000.0,564425000.0
OperatingRevenue,469193000.0,468934000.0,445016000.0,564425000.0
