,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-3025.862069,-8930.795848,7995.431182,-616770.0
TaxRateForCalcs,0.038793,0.020069,0.007995,0.21
NormalizedEBITDA,6362000.0,7329000.0,8928000.0,4587000.0
TotalUnusualItems,-78000.0,-445000.0,1000000.0,-2937000.0
TotalUnusualItemsExcludingGoodwill,-78000.0,-445000.0,1000000.0,-2937000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2007000.0,2832000.0,6948000.0,-573000.0
ReconciledDepreciation,3089000.0,2926000.0,2661000.0,1663000.0
ReconciledCostOfRevenue,38013000.0,38096000.0,37166000.0,42576000.0
EBITDA,6284000.0,6884000.0,9928000.0,1650000.0
EBIT,3195000.0,3958000.0,7267000.0,-13000.0
NetInterestIncome,-590000.0,-538000.0,277000.0,360000.0
InterestExpense,1107000.0,1068000.0,263000.0,518000.0
InterestIncome,517000.0,530000.0,540000.0,878000.0
NormalizedIncome,2081974.137931,3268069.204152,5955995.431182,1747230.0
NetIncomeFromContinuingAndDiscontinuedOperation,2007000.0,2832000.0,6948000.0,-573000.0
TotalExpenses,59850000.0,60277000.0,54616000.0,59307000.0
TotalOperatingIncomeAsReported,2755000.0,3451000.0,6740000.0,-914000.0
DilutedAverageShares,74305512.0,72765369.0,72866221.0,71629939.0
BasicAverageShares,72717965.0,72604484.0,72491373.0,71629939.0
DilutedEPS,0.02,0.04,0.09,-0.01
BasicEPS,0.02,0.04,0.09,-0.01
DilutedNIAvailtoComStockholders,1718000.0,2832000.0,6659000.0,-573000.0
NetIncomeCommonStockholders,1718000.0,2832000.0,6659000.0,-573000.0
PreferredStockDividends,289000.0,0.0,289000.0,
NetIncome,2007000.0,2832000.0,6948000.0,-573000.0
NetIncomeIncludingNoncontrollingInterests,2007000.0,2832000.0,6948000.0,-573000.0
NetIncomeContinuousOperations,2007000.0,2832000.0,6948000.0,-573000.0
TaxProvision,81000.0,58000.0,56000.0,42000.0
PretaxIncome,2088000.0,2890000.0,7004000.0,-531000.0
OtherIncomeExpense,-155000.0,-468000.0,987000.0,-2914000.0
OtherNonOperatingIncomeExpenses,-77000.0,-23000.0,-13000.0,23000.0
SpecialIncomeCharges,-78000.0,-445000.0,1000000.0,-2937000.0
OtherSpecialCharges,,91000.0,-1000000.0,150000.0
RestructuringAndMergernAcquisition,78000.0,354000.0,0.0,2787000.0
NetNonOperatingInterestIncomeExpense,-590000.0,-538000.0,277000.0,360000.0
InterestExpenseNonOperating,1107000.0,1068000.0,263000.0,518000.0
InterestIncomeNonOperating,517000.0,530000.0,540000.0,878000.0
OperatingIncome,2833000.0,3896000.0,5740000.0,2023000.0
OperatingExpense,21495000.0,21844000.0,17153000.0,16418000.0
OtherOperatingExpenses,,,,150000.0
DepreciationAmortizationDepletionIncomeStatement,2747000.0,2589000.0,2364000.0,1350000.0
DepreciationAndAmortizationInIncomeStatement,2747000.0,2589000.0,2364000.0,1350000.0
ResearchAndDevelopment,4168000.0,3969000.0,4594000.0,5299000.0
SellingGeneralAndAdministration,14580000.0,15286000.0,10195000.0,9769000.0
SellingAndMarketingExpense,4142000.0,3539000.0,3154000.0,3210000.0
GeneralAndAdministrativeExpense,10438000.0,11747000.0,7041000.0,6559000.0
OtherGandA,10438000.0,11747000.0,7041000.0,6559000.0
GrossProfit,24328000.0,25740000.0,22893000.0,18441000.0
CostOfRevenue,38355000.0,38433000.0,37463000.0,42889000.0
TotalRevenue,62683000.0,64173000.0,60356000.0,61330000.0
OperatingRevenue,62683000.0,64173000.0,60356000.0,61330000.0
